original_link_id,bus_priority_link_id,original_modes,bus_priority_modes,original_capacity,bus_priority_capacity,original_permlanes,bus_priority_permlanes
l_10098_1_f,busprio_l_10098_1_f,"car,pt",pt,3600.0,3600.0,2.0,2.0
l_10099_0_f,busprio_l_10099_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1009_0_f,busprio_l_1009_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_100_1_f,busprio_l_100_1_f,"car,pt",pt,700.0,3600.0,1.0,1.0
l_100_1_r,busprio_l_100_1_r,"car,pt",pt,700.0,3600.0,1.0,1.0
l_100_2_f,busprio_l_100_2_f,"car,pt",pt,700.0,3600.0,1.0,1.0
l_100_2_r,busprio_l_100_2_r,"car,pt",pt,700.0,3600.0,1.0,1.0
l_10100_0_f,busprio_l_10100_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10101_0_f,busprio_l_10101_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10102_0_f,busprio_l_10102_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10103_0_f,busprio_l_10103_0_f,"car,pt",pt,6000.0,6000.0,3.0,3.0
l_10104_0_f,busprio_l_10104_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10106_0_f,busprio_l_10106_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10107_0_f,busprio_l_10107_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10108_0_f,busprio_l_10108_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10108_1_f,busprio_l_10108_1_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10108_2_f,busprio_l_10108_2_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10109_0_f,busprio_l_10109_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1010_0_f,busprio_l_1010_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10113_0_r,busprio_l_10113_0_r,"car,pt",pt,400.0,3600.0,1.0,1.0
l_10114_0_r,busprio_l_10114_0_r,"car,pt",pt,400.0,3600.0,1.0,1.0
l_1011_0_f,busprio_l_1011_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10125_0_f,busprio_l_10125_0_f,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_10125_1_f,busprio_l_10125_1_f,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_10125_2_f,busprio_l_10125_2_f,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_10125_3_f,busprio_l_10125_3_f,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_10125_3_r,busprio_l_10125_3_r,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_10126_0_f,busprio_l_10126_0_f,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_1012_0_f,busprio_l_1012_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1013_0_f,busprio_l_1013_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1014_0_f,busprio_l_1014_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1014_1_f,busprio_l_1014_1_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1014_2_f,busprio_l_1014_2_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1014_3_f,busprio_l_1014_3_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10150_0_f,busprio_l_10150_0_f,"car,pt",pt,400.0,3600.0,1.0,1.0
l_10150_0_r,busprio_l_10150_0_r,"car,pt",pt,400.0,3600.0,1.0,1.0
l_10155_0_f,busprio_l_10155_0_f,"car,pt",pt,700.0,3600.0,1.0,1.0
l_10155_0_r,busprio_l_10155_0_r,"car,pt",pt,700.0,3600.0,1.0,1.0
l_1015_0_f,busprio_l_1015_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1015_1_f,busprio_l_1015_1_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1015_2_f,busprio_l_1015_2_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1015_3_f,busprio_l_1015_3_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1017_0_f,busprio_l_1017_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1017_10_f,busprio_l_1017_10_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1017_11_f,busprio_l_1017_11_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1017_12_f,busprio_l_1017_12_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1017_13_f,busprio_l_1017_13_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1017_1_f,busprio_l_1017_1_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1017_2_f,busprio_l_1017_2_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1017_3_f,busprio_l_1017_3_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1017_4_f,busprio_l_1017_4_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1017_5_f,busprio_l_1017_5_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1017_6_f,busprio_l_1017_6_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1017_7_f,busprio_l_1017_7_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1017_8_f,busprio_l_1017_8_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1017_9_f,busprio_l_1017_9_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10184_0_f,busprio_l_10184_0_f,"car,pt",pt,2400.0,3600.0,2.0,2.0
l_10184_0_r,busprio_l_10184_0_r,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_10185_0_f,busprio_l_10185_0_f,"car,pt",pt,2400.0,3600.0,2.0,2.0
l_10185_0_r,busprio_l_10185_0_r,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_10186_0_f,busprio_l_10186_0_f,"car,pt",pt,2400.0,3600.0,2.0,2.0
l_10186_0_r,busprio_l_10186_0_r,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_10187_0_f,busprio_l_10187_0_f,"car,pt",pt,2400.0,3600.0,2.0,2.0
l_10187_0_r,busprio_l_10187_0_r,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_10188_0_f,busprio_l_10188_0_f,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_10188_0_r,busprio_l_10188_0_r,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_10189_0_f,busprio_l_10189_0_f,"car,pt",pt,400.0,3600.0,1.0,1.0
l_10189_0_r,busprio_l_10189_0_r,"car,pt",pt,400.0,3600.0,1.0,1.0
l_1018_0_f,busprio_l_1018_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1018_1_f,busprio_l_1018_1_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1018_2_f,busprio_l_1018_2_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1018_3_f,busprio_l_1018_3_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1019_0_f,busprio_l_1019_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1019_1_f,busprio_l_1019_1_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1019_2_f,busprio_l_1019_2_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_101_0_f,busprio_l_101_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_101_1_f,busprio_l_101_1_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_101_2_f,busprio_l_101_2_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_101_3_f,busprio_l_101_3_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_101_4_f,busprio_l_101_4_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_101_5_f,busprio_l_101_5_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1020_0_f,busprio_l_1020_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1020_1_f,busprio_l_1020_1_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1020_2_f,busprio_l_1020_2_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10214_0_f,busprio_l_10214_0_f,"car,pt",pt,900.0,3600.0,1.0,1.0
l_10215_0_f,busprio_l_10215_0_f,"car,pt",pt,900.0,3600.0,1.0,1.0
