merged_stop_id,source_ids,source_id_count,name,normalized_name,source_types,line_ids,merge_member_count,merge_method,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,inside_boundary,inside_boundary_2km_buffer,raw_record_count,mode,coord_source
amap_stop_00532,BV10208455,1,葫芦阵南(公交站),葫芦阵南,lineid_busstop;poi,350100010009;350100010010;350100010051;350100010052;350100010224;350100010238;350100010241;350100010245;350100010248;350100010312;350100010313;350100010325;350100010501;350100010502;350100010508;350100010510;900000025642;900000028085;900000028087;900000042667;900000042668;900000088182;900000088183;900000103911;900000140681,1,same_id,119.346438,26.013581,119.34155101306618,26.01655132185611,734344.5304746574,2879617.983046774,True,True,26,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00533,BV10208459,1,后坂(公交站),后坂,lineid_busstop;poi,350100010009;350100010010;350100010011;350100010012;350100010031;350100010032;350100010035;350100010036;350100010051;350100010052;350100010079;350100010080;350100010084;350100010165;350100010166;350100010231;350100010236;350100010238;350100010241;350100010245;350100010248;350100010312;350100010313;350100010325;350100010440;900000025642;900000028085;900000028087;900000055347;900000055360;900000114300;900000114301;900000140680;900000140681,1,same_id,119.337883,26.023087,119.33301094487464,26.026079451429688,733470.6700256213,2880658.40110437,True,True,35,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00534,BV10208460,1,则徐广场(公交站),则徐广场,lineid_busstop;poi,350100010009;350100010010;350100010031;350100010032;350100010083;350100010084;350100010166;350100010231;350100010236;350100010312;350100010313;350100010316;350100010317;350100010439;350100010440;900000175764;900000175765,1,same_id,119.335358,26.0293,119.33049025711672,26.032301422099263,733206.0196844192,2881343.292301711,True,True,18,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00535,BV10208461,1,盖山镇政府新村(公交站),盖山镇政府新村,lineid_busstop;poi,350100010009;350100010010;350100010031;350100010032;350100010083;350100010084;350100010165;350100010166;350100010231;350100010236;350100010312;350100010313;350100010316;350100010317;350100010323;350100010439;350100010440;900000175764;900000175765,1,same_id,119.334883,26.031811,119.3300159728202,26.03481502317629,733153.5693807742,2881620.9536424484,True,True,20,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00536,BV10208462,1,高湖村(公交站),高湖村,lineid_busstop;poi,350100010313;350100010315,1,same_id,119.334812,26.03521,119.32994485143892,26.03821646006452,733139.7191616237,2881997.7088626563,True,True,3,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00537,BV10208465,1,苍霞嘉兴园(公交站),苍霞嘉兴园,lineid_busstop;poi,350100010016;350100010041;350100010042;350100010135;350100010136;350100010141;350100010142;350100010362;350100010363;900000167351;900000167352;900000185187,1,same_id,119.303546,26.049488,119.29873653706208,26.05256191432032,729987.8825281665,2883531.758610078,True,True,13,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00538,BV10208466,1,公交苍霞站(公交站),公交苍霞站,lineid_busstop;poi,350100010009;350100010010;350100010067;350100010068;350100010127;350100010128;900000141450;900000141451,1,same_id,119.303376,26.04691,119.29856702157733,26.049982462179628,729975.9551142767,2883245.6572453487,True,True,9,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00539,BV10208467,1,福建省地质医院(公交站),福建省地质医院,lineid_busstop;poi,350100010009;350100010010;350100010035;350100010036;350100010051;350100010052;350100010238;350100010241;350100010245;350100010248;350100010312;350100010313;350100010325;350100010372;350100010374;350100010501;350100010502;350100010508;350100010510;900000025642;900000028085;900000028087;900000042667;900000042668;900000049348;900000049349;900000088182;900000088183;900000114300;900000114301,1,same_id,119.350708,26.005604,119.34581424396433,26.00856143283569,734787.2512617427,2878740.3545180345,True,True,31,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00540,BV10208469,1,种福寺(公交站),种福寺,lineid_busstop;poi,350100010019;350100010020;350100010117;350100010118;350100010165;350100010166;350100010249;350100010253;350100010429;350100010430;350100010439;350100010440;350100010513;350100010514;900000028085;900000028087;900000077842;900000077843;900000114300;900000114301;900000153779;900000153780;900000175764;900000175765;900000193763;900000193764,1,same_id,119.328629,26.036156,119.32377368295226,26.039174878806826,732520.1160872616,2882092.884091864,True,True,27,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00541,BV10208470,1,排下(公交站),排下,lineid_busstop;poi,350100010009;350100010010;350100010051;350100010052;350100010238;350100010241;350100010245;350100010248;350100010312;350100010313;350100010325;350100010372;350100010374;350100010501;350100010502;350100010508;350100010510;900000025642;900000028085;900000028087;900000042667;900000042668;900000049348;900000049349;900000088182;900000088183;900000114300;900000114301,1,same_id,119.354926,26.000885,119.35002569045828,26.003832165160684,735218.341000022,2878223.925783866,True,True,29,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
