"dimension","key","count"
"link","road_103878_0_f","3"
"link","road_7968_0_f","3"
"link","road_62615_0_r","1"
"link","road_9211_0_f","1"
"link","road_96876_0_f","1"
"link","road_93310_0_f","1"
"link","road_57814_0_f","2"
"link","road_96623_0_f","1"
"link","road_59197_0_f","37"
"link","road_102943_0_f","5"
"link","road_101936_0_f","4"
"link","road_58727_0_f","34"
"link","road_61430_0_f","8"
"link","road_8896_0_f","1"
"link","road_102849_0_f","6"
"link","road_9900_0_r","1"
"link","road_96854_0_f","23"
"link","road_93254_0_f","34"
"link","road_101951_0_f","1"
"link","road_96567_0_r","6"
"link","road_102426_0_r","5"
"link","road_103376_0_f","1"
"link","road_93965_0_r","1"
"link","road_282671_0_f","2"
"link","road_65002_0_f","1"
"link","road_275913_0_r","1"
"link","road_104610_0_f","1"
"link","road_260571_0_r","1"
"link","road_93217_0_r","2"
"link","road_102671_0_f","4"
"link","road_103871_0_f","1"
"link","road_102864_0_f","4"
"link","road_92958_0_f","17"
"link","road_164493_0_f","58"
"link","road_1707_0_f","2"
"link","road_8379_0_f","3"
"link","road_272049_0_r","1"
"link","road_110592_0_f","3"
"link","road_94662_0_f","1"
"link","road_58705_0_f","2"
"link","road_284531_0_r","1"
"link","road_1034_0_f","1"
"link","road_164649_0_r","1"
"link","road_272049_0_f","9"
"link","road_102441_0_f","1"
"link","road_60617_0_f","1"
"link","road_58686_0_f","19"
"link","road_271151_0_f","1"
"link","road_59920_0_f","60"
"link","road_95825_0_f","1"
"link","road_163751_0_f","2"
"link","road_165176_0_f","22"
"link","road_57233_0_f","1"
"link","road_261504_0_r","3"
"link","road_107844_0_f","6"
"link","road_164664_0_f","1"
"link","road_102578_0_r","3"
"link","road_58649_0_f","9"
"link","road_107901_0_f","1"
"link","road_105214_0_f","2"
"link","road_102805_0_f","2"
"link","road_56952_0_r","6"
"link","road_102786_0_r","2"
"link","road_103298_0_f","13"
"link","road_59116_0_f","8"
"link","road_265782_0_f","8"
"link","road_101393_0_f","1"
"link","road_7422_0_f","2"
"link","road_5290_0_f","2"
"link","road_107788_0_f","1"
"link","road_103986_0_f","1"
"link","road_57211_0_f","1"
"link","road_273435_0_f","6"
"link","road_93191_0_f","6"
"link","road_104490_0_f","2"
"link","road_103045_0_f","3"
"link","road_318_0_f","1"
"link","road_104453_0_r","8"
"link","road_103008_0_r","2"
"link","road_165075_0_r","1"
"link","road_93404_0_r","19"
"link","road_5446_0_f","1"
"link","road_273205_0_f","4"
"link","road_93347_0_f","21"
"link","road_63443_0_f","1"
"link","road_58642_0_f","1"
"link","road_104453_0_f","3"
"link","road_103008_0_f","7"
"link","road_57155_0_r","4"
"link","road_8063_0_r","13"
