"person_id","pt_no_transit_route_lines","pt_no_stop_lines"
"hk_collective_000520","1","1"
"hk_collective_000522","1","1"
"hk_collective_000528","1","1"
"hk_collective_000529","1","1"
"hk_collective_000530","1","1"
"hk_collective_000534","1","1"
"hk_collective_000535","1","1"
"hk_collective_000536","1","1"
"hk_collective_000537","1","1"
"hk_collective_000539","1","1"
"hk_collective_000541","1","1"
"hk_collective_000542","1","1"
"hk_collective_000544","1","1"
"hk_collective_000545","1","1"
"hk_collective_000546","1","1"
"hk_collective_000548","1","1"
"hk_collective_000550","1","1"
"hk_collective_000552","1","1"
"hk_collective_000553","1","1"
"hk_collective_000554","1","1"
"hk_collective_000555","1","1"
"hk_collective_000556","1","1"
"hk_collective_000558","1","1"
"hk_collective_000559","1","1"
"hk_collective_000560","1","1"
"hk_collective_000561","1","1"
"hk_collective_000563","1","1"
"hk_collective_000564","1","1"
"hk_collective_000565","1","1"
"hk_collective_000567","1","1"
"hk_collective_000569","1","1"
"hk_collective_000570","1","1"
"hk_collective_000571","1","1"
"hk_collective_000573","1","1"
"hk_collective_000574","1","1"
"hk_collective_000575","1","1"
"hk_collective_000576","1","1"
"hk_collective_000577","1","1"
"hk_collective_000578","1","1"
"hk_collective_000579","1","1"
"hk_collective_000582","1","1"
"hk_collective_000583","1","1"
"hk_collective_000584","1","1"
"hk_collective_000586","1","1"
"hk_collective_000588","1","1"
"hk_collective_000589","1","1"
"hk_collective_000591","1","1"
"hk_collective_000592","1","1"
"hk_collective_000593","1","1"
"hk_collective_000594","1","1"
"hk_collective_000595","1","1"
"hk_collective_000596","1","1"
"hk_collective_000597","1","1"
"hk_collective_000598","1","1"
"hk_collective_000600","1","1"
"hk_collective_000601","1","1"
"hk_collective_000603","1","1"
"hk_collective_000606","1","1"
"hk_collective_000607","1","1"
"hk_collective_000611","1","1"
"hk_collective_000612","1","1"
"hk_collective_000617","1","1"
"hk_collective_000619","1","1"
"hk_collective_000621","1","1"
"hk_collective_000622","1","1"
"hk_collective_000623","1","1"
"hk_collective_000627","1","1"
"hk_collective_000628","1","1"
"hk_collective_000630","1","1"
"hk_collective_000631","1","1"
"hk_collective_000632","1","1"
"hk_collective_000633","1","1"
"hk_collective_000634","1","1"
"hk_collective_000637","1","1"
"hk_collective_000638","1","1"
"hk_collective_000639","1","1"
"hk_collective_000641","1","1"
"hk_collective_000642","1","1"
"hk_collective_000643","1","1"
"hk_collective_000644","1","1"
"hk_collective_000645","1","1"
"hk_collective_000646","1","1"
"hk_collective_000648","1","1"
"hk_collective_000649","1","1"
"hk_collective_000650","1","1"
"hk_collective_000651","1","1"
"hk_collective_000653","1","1"
"hk_collective_000654","1","1"
"hk_collective_000655","1","1"
"hk_collective_000656","1","1"
"hk_collective_000657","1","1"
"hk_collective_000658","1","1"
"hk_collective_000659","1","1"
"hk_collective_000660","1","1"
"hk_collective_000661","1","1"
"hk_collective_000662","1","1"
"hk_collective_000663","1","1"
"hk_collective_000664","1","1"
"hk_collective_000665","1","1"
"hk_collective_000666","1","1"
"hk_collective_000668","1","1"
"hk_collective_000669","1","1"
"hk_collective_000671","1","1"
"hk_collective_000673","1","1"
"hk_collective_000674","1","1"
"hk_collective_000675","1","1"
"hk_collective_000677","1","1"
"hk_collective_000678","1","1"
"hk_collective_000680","1","1"
"hk_collective_000681","1","1"
"hk_collective_000682","1","1"
"hk_collective_000691","1","1"
"hk_collective_000692","1","1"
"hk_collective_000693","1","1"
"hk_collective_000695","1","1"
"hk_collective_000696","1","1"
"hk_collective_000697","1","1"
"hk_collective_000698","1","1"
"hk_collective_000699","1","1"
"hk_collective_000702","1","1"
"hk_collective_000703","1","1"
"hk_collective_000705","1","1"
"hk_collective_000706","1","1"
"hk_collective_000707","1","1"
"hk_collective_000709","1","1"
"hk_collective_000710","1","1"
"hk_collective_000711","1","1"
"hk_collective_000713","1","1"
"hk_collective_000714","1","1"
"hk_collective_000716","1","1"
"hk_collective_000718","1","1"
