"person_id","taxi_ordinal","hk_taxi_main_trip_index","plan_element_index","expected_departure_time_seconds","preceding_leg_modes","fare_hkd","taxi_type","classification_source","attribution_category","invalid_pt_before_element_indexes","removed_pt_before_element_indexes","stuck_before","last_observed_event_type","last_observed_event_time"
"hk_person_00188432","0","2","5","65793.0","pt|pt","29.0","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","28835.0"
"hk_person_00188432","1","3","7","72393.0","pt|pt|taxi","35.3","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","28835.0"
"hk_person_05293910","0","2","5","64412.0","pt|pt","165.1","new_territories_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","26424.0"
"hk_person_05293910","1","3","7","71312.0","pt|pt|taxi","166.5","new_territories_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","26424.0"
"hk_person_06091945","0","2","5","57082.0","pt|pt","185.1","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","28621.0"
"hk_person_06091945","1","3","7","63682.0","pt|pt|taxi","183.7","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","28621.0"
"hk_person_03330821","0","2","5","65835.0","pt|pt","68.9","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","27613.0"
"hk_person_03330821","1","3","7","75435.0","pt|pt|taxi","62.6","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","27613.0"
"hk_person_04103511","0","2","5","65581.0","pt|pt","120.7","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29578.0"
"hk_person_04103511","1","3","7","72481.0","pt|pt|taxi","64.7","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29578.0"
"hk_person_04103511","2","4","9","79081.0","pt|pt|taxi|taxi","147.3","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29578.0"
"hk_person_00210142","0","2","5","75489.0","pt|pt","108.1","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","31538.0"
"hk_person_00210142","1","3","7","82089.0","pt|pt|taxi","109.5","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","31538.0"
"hk_person_06998010","0","2","5","65828.0","pt|pt","145.9","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","30002.0"
"hk_person_06998010","1","3","7","77228.0","pt|pt|taxi","269.1","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","30002.0"
"hk_person_06998010","2","4","9","83828.0","pt|pt|taxi|taxi","234.1","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","30002.0"
"hk_person_02503080","0","2","5","64130.0","pt|pt","29.0","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","30016.0"
"hk_person_02503080","1","3","7","73730.0","pt|pt|taxi","113.7","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","30016.0"
"hk_person_02503080","2","4","9","80330.0","pt|pt|taxi|taxi","113.7","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","30016.0"
"hk_person_00217909","0","2","5","64921.0","pt|pt","115.1","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","33582.0"
"hk_person_00217909","1","3","7","71821.0","pt|pt|taxi","137.5","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","33582.0"
"hk_person_00217909","2","4","9","78421.0","pt|pt|taxi|taxi","138.9","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","33582.0"
"hk_person_03769553","0","2","5","66075.0","pt|pt","56.3","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","24436.0"
"hk_person_03769553","1","3","7","72975.0","pt|pt|taxi","54.2","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","24436.0"
"hk_person_00669430","0","2","5","66387.0","pt|pt","41.6","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","24002.0"
"hk_person_00669430","1","3","7","72987.0","pt|pt|taxi","41.6","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","24002.0"
"hk_person_00220406","0","2","5","66980.0","pt|pt","96.2","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","24684.0"
"hk_person_00220406","1","3","7","78380.0","pt|pt|taxi","62.6","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","24684.0"
"hk_person_00220406","2","4","9","84980.0","pt|pt|taxi|taxi","47.9","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","24684.0"
"hk_person_00442166","0","2","5","64818.0","pt|pt","127.7","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","25302.0"
"hk_person_00442166","1","3","7","74418.0","pt|pt|taxi","130.5","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","25302.0"
"hk_person_01717584","0","2","5","72407.0","pt|pt","50.0","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29723.0"
"hk_person_01717584","1","3","7","83807.0","pt|pt|taxi","50.0","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29723.0"
"hk_person_06537314","0","2","5","65065.0","pt|pt","182.3","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29691.0"
"hk_person_06537314","1","3","7","74665.0","pt|pt|taxi","157.1","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29691.0"
"hk_person_02254066","0","2","5","55298.0","pt|pt","115.1","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","26215.0"
"hk_person_02254066","1","3","7","62198.0","pt|pt|taxi","119.3","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","26215.0"
"hk_person_03539768","0","2","5","63835.0","pt|pt","204.7","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","34133.0"
"hk_person_03539768","1","3","7","75235.0","pt|pt|taxi","204.7","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","34133.0"
"hk_person_03886231","0","2","5","72842.0","pt|pt","201.9","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","30302.0"
"hk_person_03886231","1","3","7","79442.0","pt|pt|taxi","206.1","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","30302.0"
"hk_person_06069966","0","2","5","63674.0","pt|pt","204.7","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29951.0"
"hk_person_06069966","1","3","7","75074.0","pt|pt|taxi","183.7","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29951.0"
"hk_person_03414133","0","2","5","61200.0","pt|pt","116.5","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29512.0"
"hk_person_03414133","1","3","7","68100.0","pt|pt|taxi","245.3","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29512.0"
"hk_person_03414133","2","4","9","74700.0","pt|pt|taxi|taxi","201.9","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29512.0"
"hk_person_04449704","0","2","5","68740.0","pt|pt","27.4","new_territories_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","28939.0"
"hk_person_04449704","1","3","7","75640.0","pt|pt|taxi","27.4","new_territories_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","28939.0"
"hk_person_06069952","0","2","5","61635.0","pt|pt","124.9","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","28772.0"
