"person_id","taxi_ordinal","hk_taxi_main_trip_index","plan_element_index","departure_time_seconds","preceding_leg_modes","fare_hkd","taxi_type","classification_source","observed_departure","observed_arrival","missing_attribution"
"hk_collective_001591","2","2","5","51965.0","taxi|taxi","242.5","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001594","0","0","1","44571.0","","106.7","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001594","1","1","3","54171.0","taxi","29.0","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001594","2","2","5","61071.0","taxi|taxi","102.5","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001607","0","0","1","43430.0","","81.5","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001607","1","1","3","53030.0","taxi","79.4","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001611","0","2","5","74299.0","walk|walk","89.9","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001611","1","3","7","85699.0","walk|walk|taxi","60.5","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001611","2","4","9","91800.0","walk|walk|taxi|taxi","126.3","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001626","0","0","1","50468.0","","140.3","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001626","1","1","3","60068.0","taxi","137.5","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001644","0","0","1","52607.0","","81.5","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001644","1","1","3","59507.0","taxi","83.6","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001653","0","2","5","61642.0","walk|walk","47.9","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001653","1","3","7","73042.0","walk|walk|taxi","92.0","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001653","2","4","9","79942.0","walk|walk|taxi|taxi","66.8","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001680","0","2","5","66398.0","pt|pt","214.5","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001680","1","3","7","73298.0","pt|pt|taxi","214.5","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001736","0","2","5","66512.0","pt|pt","33.2","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
