poi_id,name,normalized_name,type,typecode,address,pname,cityname,adname,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,inside_boundary,inside_boundary_500m_buffer,source_tile_ids,source_pages,duplicate_count,stop_cluster_id,saturation_warning
BV10208509,郭厝里(公交站),郭厝里,交通设施服务;公交车站;公交车站相关,150700,(停运)通学专线4路;100路(敬老线路);111路;118路;150路;172路;329路;45路;53路(敬老线路);5路;85路,福建省,福州市,仓山区,119.249464,26.075332,119.24470182144623,26.07847329520595,724530.5474022669,2886308.4467389835,True,True,L0_005_004,1,1,郭厝里_00577,False
BV10208510,天骏小区(公交站),天骏小区,交通设施服务;公交车站;公交车站相关,150700,111路;124路;14路;16路;172路;22路;307路;320路;39路;5路;75路(敬老线路);77路;86路;东部8号线(洪山梁厝专线),福建省,福州市,鼓楼区,119.268351,26.077218,119.26358324336024,26.080354032569165,726416.1808624496,2886549.5208067037,True,True,L0_005_004;L0_006_004,2;3,2,天骏小区_00578,False
BV10208511,省老年医院(公交站),省老年医院,交通设施服务;公交车站;公交车站相关,150700,10路;153路(敬老线路);17路;187路(敬老线路);18路;308路;355路快线;51路(敬老线路);55路快线;5路;通勤快线11路,福建省,福州市,鼓楼区,119.307503,26.10877,119.3026821574832,26.111876460424146,730266.5823300135,2890110.789980541,True,True,L0_007_005,2,1,省老年医院_00579,False
BV10208513,三坊七巷(公交站),三坊七巷,交通设施服务;公交车站;公交车站相关,150700,(停运)317路;118路;128路;18路;22路;27路(敬老线路);327路;55路快线;5路;61路;66路;闽江之心·夜景线,福建省,福州市,鼓楼区,119.297339,26.085761,119.2925370535529,26.088869198672942,729296.6428524584,2887543.665638891,True,True,L0_006_005;L0_007_004;L0_007_005,3;4,3,三坊七巷_00580,False
BV10208514,公交福湾站(公交站),公交福湾站,交通设施服务;公交车站;公交车站相关,150700,(停运)通学专线1路;125路;138路;148路;156路;188路(敬老线路);25路(敬老线路);302路;311路;325路;352路(敬老线路);45路;81路;98路;地铁接驳6号专线;通勤快线13路,福建省,福州市,仓山区,119.27952,26.007368,119.2747477756414,26.010447029120108,727668.377167863,2878823.398052378,True,True,L0_006_001,1,1,公交福湾站_00581,False
BV10208518,洋洽(公交站),洋洽,交通设施服务;公交车站;公交车站相关,150700,11路;126路;138路;175路;188路(敬老线路);18路;190路(敬老线路);197路;215路快线;302路;311路;336路;351路;357路;47路;6路(敬老线路);81路;K1路;通勤快线23,福建省,福州市,仓山区,119.291426,26.031803,119.28663701687358,26.034883798784143,728811.2706715488,2881551.749043175,True,True,L0_006_002,2,1,洋洽_00582,False
BV10208520,上渡(公交站),上渡,交通设施服务;公交车站;公交车站相关,150700,115路;11路;121路(敬老线路);126路;138路;157路;163路;167路;175路;188路(敬老线路);192路;197路;209路;215路快线;26路;302路;311路;336路;351路;357路;42路;43路;47路;6路(敬老线路);81路;85路;K1路;东部10号线;通勤快线23,福建省,福州市,仓山区,119.299672,26.038133,119.29486987589775,26.041205616275374,729623.0380862262,2882266.671023687,True,True,L0_007_003,3,1,上渡_00583,False
BV10208521,苍霞新城(公交站),苍霞新城,交通设施服务;公交车站;公交车站相关,150700,13路(敬老线路);19路;20路;319路;3路;52路;66路;6路(敬老线路);81路;地铁接驳20号专线,福建省,福州市,台江区,119.305397,26.049002,119.3005843707857,26.052072445142255,730173.776065327,2883480.7873739116,True,True,L0_007_003,1,1,苍霞新城_00584,False
BV10208524,公交仁德站(公交站),公交仁德站,交通设施服务;公交车站;公交车站相关,150700,136路;159路;171路(敬老线路);179路;20路夜间区间车;306路;336路;33路;38路;40路快线;41路;54路;59路;6路(敬老线路);73路;83路;89路;东部1号线;东部2号线;通勤快线8路;高峰快线6路,福建省,福州市,台江区,119.305877,26.071723,119.30106182268035,26.074807854392677,730177.0865971793,2886000.7111342205,True,True,L0_007_004,1,1,公交仁德站_00585,False
BV10208526,蓝湖食品公司(公交站),蓝湖食品公司,交通设施服务;公交车站;公交车站相关,150700,357路;359路;45路,福建省,福州市,仓山区,119.288806,26.00586,119.28402261019671,26.008926771829405,728599.9002496802,2878671.1647740263,True,True,L0_006_001,1,1,蓝湖食品公司_00586,False
BV10208534,远洋(公交站),远洋,交通设施服务;公交车站;公交车站相关,150700,108路;115路;131路;169路(敬老线路);187路(敬老线路);197路;29路(敬老线路);321路;380路;40路快线;70路;73路;7路;9路;地铁接驳31号专线;高峰快线6路,福建省,福州市,晋安区,119.361298,26.067713,119.35638300867976,26.070695435525355,735721.0564419767,2885643.993899139,True,True,L0_009_004,1,1,远洋_00587,False
BV10208535,恒宇国际公园(公交站),恒宇国际公园,交通设施服务;公交车站;公交车站相关,150700,108路;115路;166路(敬老线路);187路(敬老线路);29路(敬老线路);333路;40路快线;70路;73路;7路;通勤快线15路,福建省,福州市,晋安区,119.354962,26.071097,119.35005630400619,26.07409157305014,735081.1567465239,2886008.859746327,True,True,L0_009_004,1,1,恒宇国际公园_00588,False
BV10208536,前屿(公交站),前屿,交通设施服务;公交车站;公交车站相关,150700,107路;115路;166路(敬老线路);202路;27路(敬老线路);303路;319路;333路;40路快线;70路;73路;7路;92路,福建省,福州市,晋安区,119.349104,26.072931,119.34420786764711,26.075936672000743,734492.2444808001,2886202.75718329,True,True,L0_008_004;L0_009_004,2,2,前屿_00589,False
BV10208538,肿瘤医院(公交站),肿瘤医院,交通设施服务;公交车站;公交车站相关,150700,107路;115路;166路(敬老线路);202路;27路(敬老线路);303路;319路;333路;40路快线;70路;73路;7路;92路,福建省,福州市,晋安区,119.343487,26.073951,119.33860072353343,26.076967351032398,733929.116342399,2886306.874119686,True,True,L0_008_004,1,1,肿瘤医院_00590,False
BV10208539,大名城(公交站),大名城,交通设施服务;公交车站;公交车站相关,150700,103路;107路;115路;166路(敬老线路);319路;40路快线;69路;71路;73路;7路;92路;地铁接驳23号专线;高峰快线6路,福建省,福州市,晋安区,119.329582,26.075756,119.32472184729899,26.07879965304657,732536.7237102543,2886485.038194769,True,True,L0_008_004,1,1,大名城_00591,False
BV10208540,紫阳(公交站),紫阳,交通设施服务;公交车站;公交车站相关,150700,103路;107路;125路;16路;335路;40路快线;69路;71路;73路;79路;7路;80路;88路;92路,福建省,福州市,晋安区,119.323708,26.076481,119.31885917188639,26.07953635081222,731948.6422346758,2886556.208917529,True,True,L0_007_004;L0_008_004,2;3,2,紫阳_00592,False
BV10208544,五福天桥(公交站),五福天桥,交通设施服务;公交车站;公交车站相关,150700,130路;19路;301路;318路;51路(敬老线路);52路;60路;71路;76路;7路;92路;K1路;看病就医专线,福建省,福州市,鼓楼区,119.311486,26.074563,119.30666051282671,26.077639848301107,730731.7589474552,2886324.403856161,True,True,L0_007_004,1,1,五福天桥_00593,False
BV10208545,状元境(公交站),状元境,交通设施服务;公交车站;公交车站相关,150700,101路;130路;173路;19路;301路;318路;51路(敬老线路);52路;60路;71路;76路;7路;8路;92路;97路;K1路;马尾快线4号线,福建省,福州市,台江区,119.312218,26.070496,119.30739146866321,26.07356881366672,730812.8888651413,2885874.627155896,True,True,L0_007_004,1,1,状元境_00594,False
BV10208547,博美诗邦(公交站),博美诗邦,交通设施服务;公交车站;公交车站相关,150700,(停运)夜班2号线;105路;10路;112路;121路(敬老线路);130路;14路;15路;169路(敬老线路);302路;313路;315路;318路;33路;38路;39路;41路;7路;82路;89路;93路;看病就医专线,福建省,福州市,台江区,119.303688,26.062883,119.29887728755706,26.065965673935025,729975.7779833671,2885017.1397592556,True,True,L0_007_004,2,1,博美诗邦_00595,False
BV10208548,祥坂路口(公交站),祥坂路口,交通设施服务;公交车站;公交车站相关,150700,(停运)夜班2号线;112路;113路;122路(敬老线路);130路;132路;13路(敬老线路);14路;150路;15路;27路(敬老线路);339路;358路区间;39路;41路;50路;61路;7路;98路;K3路;东部8号线(洪山梁厝专线),福建省,福州市,台江区,119.287806,26.062785,119.28301969306587,26.065891623288145,728389.0340721658,2884981.0391997816,True,True,L0_006_004,2,1,祥坂路口_00596,False
BV10208549,闽江学院工业路校区(公交站),闽江学院工业路校区,交通设施服务;公交车站;公交车站相关,150700,(停运)317路;112路;113路;128路;130路;132路;14路;27路(敬老线路);308路;323路快线;33路;38路;39路;61路;7路;91路;96路;97路;98路;空港快线三坊七巷专线,福建省,福州市,鼓楼区,119.280196,26.066952,119.27541859457018,26.070070582634152,727620.3019903748,2885430.759697901,True,True,L0_006_004,1,1,闽江学院工业路校区_00597,False
BV10208550,融侨锦江新天地(公交站),融侨锦江新天地,交通设施服务;公交车站;公交车站相关,150700,130路;181路(敬老线路);61路;7路,福建省,福州市,鼓楼区,119.271492,26.06802,119.26672266635822,26.071147553819245,726748.0525612978,2885534.9202171173,True,True,L0_006_004,2,1,融侨锦江新天地_00598,False
BV10208552,福大学生广场(公交站),福大学生广场,交通设施服务;公交车站;公交车站相关,150700,130路;181路(敬老线路);61路;7路,福建省,福州市,鼓楼区,119.26602,26.071416,119.26125411488974,26.07454968602386,726194.296814211,2885902.3621379426,True,True,L0_005_004,2,1,福大学生广场_00599,False
BV10208553,凤尾(公交站),凤尾,交通设施服务;公交车站;公交车站相关,150700,103路;130路;173路;303路;312路;61路;65路;7路,福建省,福州市,鼓楼区,119.277726,26.068594,119.27295105578803,26.07171627588492,727370.2022605545,2885608.790845927,True,True,L0_006_004,1,1,凤尾_00600,False
BV10208554,福祥社区(公交站),福祥社区,交通设施服务;公交车站;公交车站相关,150700,(停运)夜班2号线;112路;113路;122路(敬老线路);130路;132路;13路(敬老线路);14路;150路;15路;27路(敬老线路);339路;33路;38路;39路;41路;50路;61路;7路;98路;K3路;东部8号线(洪山梁厝专线),福建省,福州市,台江区,119.28507,26.063577,119.28028715553818,26.066687647254877,728114.0436009225,2885064.4504176416,True,True,L0_006_004,2,1,福祥社区_00601,False
BV10208556,省革命历史纪念馆(公交站),省革命历史纪念馆,交通设施服务;公交车站;公交车站相关,150700,107路;108路;115路;131路;162路;170路;178路;29路(敬老线路);302路;303路;380路;70路;73路;7路;M3路,福建省,福州市,晋安区,119.373947,26.055964,119.36901751814004,26.05892202282942,737009.1087666155,2884362.3885475257,True,True,L0_009_003,2,1,省革命历史纪念馆_00602,False
BV10208557,软件园公交总站(公交站),软件园公交总站,交通设施服务;公交车站;公交车站相关,150700,105路;107路;193路;200路;213路快线;311路;8路;地铁接驳28号专线;通勤快线16路;通勤快线17路;通勤快线2路;通勤快线4路,福建省,福州市,鼓楼区,119.267292,26.111241,119.26252237783848,26.11440012230776,726244.4711189509,2890319.93169866,True,True,L0_005_005;L0_005_006;L0_006_005,1;2;3,3,软件园公交总站_00603,False
BV10208560,省军区幼儿园(公交站),省军区幼儿园,交通设施服务;公交车站;公交车站相关,150700,105路;107路;200路;207路;311路;49路;80路;8路;通勤快线11路,福建省,福州市,鼓楼区,119.276463,26.10793,119.27168635161941,26.11107949624488,727167.5565983116,2889967.9828805956,True,True,L0_006_005,2,1,省军区幼儿园_00604,False
BV10208561,铜盘(公交站),铜盘,交通设施服务;公交车站;公交车站相关,150700,105路;107路;200路;207路;311路;49路;76路;80路;8路;通勤快线11路,福建省,福州市,鼓楼区,119.27888,26.104931,119.27410115392671,26.1080760999702,727414.9296580561,2889639.428617814,True,True,L0_006_005,1,1,铜盘_00605,False
BV10208562,天峰(公交站),天峰,交通设施服务;公交车站;公交车站相关,150700,105路;107路;200路;207路;311路;49路;76路;80路;8路;通勤快线11路,福建省,福州市,鼓楼区,119.281293,26.102253,119.27651173736352,26.10539372753703,727661.270479706,2889346.4400934763,True,True,L0_006_005,1,1,天峰_00606,False
BV10208563,左海公园(公交站),左海公园,交通设施服务;公交车站;公交车站相关,150700,101路;23路;322路;49路;66路;74路(敬老线路);76路;80路;8路,福建省,福州市,鼓楼区,119.284497,26.101105,119.27971205264589,26.10424121775328,727983.6572138751,2889224.346913085,True,True,L0_006_005,1,1,左海公园_00607,False
