line_id,route_id,stop_count,route_link_count,route_length_m,service_length_m,old_terminal_offset_s,new_terminal_offset_s,old_commercial_speed_kmh,new_commercial_speed_kmh,offsets_strictly_increasing,index_warning_count
bus_line_350100010737,bus_route_350100010737,20,111,13930.779,13930.779,2354.0,2354.268,21.305,21.302,true,0
bus_line_350100010738,bus_route_350100010738,36,610,80051.375,80051.375,11976.0,11976.081,24.064,24.063,true,0
bus_line_350100010739,bus_route_350100010739,34,726,89161.7,89161.7,13006.0,13006.08,24.68,24.679,true,0
bus_line_350100010742,bus_route_350100010742,32,174,23446.658,23446.658,3727.0,3727.461,22.648,22.645,true,0
bus_line_350100010743,bus_route_350100010743,30,188,24409.652,24409.652,3860.0,3859.577,22.765,22.768,true,0
bus_line_350100010761,bus_route_350100010761,3,8,1137.991,1137.991,197.0,197.06,20.796,20.789,true,0
bus_line_350100010762,bus_route_350100010762,4,48,6334.826,6334.826,923.0,923.04,24.708,24.707,true,0
bus_line_350100010767,bus_route_350100010767,19,130,17164.682,17164.682,2751.0,2751.45,22.462,22.458,true,0
bus_line_350100010779,bus_route_350100010779,29,329,44373.051,44373.051,7033.0,7033.399,22.713,22.712,true,0
bus_line_350100010780,bus_route_350100010780,29,282,31149.245,31149.245,5139.0,5139.15,21.821,21.82,true,0
bus_line_900000000888,bus_route_900000000888,21,139,17949.171,17949.171,2784.0,2783.979,23.21,23.21,true,0
bus_line_900000000889,bus_route_900000000889,21,134,16621.177,16621.177,2711.0,2711.23,22.072,22.07,true,0
bus_line_900000025642,bus_route_900000025642,35,247,28997.147,28997.147,4755.0,4755.24,21.954,21.953,true,0
bus_line_900000028084,bus_route_900000028084,13,74,13396.59,13396.59,2346.0,2346.263,20.557,20.555,true,0
bus_line_900000028085,bus_route_900000028085,23,136,19826.852,19826.852,2934.0,2933.969,24.327,24.328,true,0
bus_line_900000028087,bus_route_900000028087,20,193,25538.934,25538.934,3736.0,3736.129,24.609,24.608,true,0
bus_line_900000028092,bus_route_900000028092,12,58,10710.905,10710.905,1957.0,1957.209,19.703,19.701,true,0
bus_line_900000029831,bus_route_900000029831,23,129,19569.868,19569.868,2988.0,2988.086,23.578,23.577,true,0
bus_line_900000029832,bus_route_900000029832,23,131,16521.404,16521.404,2594.0,2594.27,22.929,22.926,true,0
bus_line_900000030076,bus_route_900000030076,18,145,17470.043,17470.043,2695.0,2695.389,23.337,23.333,true,0
bus_line_900000030077,bus_route_900000030077,18,164,21835.176,21835.176,3272.0,3272.449,24.024,24.021,true,0
