transport_mode,official_line_id,official_direction,official_stop_count,official_stop_ids_json,pattern_source_id
train,ISL,DT,17,"[""37"", ""36"", ""35"", ""34"", ""33"", ""32"", ""31"", ""30"", ""29"", ""28"", ""27"", ""2"", ""1"", ""26"", ""81"", ""82"", ""83""]",mtr_line_station_patterns
train,ISL,UT,17,"[""83"", ""82"", ""81"", ""26"", ""1"", ""2"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37""]",mtr_line_station_patterns
train,KTL,DT,17,"[""49"", ""48"", ""38"", ""15"", ""14"", ""13"", ""12"", ""11"", ""10"", ""9"", ""8"", ""7"", ""16"", ""6"", ""5"", ""84"", ""85""]",mtr_line_station_patterns
train,KTL,UT,17,"[""85"", ""84"", ""5"", ""6"", ""16"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""38"", ""48"", ""49""]",mtr_line_station_patterns
train,SIL,DT,5,"[""89"", ""88"", ""87"", ""86"", ""2""]",mtr_line_station_patterns
train,SIL,UT,5,"[""2"", ""86"", ""87"", ""88"", ""89""]",mtr_line_station_patterns
train,TCL,DT,8,"[""43"", ""54"", ""42"", ""21"", ""53"", ""41"", ""40"", ""39""]",mtr_line_station_patterns
train,TCL,UT,8,"[""39"", ""40"", ""41"", ""53"", ""21"", ""42"", ""54"", ""43""]",mtr_line_station_patterns
train,TKL,DT,7,"[""52"", ""51"", ""50"", ""49"", ""48"", ""32"", ""31""]",mtr_line_station_patterns
train,TKL,TKS-DT,3,"[""57"", ""50"", ""49""]",mtr_line_station_patterns
train,TKL,TKS-UT,3,"[""49"", ""50"", ""57""]",mtr_line_station_patterns
train,TKL,UT,7,"[""31"", ""32"", ""48"", ""49"", ""50"", ""51"", ""52""]",mtr_line_station_patterns
train,TML,DT,27,"[""120"", ""119"", ""118"", ""117"", ""116"", ""115"", ""114"", ""20"", ""53"", ""111"", ""80"", ""64"", ""84"", ""93"", ""92"", ""91"", ""11"", ""90"", ""67"", ""96"", ""97"", ""98"", ""99"", ""100"", ""101"", ""102"", ""103""]",mtr_line_station_patterns
train,TML,UT,27,"[""103"", ""102"", ""101"", ""100"", ""99"", ""98"", ""97"", ""96"", ""67"", ""90"", ""11"", ""91"", ""92"", ""93"", ""84"", ""64"", ""80"", ""111"", ""53"", ""20"", ""114"", ""115"", ""116"", ""117"", ""118"", ""119"", ""120""]",mtr_line_station_patterns
train,TWL,DT,16,"[""25"", ""24"", ""23"", ""22"", ""21"", ""20"", ""19"", ""18"", ""17"", ""16"", ""6"", ""5"", ""4"", ""3"", ""2"", ""1""]",mtr_line_station_patterns
train,TWL,UT,16,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25""]",mtr_line_station_patterns
