line_id,route_id,stop_count,route_link_count,route_length_m,service_length_m,old_terminal_offset_s,new_terminal_offset_s,old_commercial_speed_kmh,new_commercial_speed_kmh,offsets_strictly_increasing,index_warning_count
bus_line_900000107418,bus_route_900000107418,20,310,40843.393,40843.393,2318.0,6085.692,63.432,24.161,true,0
bus_line_900000107419,bus_route_900000107419,19,182,21263.521,20956.366,1314.0,3425.661,57.415,22.023,true,0
bus_line_900000112774,bus_route_900000112774,2,210,10754.265,10754.265,647.0,1611.914,59.838,24.018,true,0
bus_line_900000112868,bus_route_900000112868,15,262,33573.567,33573.567,1906.0,4998.629,63.413,24.18,true,0
bus_line_900000114300,bus_route_900000114300,16,133,18397.182,18397.182,859.0,2677.329,77.101,24.737,true,0
bus_line_900000114301,bus_route_900000114301,16,201,25659.486,25659.486,1190.0,3651.464,77.625,25.298,true,0
bus_line_900000118761,bus_route_900000118761,16,98,8280.538,8185.687,513.0,1503.728,57.443,19.597,true,0
bus_line_900000118762,bus_route_900000118762,15,268,30816.336,29036.934,1801.0,4584.415,58.042,22.802,true,0
bus_line_900000118768,bus_route_900000118768,14,87,8427.05,8427.05,543.0,1520.192,55.87,19.956,true,0
bus_line_900000118769,bus_route_900000118769,15,246,27334.4,27080.606,1775.0,4398.119,54.924,22.166,true,0
bus_line_900000121692,bus_route_900000121692,11,109,11285.985,11285.985,599.0,1738.339,67.829,23.373,true,0
bus_line_900000122166,bus_route_900000122166,11,66,8699.416,8699.416,469.0,1395.397,66.776,22.444,true,0
bus_line_900000122233,bus_route_900000122233,16,116,18585.706,18585.706,1236.0,3008.389,54.133,22.241,true,0
bus_line_900000122234,bus_route_900000122234,15,123,19043.999,18962.792,1070.0,2893.761,63.8,23.591,true,0
bus_line_900000125029,bus_route_900000125029,31,503,73131.783,73131.783,4415.0,11164.162,59.632,23.582,true,0
bus_line_900000125030,bus_route_900000125030,28,316,50718.611,50718.611,3072.0,7972.584,59.436,22.902,true,0
bus_line_900000125548,bus_route_900000125548,9,263,48803.724,48803.724,2866.0,6968.974,61.303,25.211,true,0
bus_line_900000125708,bus_route_900000125708,26,139,20237.284,20237.284,1055.0,3206.285,69.056,22.722,true,0
bus_line_900000125709,bus_route_900000125709,27,148,22376.544,22239.859,1161.0,3506.136,68.961,22.835,true,0
bus_line_900000126889,bus_route_900000126889,7,820,133050.333,133050.333,6519.0,17410.18,73.475,27.512,true,0
bus_line_900000127824,bus_route_900000127824,8,33,6417.549,6417.549,361.0,1055.334,63.998,21.892,true,0
bus_line_900000128846,bus_route_900000128846,18,93,11378.119,11378.119,706.0,2035.707,58.019,20.121,true,0
bus_line_900000128847,bus_route_900000128847,13,142,16226.999,16226.999,931.0,2525.075,62.747,23.135,true,0
bus_line_900000133373,bus_route_900000133373,35,236,31004.161,31004.161,1767.0,5044.21,63.166,22.127,true,0
bus_line_900000139138,bus_route_900000139138,7,223,36776.398,36776.398,1810.0,4848.933,73.146,27.304,true,0
bus_line_900000139139,bus_route_900000139139,7,473,76165.714,75979.743,3862.0,10059.236,70.825,27.192,true,0
bus_line_900000139514,bus_route_900000139514,10,90,19433.784,18622.199,1280.0,3125.449,52.375,21.45,true,0
bus_line_900000139515,bus_route_900000139515,11,145,29323.735,22466.97,1926.0,3710.268,41.994,21.799,true,0
bus_line_900000139516,bus_route_900000139516,12,80,8939.472,8939.472,632.0,1643.901,50.921,19.577,true,0
bus_line_900000139517,bus_route_900000139517,10,83,8916.79,8916.79,624.0,1584.989,51.443,20.253,true,0
bus_line_900000140680,bus_route_900000140680,23,427,56902.528,56902.528,2980.0,8062.711,68.741,25.407,true,0
bus_line_900000140681,bus_route_900000140681,28,758,117307.002,99354.543,4903.0,13613.089,72.951,26.274,true,0
bus_line_900000140953,bus_route_900000140953,12,203,27344.878,27344.878,1534.0,4045.729,64.173,24.332,true,0
bus_line_900000140954,bus_route_900000140954,11,168,26571.444,26571.444,1570.0,3992.678,60.928,23.958,true,0
bus_line_900000140959,bus_route_900000140959,14,56,9268.326,9268.326,596.0,1663.08,55.983,20.063,true,0
bus_line_900000140960,bus_route_900000140960,12,69,9180.217,8914.006,545.0,1535.333,58.882,20.901,true,0
bus_line_900000144206,bus_route_900000144206,10,500,97084.816,97084.816,6009.0,14296.547,58.164,24.447,true,0
bus_line_900000144207,bus_route_900000144207,10,429,78447.575,78447.575,5169.0,12070.018,54.636,23.398,true,0
bus_line_900000144208,bus_route_900000144208,5,118,13771.908,13771.908,650.0,1886.166,76.275,26.286,true,0
bus_line_900000144209,bus_route_900000144209,5,81,10760.972,10760.972,468.0,1446.714,82.777,26.778,true,0
bus_line_900000144210,bus_route_900000144210,16,200,42384.594,42384.594,2485.0,6347.709,61.402,24.038,true,0
bus_line_900000144827,bus_route_900000144827,8,82,9142.521,9142.521,683.0,1557.242,48.189,21.135,true,0
bus_line_900000144828,bus_route_900000144828,9,194,18361.819,18355.975,1781.0,3350.952,37.104,19.72,true,0
bus_line_900000145013,bus_route_900000145013,6,147,19893.48,19829.397,1134.0,2912.347,62.95,24.511,true,0
bus_line_900000145293,bus_route_900000145293,21,165,16431.927,16431.927,1103.0,2911.192,53.631,20.32,true,0
bus_line_900000145294,bus_route_900000145294,21,134,15523.493,15077.422,920.0,2624.158,58.999,20.684,true,0
bus_line_900000146201,bus_route_900000146201,9,458,73260.661,73260.661,4156.0,10370.442,63.46,25.432,true,0
bus_line_900000146207,bus_route_900000146207,9,827,142095.13,142095.13,7063.0,18680.74,72.426,27.383,true,0
bus_line_900000146209,bus_route_900000146209,6,2003,436648.088,436648.088,20888.0,56791.624,75.255,27.679,true,0
bus_line_900000146212,bus_route_900000146212,9,392,59733.103,59733.103,3280.0,8467.456,65.561,25.396,true,0
bus_line_900000146272,bus_route_900000146272,8,1206,229273.282,229273.282,10776.0,29660.563,76.595,27.828,true,0
bus_line_900000146903,bus_route_900000146903,15,225,29622.42,29622.42,1763.0,4446.678,60.488,23.982,true,0
bus_line_900000146904,bus_route_900000146904,17,185,20970.376,20970.376,1129.0,3147.001,66.867,23.989,true,0
bus_line_900000146905,bus_route_900000146905,17,148,26815.021,26815.021,1719.0,4285.298,56.157,22.527,true,0
bus_line_900000146906,bus_route_900000146906,16,100,19391.611,19391.611,1240.0,3198.786,56.298,21.824,true,0
bus_line_900000146909,bus_route_900000146909,10,541,90607.36,90607.36,5098.0,12699.654,63.983,25.685,true,0
bus_line_900000146910,bus_route_900000146910,10,702,152059.405,152059.405,8216.0,20602.183,66.628,26.571,true,0
bus_line_900000146927,bus_route_900000146927,11,512,70096.658,69919.666,4038.0,10022.679,62.336,25.114,true,0
bus_line_900000146928,bus_route_900000146928,12,579,85620.086,85435.081,4722.0,12030.498,65.135,25.566,true,0
bus_line_900000148759,bus_route_900000148759,4,35,4143.292,4143.292,212.0,600.394,70.358,24.843,true,0
bus_line_900000148762,bus_route_900000148762,4,32,2929.624,2929.624,176.0,474.544,59.924,22.225,true,0
bus_line_900000148866,bus_route_900000148866,4,22,2939.558,2939.558,170.0,482.918,62.249,21.913,true,0
bus_line_900000148867,bus_route_900000148867,4,724,206855.738,206855.738,9677.0,26547.932,76.954,28.05,true,0
bus_line_900000149278,bus_route_900000149278,7,842,132823.994,130261.708,6597.0,17219.628,71.084,27.233,true,0
bus_line_900000149468,bus_route_900000149468,7,1505,306087.734,306087.734,14048.0,39415.765,78.439,27.956,true,0
bus_line_900000149554,bus_route_900000149554,5,153,32716.458,26840.875,1279.0,3627.558,75.549,26.637,true,0
bus_line_900000149864,bus_route_900000149864,9,368,50169.442,47607.156,2648.0,6847.877,64.723,25.028,true,0
bus_line_900000152292,bus_route_900000152292,35,233,52747.228,52747.228,3920.0,8954.368,48.441,21.206,true,0
bus_line_900000153779,bus_route_900000153779,13,549,96925.742,63742.25,3244.0,8662.362,70.737,26.491,true,0
bus_line_900000153780,bus_route_900000153780,13,467,79163.586,79018.056,4246.0,10937.128,66.996,26.009,true,0
bus_line_900000157129,bus_route_900000157129,20,196,27165.083,27165.083,1678.0,4401.715,58.28,22.217,true,0
bus_line_900000157130,bus_route_900000157130,22,226,33216.572,33216.572,2513.0,5682.793,47.584,21.042,true,0
bus_line_900000157702,bus_route_900000157702,10,96,8382.239,8382.239,567.0,1491.825,53.221,20.228,true,0
bus_line_900000157703,bus_route_900000157703,9,89,7893.416,7893.416,547.0,1416.282,51.949,20.064,true,0
bus_line_900000160846,bus_route_900000160846,10,27,5373.86,5373.86,303.0,934.171,63.848,20.709,true,0
bus_line_900000160847,bus_route_900000160847,9,31,5357.768,5357.768,306.0,915.346,63.033,21.072,true,0
bus_line_900000161215,bus_route_900000161215,7,193,24273.238,23719.796,1333.0,3439.227,64.059,24.829,true,0
bus_line_900000161216,bus_route_900000161216,7,233,37516.81,37452.727,2084.0,5321.139,64.698,25.339,true,0
bus_line_900000161271,bus_route_900000161271,11,660,131983.812,131983.812,7166.0,17881.074,66.305,26.572,true,0
bus_line_900000161600,bus_route_900000161600,11,594,133297.346,133297.346,6858.0,17708.187,69.972,27.099,true,0
bus_line_900000161666,bus_route_900000161666,23,232,50086.053,50086.053,3126.0,7907.549,57.681,22.802,true,0
bus_line_900000161667,bus_route_900000161667,23,221,51867.993,51365.219,3149.0,8022.887,58.722,23.048,true,0
bus_line_900000161723,bus_route_900000161723,16,146,12885.915,12885.915,762.0,2179.089,60.878,21.288,true,0
bus_line_900000161724,bus_route_900000161724,16,121,10323.739,10323.739,665.0,1830.494,55.888,20.304,true,0
bus_line_900000166343,bus_route_900000166343,24,490,92112.596,91930.692,5589.0,13199.729,59.215,25.073,true,0
bus_line_900000166344,bus_route_900000166344,19,233,43984.885,43893.933,2694.0,6630.048,58.656,23.834,true,0
bus_line_900000166891,bus_route_900000166891,6,230,41219.789,15615.089,824.0,2188.835,68.221,25.682,true,0
bus_line_900000166892,bus_route_900000166892,6,248,57383.017,57383.017,2967.0,7583.793,69.626,27.24,true,0
bus_line_900000166947,bus_route_900000166947,21,163,23364.64,23211.782,1201.0,3556.361,69.577,23.497,true,0
bus_line_900000166948,bus_route_900000166948,22,113,21515.849,21515.849,1064.0,3286.231,72.798,23.57,true,0
bus_line_900000167351,bus_route_900000167351,13,587,114440.367,114440.367,6721.0,16614.253,61.298,24.797,true,0
bus_line_900000167352,bus_route_900000167352,13,522,95162.08,95162.08,5900.0,14326.014,58.065,23.913,true,0
bus_line_900000169184,bus_route_900000169184,12,166,19804.661,19804.661,1081.0,2952.171,65.954,24.151,true,0
bus_line_900000169185,bus_route_900000169185,12,175,25478.913,25478.913,1271.0,3646.501,72.167,25.154,true,0
bus_line_900000169358,bus_route_900000169358,23,753,155417.941,124147.945,6988.0,17615.542,63.957,25.371,true,0
bus_line_900000169359,bus_route_900000169359,22,1004,189432.505,189432.505,10375.0,26255.737,65.731,25.974,true,0
bus_line_900000169563,bus_route_900000169563,5,40,5207.728,5207.728,310.0,805.907,60.477,23.263,true,0
bus_line_900000169564,bus_route_900000169564,5,46,5335.7,5335.7,292.0,814.699,65.783,23.577,true,0
