link_id,original_link_id,road_class,length_m,old_freespeed_kmh,speed_cap_kmh,new_freespeed_kmh,capacity,permlanes,speed_was_capped
busprio_l_10092_0_f,l_10092_0_f,primary,30.975,79.992,28.0,28.0,5400,3,true
busprio_l_10092_1_f,l_10092_1_f,primary,30.763,79.992,28.0,28.0,5400,3,true
busprio_l_10093_0_f,l_10093_0_f,primary,88.7,79.992,28.0,28.0,3600,2,true
busprio_l_10094_0_f,l_10094_0_f,primary,94.252,79.992,28.0,28.0,5400,3,true
busprio_l_10094_1_f,l_10094_1_f,primary,30.529,79.992,28.0,28.0,5400,3,true
busprio_l_10095_0_f,l_10095_0_f,trunk_link,66.957,60.012,30.0,30.0,3600,1,true
busprio_l_10096_0_f,l_10096_0_f,primary,42.653,79.992,28.0,28.0,5400,3,true
busprio_l_10096_1_f,l_10096_1_f,primary,80.651,79.992,28.0,28.0,5400,3,true
busprio_l_10097_0_f,l_10097_0_f,primary,27.363,79.992,28.0,28.0,5400,3,true
busprio_l_10098_0_f,l_10098_0_f,primary,20.506,79.992,28.0,28.0,3600,2,true
busprio_l_10098_1_f,l_10098_1_f,primary,48.956,79.992,28.0,28.0,3600,2,true
busprio_l_10099_0_f,l_10099_0_f,primary,62.326,79.992,28.0,28.0,5400,3,true
busprio_l_1009_0_f,l_1009_0_f,primary,205.504,79.992,28.0,28.0,5400,3,true
busprio_l_100_1_f,l_100_1_f,residential,394.659,29.988,20.0,20.0,3600,1,true
busprio_l_100_1_r,l_100_1_r,residential,394.659,29.988,20.0,20.0,3600,1,true
busprio_l_100_2_f,l_100_2_f,residential,422.595,29.988,20.0,20.0,3600,1,true
busprio_l_100_2_r,l_100_2_r,residential,422.595,29.988,20.0,20.0,3600,1,true
busprio_l_10100_0_f,l_10100_0_f,primary,47.761,79.992,28.0,28.0,5400,3,true
busprio_l_10101_0_f,l_10101_0_f,primary,47.782,79.992,28.0,28.0,5400,3,true
busprio_l_10102_0_f,l_10102_0_f,primary,26.125,79.992,28.0,28.0,5400,3,true
busprio_l_10103_0_f,l_10103_0_f,trunk,162.617,100.008,30.0,30.0,6000,3,true
busprio_l_10104_0_f,l_10104_0_f,trunk_link,141.502,60.012,30.0,30.0,3600,2,true
busprio_l_10106_0_f,l_10106_0_f,primary,105.873,79.992,28.0,28.0,5400,3,true
busprio_l_10107_0_f,l_10107_0_f,primary,19.033,79.992,28.0,28.0,5400,3,true
busprio_l_10108_0_f,l_10108_0_f,primary,91.523,79.992,28.0,28.0,5400,3,true
busprio_l_10108_1_f,l_10108_1_f,primary,7.125,79.992,28.0,28.0,5400,3,true
busprio_l_10108_2_f,l_10108_2_f,primary,5.06,79.992,28.0,28.0,5400,3,true
busprio_l_10109_0_f,l_10109_0_f,primary,20.923,79.992,28.0,28.0,5400,3,true
busprio_l_1010_0_f,l_1010_0_f,primary,227.54,79.992,28.0,28.0,5400,3,true
busprio_l_10113_0_r,l_10113_0_r,service,362.919,20.016,15.0,15.0,3600,1,true
busprio_l_10114_0_r,l_10114_0_r,service,52.719,20.016,15.0,15.0,3600,1,true
busprio_l_1011_0_f,l_1011_0_f,primary,85.252,79.992,28.0,28.0,5400,3,true
busprio_l_10125_0_f,l_10125_0_f,tertiary,159.184,50.004,22.0,22.0,3600,1,true
busprio_l_10125_1_f,l_10125_1_f,tertiary,37.797,50.004,22.0,22.0,3600,1,true
busprio_l_10125_2_f,l_10125_2_f,tertiary,41.303,50.004,22.0,22.0,3600,1,true
busprio_l_10125_3_f,l_10125_3_f,tertiary,878.25,50.004,22.0,22.0,3600,1,true
busprio_l_10125_3_r,l_10125_3_r,tertiary,878.25,50.004,22.0,22.0,3600,1,true
busprio_l_10126_0_f,l_10126_0_f,tertiary,110.209,50.004,22.0,22.0,3600,1,true
busprio_l_1012_0_f,l_1012_0_f,primary,268.078,79.992,28.0,28.0,5400,3,true
busprio_l_1013_0_f,l_1013_0_f,primary,86.779,79.992,28.0,28.0,5400,3,true
busprio_l_1014_0_f,l_1014_0_f,secondary,12.702,60.012,25.0,25.0,3600,2,true
busprio_l_1014_1_f,l_1014_1_f,secondary,129.451,60.012,25.0,25.0,3600,2,true
busprio_l_1014_2_f,l_1014_2_f,secondary,57.734,60.012,25.0,25.0,3600,2,true
busprio_l_1014_3_f,l_1014_3_f,secondary,86.291,60.012,25.0,25.0,3600,2,true
busprio_l_10150_0_f,l_10150_0_f,service,21.388,20.016,15.0,15.0,3600,1,true
busprio_l_10150_0_r,l_10150_0_r,service,21.388,20.016,15.0,15.0,3600,1,true
busprio_l_10155_0_f,l_10155_0_f,residential,42.909,29.988,20.0,20.0,3600,1,true
busprio_l_10155_0_r,l_10155_0_r,residential,42.909,29.988,20.0,20.0,3600,1,true
busprio_l_1015_0_f,l_1015_0_f,secondary,72.734,60.012,25.0,25.0,3600,2,true
busprio_l_1015_1_f,l_1015_1_f,secondary,109.393,60.012,25.0,25.0,3600,2,true
busprio_l_1015_2_f,l_1015_2_f,secondary,94.388,60.012,25.0,25.0,3600,2,true
busprio_l_1015_3_f,l_1015_3_f,secondary,16.718,60.012,25.0,25.0,3600,2,true
busprio_l_1017_0_f,l_1017_0_f,primary,276.401,79.992,28.0,28.0,5400,3,true
busprio_l_1017_10_f,l_1017_10_f,primary,51.813,79.992,28.0,28.0,5400,3,true
busprio_l_1017_11_f,l_1017_11_f,primary,180.086,79.992,28.0,28.0,5400,3,true
busprio_l_1017_12_f,l_1017_12_f,primary,69.243,79.992,28.0,28.0,5400,3,true
busprio_l_1017_13_f,l_1017_13_f,primary,31.956,79.992,28.0,28.0,5400,3,true
busprio_l_1017_1_f,l_1017_1_f,primary,441.399,79.992,28.0,28.0,5400,3,true
busprio_l_1017_2_f,l_1017_2_f,primary,127.142,79.992,28.0,28.0,5400,3,true
busprio_l_1017_3_f,l_1017_3_f,primary,514.568,79.992,28.0,28.0,5400,3,true
busprio_l_1017_4_f,l_1017_4_f,primary,616.629,79.992,28.0,28.0,5400,3,true
busprio_l_1017_5_f,l_1017_5_f,primary,664.987,79.992,28.0,28.0,5400,3,true
busprio_l_1017_6_f,l_1017_6_f,primary,395.643,79.992,28.0,28.0,5400,3,true
busprio_l_1017_7_f,l_1017_7_f,primary,11.071,79.992,28.0,28.0,5400,3,true
busprio_l_1017_8_f,l_1017_8_f,primary,248.69,79.992,28.0,28.0,5400,3,true
busprio_l_1017_9_f,l_1017_9_f,primary,322.86,79.992,28.0,28.0,5400,3,true
busprio_l_10184_0_f,l_10184_0_f,tertiary,44.17,50.004,22.0,22.0,3600,2,true
busprio_l_10184_0_r,l_10184_0_r,tertiary,44.17,50.004,22.0,22.0,3600,1,true
busprio_l_10185_0_f,l_10185_0_f,tertiary,12.264,50.004,22.0,22.0,3600,2,true
busprio_l_10185_0_r,l_10185_0_r,tertiary,12.264,50.004,22.0,22.0,3600,1,true
busprio_l_10186_0_f,l_10186_0_f,tertiary,6.446,50.004,22.0,22.0,3600,2,true
busprio_l_10186_0_r,l_10186_0_r,tertiary,6.446,50.004,22.0,22.0,3600,1,true
busprio_l_10187_0_f,l_10187_0_f,tertiary,162.33,50.004,22.0,22.0,3600,2,true
busprio_l_10187_0_r,l_10187_0_r,tertiary,162.33,50.004,22.0,22.0,3600,1,true
busprio_l_10188_0_f,l_10188_0_f,tertiary,43.339,50.004,22.0,22.0,3600,1,true
busprio_l_10188_0_r,l_10188_0_r,tertiary,43.339,50.004,22.0,22.0,3600,1,true
busprio_l_10189_0_f,l_10189_0_f,service,98.198,20.016,15.0,15.0,3600,1,true
busprio_l_10189_0_r,l_10189_0_r,service,98.198,20.016,15.0,15.0,3600,1,true
busprio_l_1018_0_f,l_1018_0_f,primary,30.994,79.992,28.0,28.0,5400,3,true
busprio_l_1018_1_f,l_1018_1_f,primary,100.561,79.992,28.0,28.0,5400,3,true
busprio_l_1018_2_f,l_1018_2_f,primary,134.605,79.992,28.0,28.0,5400,3,true
busprio_l_1018_3_f,l_1018_3_f,primary,45.662,79.992,28.0,28.0,5400,3,true
busprio_l_1019_0_f,l_1019_0_f,secondary,51.912,60.012,25.0,25.0,3600,2,true
busprio_l_1019_1_f,l_1019_1_f,secondary,9.751,60.012,25.0,25.0,3600,2,true
busprio_l_1019_2_f,l_1019_2_f,secondary,17.717,60.012,25.0,25.0,3600,2,true
busprio_l_101_0_f,l_101_0_f,secondary,11.482,60.012,25.0,25.0,3600,2,true
busprio_l_101_1_f,l_101_1_f,secondary,186.794,60.012,25.0,25.0,3600,2,true
busprio_l_101_2_f,l_101_2_f,secondary,154.49,60.012,25.0,25.0,3600,2,true
busprio_l_101_3_f,l_101_3_f,secondary,24.361,60.012,25.0,25.0,3600,2,true
busprio_l_101_4_f,l_101_4_f,secondary,121.625,60.012,25.0,25.0,3600,2,true
busprio_l_101_5_f,l_101_5_f,secondary,11.306,60.012,25.0,25.0,3600,2,true
