matsim_line_id,matsim_route_id,official_route_id,matsim_route_suffix,official_json_route_sequence,schedule_stop_count,official_pattern_stop_count,candidate_count,candidate_cardinality,complete_stop_sequence_exact,route_suffix_matches_routeSeq,route_suffix_used_as_evidence,direction_status,prior_direction_status,prior_mapping_status,prior_mapping_quality,current_mapping_status,current_mapping_quality,upgrade_status,matching_method,evidence,unresolved_reason
line_gmb_2002321,gmb_2002321_2,2002321,2,2,13,13,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20001269"",""20003237"",""20003238"",""20001276"",""20009436"",""20020330"",""20001272"",""20001274"",""20020331"",""20004135"",""20001263"",""20001253"",""20001264""],""schedule_stop_ids"":[""20001269"",""20003237"",""20003238"",""20001276"",""20009436"",""20020330"",""20001272"",""20001274"",""20020331"",""20004135"",""20001263"",""20001253"",""20001264""]}",
line_gmb_2002325,gmb_2002325_1,2002325,1,1,8,8,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20009903"",""20001266"",""20001268"",""20020329"",""20001276"",""20007251"",""20001278"",""20018610""],""schedule_stop_ids"":[""20009903"",""20001266"",""20001268"",""20020329"",""20001276"",""20007251"",""20001278"",""20018610""]}",
line_gmb_2002325,gmb_2002325_2,2002325,2,2,12,12,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20018610"",""20001278"",""20007251"",""20001276"",""20009436"",""20020330"",""20001274"",""20020331"",""20004135"",""20001263"",""20001253"",""20001264""],""schedule_stop_ids"":[""20018610"",""20001278"",""20007251"",""20001276"",""20009436"",""20020330"",""20001274"",""20020331"",""20004135"",""20001263"",""20001253"",""20001264""]}",
line_gmb_2002327,gmb_2002327_1,2002327,1,1,5,5,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20009903"",""20001266"",""20001268"",""20001276"",""20007251""],""schedule_stop_ids"":[""20009903"",""20001266"",""20001268"",""20001276"",""20007251""]}",
line_gmb_2002327,gmb_2002327_2,2002327,2,2,9,9,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20007251"",""20001276"",""20009436"",""20001272"",""20001274"",""20004135"",""20001263"",""20001253"",""20009903""],""schedule_stop_ids"":[""20007251"",""20001276"",""20009436"",""20001272"",""20001274"",""20004135"",""20001263"",""20001253"",""20009903""]}",
line_gmb_2002329,gmb_2002329_1,2002329,1,1,10,10,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20021844"",""20000859"",""20009670"",""20009674"",""20000541"",""20000433"",""20009675"",""20004126"",""20009676"",""20000547""],""schedule_stop_ids"":[""20021844"",""20000859"",""20009670"",""20009674"",""20000541"",""20000433"",""20009675"",""20004126"",""20009676"",""20000547""]}",
line_gmb_2002329,gmb_2002329_2,2002329,2,2,7,7,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20000547"",""20006961"",""20000546"",""20009667"",""20009668"",""20009669"",""20000540""],""schedule_stop_ids"":[""20000547"",""20006961"",""20000546"",""20009667"",""20009668"",""20009669"",""20000540""]}",
line_gmb_2002331,gmb_2002331_1,2002331,1,1,8,8,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20000547"",""20000470"",""20007224"",""20000453"",""20006090"",""20006092"",""20001082"",""20000454""],""schedule_stop_ids"":[""20000547"",""20000470"",""20007224"",""20000453"",""20006090"",""20006092"",""20001082"",""20000454""]}",
line_gmb_2002331,gmb_2002331_2,2002331,2,2,4,4,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20000454"",""20006602"",""20000544"",""20000547""],""schedule_stop_ids"":[""20000454"",""20006602"",""20000544"",""20000547""]}",
line_gmb_2002333,gmb_2002333_1,2002333,1,1,9,9,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20000547"",""20000470"",""20007224"",""20000453"",""20006090"",""20006092"",""20001082"",""20003532"",""20002608""],""schedule_stop_ids"":[""20000547"",""20000470"",""20007224"",""20000453"",""20006090"",""20006092"",""20001082"",""20003532"",""20002608""]}",
line_gmb_2002333,gmb_2002333_2,2002333,2,2,4,4,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20002608"",""20006602"",""20000544"",""20009412""],""schedule_stop_ids"":[""20002608"",""20006602"",""20000544"",""20009412""]}",
line_gmb_2002335,gmb_2002335_1,2002335,1,1,2,2,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20002608"",""20007225""],""schedule_stop_ids"":[""20002608"",""20007225""]}",
line_gmb_2002336,gmb_2002336_1,2002336,1,1,18,18,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20000620"",""20006029"",""20000622"",""20000909"",""20021026"",""20000458"",""20000625"",""20006085"",""20000626"",""20006093"",""20000627"",""20000547"",""20000628"",""20000629"",""20006094"",""20000630"",""20000631"",""20000620""],""schedule_stop_ids"":[""20000620"",""20006029"",""20000622"",""20000909"",""20021026"",""20000458"",""20000625"",""20006085"",""20000626"",""20006093"",""20000627"",""20000547"",""20000628"",""20000629"",""20006094"",""20000630"",""20000631"",""20000620""]}",
line_gmb_2002337,gmb_2002337_1,2002337,1,1,8,8,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20001112"",""20001113"",""20001114"",""20001993"",""20001996"",""20000566"",""20001117"",""20001115""],""schedule_stop_ids"":[""20001112"",""20001113"",""20001114"",""20001993"",""20001996"",""20000566"",""20001117"",""20001115""]}",
line_gmb_2002337,gmb_2002337_2,2002337,2,2,4,4,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20001115"",""20001116"",""20001999"",""20001112""],""schedule_stop_ids"":[""20001115"",""20001116"",""20001999"",""20001112""]}",
line_gmb_2002339,gmb_2002339_1,2002339,1,1,4,4,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20001112"",""20003160"",""20001128"",""20001129""],""schedule_stop_ids"":[""20001112"",""20003160"",""20001128"",""20001129""]}",
line_gmb_2002339,gmb_2002339_2,2002339,2,2,4,4,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20001129"",""20001128"",""20003161"",""20001112""],""schedule_stop_ids"":[""20001129"",""20001128"",""20003161"",""20001112""]}",
