station_id,amap_stop_id,station_name,lon,lat,line_ids,line_names,occurrence_count,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,coord_source,mode
BV11339272,BV11339272,机场,119.67529,25.92792,900000139163;900000139164,滨海快线(文岭--福州火车站);滨海快线(福州火车站--文岭),2,119.67529,25.92792,119.67078719745308,25.931048879126866,767502.238489954,2870775.6404014477,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10877575,BV10877575,林浦,119.365369,26.015993,900000076581;900000076583;900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲);地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),4,119.365369,26.015993,119.36045241067049,26.018938486485133,736232.0770993867,2879916.5640268372,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10687402,BV10687402,树兜,119.305985,26.102208,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2,119.305985,26.102208,119.30116733967627,26.105316840840846,730127.9044647886,2889381.3001757795,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10210915,BV10210915,桔园洲,119.242783,26.046869,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2,119.242783,26.046869,119.2380214007767,26.04999433742243,723916.2975102611,2883141.5655733002,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10687393,BV10687393,梁厝,119.415109,25.994261,350100020612;350100020613;900000076581;900000076583,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口);地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),4,119.415109,25.994261,119.41018104614362,25.997168055915044,741255.1990038411,2877595.276281442,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV11667315,BV11667315,樟岚,119.389454,26.006301,900000076581;900000076583,地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),2,119.389454,26.006301,119.38451780589229,26.009216136881605,738661.0536410201,2878883.083786058,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10972422,BV10972422,横屿,119.352237,26.089831,900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),2,119.352237,26.089831,119.34733430032645,26.09284642071647,734771.3207209824,2888082.0309933745,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10210922,BV10210922,水部,119.314169,26.076428,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2,119.314169,26.076428,119.30933839173069,26.079505185133403,730996.0486289514,2886535.831470923,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10877570,BV10877570,沙京,119.54656,25.930828,900000076581;900000076583,地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),2,119.54656,25.930828,119.54202831938392,25.933999630672446,754594.1886777531,2870845.7881943993,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10208894,BV10208894,沙堤,119.173983,26.085788,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2,119.173983,26.085788,119.16911754114018,26.08885064177796,716948.6685943883,2887330.074119563,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10744868,BV10744868,洋里,119.372233,26.045254,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2,119.372233,26.045254,119.36730609256139,26.04821058550104,736859.3787575224,2883172.41766102,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV11352892,BV11352892,洪塘,119.248816,26.073328,900000088653;900000088654;900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲);地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),4,119.248816,26.073328,119.24405390112442,26.07647201149165,724469.5370660587,2886085.5928449165,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10210916,BV10210916,洪湾,119.250071,26.047386,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2,119.250071,26.047386,119.24531095746518,26.050512601479937,724644.8668653693,2883211.529247712,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10961091,BV10961091,浦上大道,119.272675,26.034091,900000088653;900000088654,地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),2,119.272675,26.034091,119.26790725296839,26.03719875034927,726932.0184009485,2881775.5173005783,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV09198673,BV09198673,滨海中央商务区,119.609675,25.884204,900000139163;900000139164,滨海快线(文岭--福州火车站);滨海快线(福州火车站--文岭),2,119.609675,25.884204,119.60524025532828,25.88739880625195,761030.4698101885,2865806.2883841633,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV11339281,BV11339281,滨海西,119.568892,25.907859,900000139163;900000139164,滨海快线(文岭--福州火车站);滨海快线(福州火车站--文岭),2,119.568892,25.907859,119.56441617947394,25.911054063578806,756887.131221379,2868346.9004863254,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV11667316,BV11667316,潘墩,119.357766,26.020812,900000076581;900000076583,地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),2,119.357766,26.020812,119.3528597644598,26.02377200216564,735462.2925173767,2880438.403618891,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10208407,BV10208407,白湖亭,119.335262,26.025916,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2,119.335262,26.025916,119.33039469568043,26.028919177603733,733203.1467507235,2880968.365802586,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
