occurrence_id,line_id,line_name,direction_start,direction_end,sequence,station_id,amap_stop_id,station_name,lon,lat,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,coord_source,mode
350100020612_012_9937d803,350100020612,地铁1号线(象峰--三江口),象峰,三江口,12,BV10687405,BV10687405,上藤,119.320579,26.043708,119.320579,26.043708,119.3157386798789,26.046751240580566,731700.9462565592,2882918.04497624,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_013_1804a7ca,350100020612,地铁1号线(象峰--三江口),象峰,三江口,13,BV10210904,BV10210904,三叉街,119.326693,26.034785,119.326693,26.034785,119.32184153680795,26.03781055192074,732329.4078633823,2881938.2721264386,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_014_c71414f1,350100020612,地铁1号线(象峰--三江口),象峰,三江口,14,BV10208407,BV10208407,白湖亭,119.335262,26.025916,119.335262,26.025916,119.33039469568043,26.028919177603733,733203.1467507235,2880968.365802586,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_015_17a844bf,350100020612,地铁1号线(象峰--三江口),象峰,三江口,15,BV10208456,BV10208456,葫芦阵,119.343548,26.017116,119.343548,26.017116,119.33866591823316,26.020097765755335,734048.648480602,2880005.7555282074,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_016_58db90d7,350100020612,地铁1号线(象峰--三江口),象峰,三江口,16,BV10208454,BV10208454,黄山,119.348788,26.010176,119.348788,26.010176,119.34389716991659,26.013143683985177,734586.1955593119,2879244.627267268,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_017_feb21562,350100020612,地铁1号线(象峰--三江口),象峰,三江口,17,BV10208471,BV10208471,排下,119.354008,26.001603,119.354008,26.001603,119.3491091055244,26.004555958555805,735125.1240455948,2878302.4721860173,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_018_b9adb293,350100020612,地铁1号线(象峰--三江口),象峰,三江口,18,BV10208691,BV10208691,城门,119.36022,25.996158,119.36022,25.996158,119.35531199214243,25.999097398591246,735757.1009351484,2877708.8397996477,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_019_1273a2e4,350100020612,地铁1号线(象峰--三江口),象峰,三江口,19,BV10208689,BV10208689,三角埕,119.368306,25.990796,119.368306,25.990796,119.36338766449529,25.993720361066195,736576.5045283996,2877127.65772763,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_020_163b5d8b,350100020612,地铁1号线(象峰--三江口),象峰,三江口,20,BV10210905,BV10210905,胪雷,119.380086,25.984504,119.380086,25.984504,119.37515659509982,25.987411048308136,737767.7061211637,2876449.9402068974,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_021_661d67a9,350100020612,地铁1号线(象峰--三江口),象峰,三江口,21,BV10603792,BV10603792,福州火车南站,119.391878,25.986372,119.391878,25.986372,119.38694263780597,25.989272324790527,738944.2164938654,2876677.679969687,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_022_3229d4ec,350100020612,地铁1号线(象峰--三江口),象峰,三江口,22,BV11473935,BV11473935,安平,119.402224,25.992335,119.402224,25.992335,119.39728841820994,25.995237066088094,739968.1258795774,2877357.5608680574,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_023_15e94606,350100020612,地铁1号线(象峰--三江口),象峰,三江口,23,BV10687393,BV10687393,梁厝,119.415109,25.994261,119.415109,25.994261,119.41018104614362,25.997168055915044,741255.1990038411,2877595.276281442,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_024_0452c958,350100020612,地铁1号线(象峰--三江口),象峰,三江口,24,BV10687392,BV10687392,下洋,119.420776,25.984204,119.420776,25.984204,119.4158549220757,25.98710816677129,741843.9633107373,2876491.088539508,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_025_16dd62d3,350100020612,地铁1号线(象峰--三江口),象峰,三江口,25,BV11473936,BV11473936,三江口,119.426122,25.978861,119.426122,25.978861,119.4212085958953,25.981766596067878,742391.0659384473,2875909.1390794986,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020746_001_2762ac7d,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,1,BV10744868,BV10744868,洋里,119.372233,26.045254,119.372233,26.045254,119.36730609256139,26.04821058550104,736859.3787575224,2883172.41766102,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020746_002_df757507,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,2,BV10210924,BV10210924,鼓山,119.375054,26.053312,119.375054,26.053312,119.37012364329179,26.056270846967752,737125.1514769297,2884070.642237786,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020746_003_75b3df53,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,3,BV10208603,BV10208603,上洋,119.363035,26.066498,119.363035,26.066498,119.35811767881745,26.069480939356207,735897.0802978617,2885512.564847923,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020746_004_d296f84f,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,4,BV10208537,BV10208537,前屿,119.350588,26.07256,119.350588,26.07256,119.34568936798208,26.075566751314422,734641.2288402892,2886164.437617693,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020746_005_1a9beab1,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,5,BV10210923,BV10210923,五里亭,119.340276,26.074265,119.340276,26.074265,119.33539559636996,26.077291369945005,733607.7555821054,2886337.0223909356,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020746_006_3f914008,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,6,BV10604608,BV10604608,紫阳,119.327173,26.076378,119.327173,26.076378,119.32231746643991,26.079430618680554,732294.8910528702,2886550.6584701426,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020746_007_00acb2eb,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,7,BV10210922,BV10210922,水部,119.314169,26.076428,119.314169,26.076428,119.30933839173069,26.079505185133403,730996.0486289514,2886535.831470923,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020746_008_47e9d24b,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,8,BV10210902,BV10210902,南门兜,119.303745,26.076251,119.303745,26.076251,119.29893318519119,26.079346504688104,729955.2121088073,2886499.8330534524,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020746_009_1be52ed0,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,9,BV10210921,BV10210921,西洋,119.296889,26.071661,119.296889,26.071661,119.29208882139781,26.074764543339516,729279.2979348068,2885980.0848209932,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020746_010_c0d479be,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,10,BV10210920,BV10210920,宁化,119.293343,26.06265,119.293343,26.06265,119.28854891330907,26.065752848050764,728942.6186038142,2884975.367712733,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020746_011_ddc38c30,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,11,BV10210919,BV10210919,祥坂,119.286022,26.060749,119.286022,26.060749,119.28123816764668,26.06386058084247,728214.694329964,2884752.879967331,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020746_012_bdcd334f,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,12,BV10210918,BV10210918,金祥,119.271125,26.048518,119.271125,26.048518,119.2663574072792,26.051636782743657,726749.0896253064,2883372.5261900555,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020746_013_8d806ffb,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,13,BV10210917,BV10210917,金山,119.262331,26.047449,119.262331,26.047449,119.2575687479596,26.050572639803818,725871.5434214587,2883239.363072673,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020746_014_a20eb391,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,14,BV10210916,BV10210916,洪湾,119.250071,26.047386,119.250071,26.047386,119.24531095746518,26.050512601479937,724644.8668653693,2883211.529247712,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020746_015_7a52aaae,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,15,BV10210915,BV10210915,桔园洲,119.242783,26.046869,119.242783,26.046869,119.2380214007767,26.04999433742243,723916.2975102611,2883141.5655733002,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020746_016_4a50937b,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,16,BV10210914,BV10210914,厚庭,119.214929,26.04133,119.214929,26.04133,119.21014267568918,26.044430393735936,721136.5887649124,2882477.5184631967,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020746_017_a14d1226,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,17,BV10210913,BV10210913,董屿·福建师大,119.207305,26.041328,119.207305,26.041328,119.20250718174273,26.04441829027744,720372.406158671,2882463.2502086,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020746_018_ccb3d372,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,18,BV10604609,BV10604609,福州大学,119.20348,26.058382,119.20348,26.058382,119.19867453468065,26.061478165057206,719956.9407752933,2884346.925948824,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020746_019_1e5f7900,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,19,BV10604610,BV10604610,金屿,119.199991,26.067353,119.199991,26.067353,119.19517874103886,26.070449754619403,719590.3708424235,2885335.036692562,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020746_020_032726fc,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,20,BV10208880,BV10208880,上街,119.187292,26.075713,119.187292,26.075713,119.18245482144617,26.07879366757338,718301.6916503242,2886238.110111447,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020746_021_443b4023,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,21,BV10208894,BV10208894,沙堤,119.173983,26.085788,119.173983,26.085788,119.16911754114018,26.08885064177796,716948.6685943883,2887330.074119563,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
