correction_status,departure_count,direction_from,direction_index,direction_tab_label,direction_to,directions_collected,expand_action,fare,fix_full_line_query,latest_departure_text,merge_source,message,note,observed_line,query,rule_count,scrolls,service_end,service_start,snapshot_file,source_query,status,target_end_stop,target_line_id,target_line_name,target_query,target_start_stop
,0,公交苍霞站,2.0,公交苍霞站→山北公交首末站,山北公交首末站,,no_collapsed_period,票价: 1元,,,,opened_schedule;search_phrase=福州公交52路;entry=visible_result,,52路,52路,3,34,22:30,06:00,dir_2_pre_00.xml,,ok,山北公交首末站,350100000000.0,52路(公交苍霞站--山北公交首末站),52路,公交苍霞站
,52,快安公交站,1.0,快安公交站→东山新苑公交站,东山新苑公交站,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交56路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,56路,56路,0,24,,,dir_1_pre_00.xml,,ok,快安公交站,350100000000.0,56路(东山新苑公交站--快安公交站),56路,东山新苑公交站
,51,东山新苑公交站,2.0,东山新苑公交站→快安公交站,快安公交站,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交56路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,56路,56路,0,24,,,dir_2_pre_00.xml,,ok,快安公交站,350100000000.0,56路(东山新苑公交站--快安公交站),56路,东山新苑公交站
,0,金山金桔站,1.0,金山金桔站→动物园,动物园,2.0,no_collapsed_period,票价: 1元,,,,opened_schedule;search_phrase=福州公交91路;entry=visible_result,,91路,91路,3,30,21:30,06:20,dir_1_pre_00.xml,,ok,金山金桔站,350100000000.0,91路(动物园--金山金桔站),91路,动物园
,0,动物园,2.0,动物园→金山金桔站,金山金桔站,,no_collapsed_period,票价: 1元,,,,opened_schedule;search_phrase=福州公交91路;entry=visible_result,,91路,91路,3,30,21:30,06:30,dir_2_pre_00.xml,,ok,金山金桔站,350100000000.0,91路(动物园--金山金桔站),91路,动物园
,72,罗汉山隧道西站,1.0,罗汉山隧道西站→福州华光大帝庙,福州华光大帝庙,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交106路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,1号线,106路,0,24,,,dir_1_pre_00.xml,,ok,罗汉山隧道西站,350100000000.0,106路(敬老线路)(福州华光大帝庙--罗汉山隧道西站),106路,福州华光大帝庙
,72,福州华光大帝庙,2.0,福州华光大帝庙→罗汉山隧道西站,罗汉山隧道西站,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交106路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,1号线,106路,0,24,,,dir_2_pre_00.xml,,ok,罗汉山隧道西站,350100000000.0,106路(敬老线路)(福州华光大帝庙--罗汉山隧道西站),106路,福州华光大帝庙
,96,公交鹤林站,1.0,公交鹤林站→公交福湾站,公交福湾站,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交125路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,125路,125路,0,24,,,dir_1_pre_00.xml,,ok,公交鹤林站,350100000000.0,125路(公交福湾站--公交鹤林站),125路,公交福湾站
,95,公交福湾站,2.0,公交福湾站→公交鹤林站,公交鹤林站,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交125路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,125路,125路,0,24,,,dir_2_pre_00.xml,,ok,公交鹤林站,350100000000.0,125路(公交福湾站--公交鹤林站),125路,公交福湾站
,80,地铁葫芦阵站,1.0,地铁葫芦阵站→梅亭部队,梅亭部队,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交101路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,101路,101路,0,24,,,dir_1_pre_00.xml,,ok,后坂,350100000000.0,101路(梅亭部队--后坂),101路,梅亭部队
,63,梅亭部队,2.0,梅亭部队→后坂,后坂,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交101路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,101路,101路,0,24,,,dir_2_pre_00.xml,,ok,后坂,350100000000.0,101路(梅亭部队--后坂),101路,梅亭部队
,96,鳌峰洲公交总站,1.0,鳌峰洲公交总站→动物园,动物园,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交102路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,102路,102路,0,24,,,dir_1_pre_00.xml,,ok,鳌峰洲公交总站,350100000000.0,102路(动物园--鳌峰洲公交总站),102路,动物园
,96,动物园,2.0,动物园→鳌峰洲公交总站,鳌峰洲公交总站,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交102路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,102路,102路,0,24,,,dir_2_pre_00.xml,,ok,鳌峰洲公交总站,350100000000.0,102路(动物园--鳌峰洲公交总站),102路,动物园
,0,东部办公区,1.0,东部办公区→金牛山公园,金牛山公园,2.0,no_collapsed_period,票价: 1元,,,,opened_schedule;search_phrase=福州公交103路;entry=visible_result,,103路,103路,3,30,21:30,06:00,dir_1_pre_00.xml,,ok,东部办公区,350100000000.0,103路(金牛山公园--东部办公区),103路,金牛山公园
,0,金牛山公园,2.0,金牛山公园→东部办公区,东部办公区,,no_collapsed_period,票价: 1元,,,,opened_schedule;search_phrase=福州公交103路;entry=visible_result,,103路,103路,3,30,21:30,06:00,dir_2_pre_00.xml,,ok,东部办公区,350100000000.0,103路(金牛山公园--东部办公区),103路,金牛山公园
,74,淮安公交总站,1.0,淮安公交总站→罗汉山隧道西站,罗汉山隧道西站,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交22路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,22路,22路,0,24,,,dir_1_pre_00.xml,,ok,淮安公交总站,350100000000.0,22路(罗汉山隧道西--淮安公交总站),22路,罗汉山隧道西
,72,罗汉山隧道西,2.0,罗汉山隧道西→淮安公交总站,淮安公交总站,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交22路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,22路,22路,0,24,,,dir_2_pre_00.xml,,ok,淮安公交总站,350100000000.0,22路(罗汉山隧道西--淮安公交总站),22路,罗汉山隧道西
,70,软件园公交总站,1.0,软件园公交总站→港头(朝阳路),港头(朝阳路),2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交105路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,105路,105路,0,34,,,dir_1_pre_00.xml,,ok,软件园公交总站,350100000000.0,105路(港头(朝阳路)--软件园公交总站),105路,港头(朝阳路)
,0,港头(朝阳路),2.0,港头(朝阳路)→软件园公交总站,软件园公交总站,,no_collapsed_period,票价: 1元,,,,opened_schedule;search_phrase=福州公交105路;entry=visible_result,,105路,105路,3,34,21:00,06:00,dir_2_pre_00.xml,,ok,软件园公交总站,350100000000.0,105路(港头(朝阳路)--软件园公交总站),105路,港头(朝阳路)
,69,软件园公交总站,1.0,软件园公交总站→鼓山公交总站,鼓山公交总站,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交107路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,107路,107路,0,24,,,dir_1_pre_00.xml,,ok,软件园公交总站,350100000000.0,107路(鼓山公交总站--软件园公交总站),107路,鼓山公交总站
,63,鼓山公交总站,2.0,鼓山公交总站→软件园公交总站,软件园公交总站,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交107路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,107路,107路,0,24,,,dir_2_pre_00.xml,,ok,软件园公交总站,350100000000.0,107路(鼓山公交总站--软件园公交总站),107路,鼓山公交总站
,72,鼓山公交总站,1.0,鼓山公交总站→动物园,动物园,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交108路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,108路,108路,0,24,,,dir_1_pre_00.xml,,ok,鼓山公交总站,350100000000.0,108路(动物园--鼓山公交总站),108路,动物园
,76,动物园,2.0,动物园→鼓山公交总站,鼓山公交总站,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交108路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,108路,108路,0,24,,,dir_2_pre_00.xml,,ok,鼓山公交总站,350100000000.0,108路(动物园--鼓山公交总站),108路,动物园
,82,鳌峰洲公交总站,1.0,鳌峰洲公交总站→义井公交总站,义井公交总站,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交109路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,4号线,109路,0,24,,,dir_1_pre_00.xml,,ok,鳌峰洲公交总站,350100000000.0,109路(敬老线路)(义井公交总站--鳌峰洲公交总站),109路,义井公交总站
,84,义井公交总站,2.0,义井公交总站→鳌峰洲公交总站,鳌峰洲公交总站,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交109路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,4号线,109路,0,24,,,dir_2_pre_00.xml,,ok,鳌峰洲公交总站,350100000000.0,109路(敬老线路)(义井公交总站--鳌峰洲公交总站),109路,义井公交总站
,110,金山浦上公交枢纽站,1.0,金山浦上公交枢纽站→火车站南广场,火车站南广场,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交100路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,100路,100路,0,24,,,dir_1_pre_00.xml,,ok,金山浦上公交枢纽站,350100000000.0,100路(敬老线路)(火车站南广场--金山浦上公交枢纽站),100路,火车站南广场
,111,火车站南广场,2.0,火车站南广场→金山浦上公交枢纽站,金山浦上公交枢纽站,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交100路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,100路,100路,0,24,,,dir_2_pre_00.xml,,ok,金山浦上公交枢纽站,350100000000.0,100路(敬老线路)(火车站南广场--金山浦上公交枢纽站),100路,火车站南广场
