poi_id,name,normalized_name,type,typecode,address,pname,cityname,adname,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,inside_boundary,inside_boundary_500m_buffer,source_tile_ids,source_pages,duplicate_count,stop_cluster_id,saturation_warning,inside_boundary_2km_buffer,distance_to_boundary_m
BV10209899,东亚鼓风机厂(公交站),东亚鼓风机厂,交通设施服务;公交车站;公交车站相关,150700,602路,福建省,福州市,闽侯县,119.154909,26.155712,119.149999,26.1587803,714907.8609,2895046.117,TRUE,TRUE,L0_001_007,1,1,东亚鼓风机厂_01033,FALSE,TRUE,358.79453
BV10209901,工业区二期路口(公交站),工业区二期路口,交通设施服务;公交车站;公交车站相关,150700,602路;606路;607路,福建省,福州市,闽侯县,119.161362,26.149898,119.1564654,26.15297437,715565.0871,2894413.571,TRUE,TRUE,L0_002_007,1,1,工业区二期路口_01034,FALSE,TRUE,1020.037577
BV10209911,后塘(公交站),后塘,交通设施服务;公交车站;公交车站相关,150700,127路;160路;332路,福建省,福州市,晋安区,119.306727,26.133281,119.3019057,26.13640461,730140.807,2892827.152,TRUE,TRUE,L0_007_006,2,1,后塘_01035,FALSE,TRUE,1508.132179
BV10209912,琴亭高架桥(公交站),琴亭高架桥,交通设施服务;公交车站;公交车站相关,150700,28路(敬老线路);68路;72路;75路(敬老线路),福建省,福州市,鼓楼区,119.305252,26.119013,119.3004344,26.12213,730021.6388,2891242.91,TRUE,TRUE,L0_007_006,1,1,琴亭高架桥_01036,FALSE,TRUE,2351.417486
BV10209913,汤斜工业区(公交站),汤斜工业区,交通设施服务;公交车站;公交车站相关,150700,127路,福建省,福州市,晋安区,119.321727,26.149635,119.3168765,26.15274152,731605.7912,2894663.908,TRUE,TRUE,L0_007_007,1,1,汤斜工业区_01037,FALSE,TRUE,428.716713
BV10210364,闽侯一中(公交站),闽侯一中,交通设施服务;公交车站;公交车站相关,150700,707路支线;767路,福建省,福州市,闽侯县,119.160665,26.142257,119.1557676,26.14532727,715509.3648,2893565.158,TRUE,TRUE,L0_001_007;L0_002_007,2,2,闽侯一中_01038,FALSE,TRUE,1530.85386
BV10210472,三环淮安大桥(公交站),三环淮安大桥,交通设施服务;公交车站;公交车站相关,150700,183路快线(敬老线路);189路快线,福建省,福州市,仓山区,119.236578,26.097818,119.2318095,26.10097089,723197.8461,2888778.948,TRUE,TRUE,L0_004_005,1,1,三环淮安大桥_01039,FALSE,TRUE,498.3970166
BV10210475,三环淮安路口(公交站),三环淮安路口,交通设施服务;公交车站;公交车站相关,150700,183路快线(敬老线路);189路快线,福建省,福州市,仓山区,119.227622,26.090404,119.222847,26.09354615,722315.2946,2887940.969,FALSE,TRUE,L0_004_005,1,1,三环淮安路口_01040,FALSE,TRUE,135.5134824
BV10210477,农林大学西门(公交站),农林大学西门,交通设施服务;公交车站;公交车站相关,150700,183路快线(敬老线路);189路快线;193路;地铁接驳5号专线,福建省,福州市,仓山区,119.230933,26.08369,119.2261615,26.08683021,722659.6119,2887202.531,TRUE,TRUE,L0_004_004,1,1,农林大学西门_01041,FALSE,TRUE,126.139904
BV10210478,洪塘大桥北(公交站),洪塘大桥北,交通设施服务;公交车站;公交车站相关,150700,183路快线(敬老线路);189路快线;193路;地铁接驳5号专线,福建省,福州市,仓山区,119.232512,26.078893,119.2277421,26.08203109,722826.8499,2886673.508,TRUE,TRUE,L0_004_004,1,1,洪塘大桥北_01042,FALSE,TRUE,150.1680314
