line_id,route_id,links_before,links_after,removed_prefix,removed_suffix,index_warnings
bus_line_350100010255,bus_route_350100010255,512,391,0,121,0
bus_line_350100010256,bus_route_350100010256,149,149,0,0,0
bus_line_350100010258,bus_route_350100010258,91,91,0,0,0
bus_line_350100010259,bus_route_350100010259,114,112,2,0,0
bus_line_350100010262,bus_route_350100010262,328,324,0,4,0
bus_line_350100010264,bus_route_350100010264,338,338,0,0,0
bus_line_350100010265,bus_route_350100010265,349,348,0,1,0
bus_line_350100010266,bus_route_350100010266,425,425,0,0,0
bus_line_350100010267,bus_route_350100010267,414,409,0,5,0
bus_line_350100010270,bus_route_350100010270,365,365,0,0,0
bus_line_350100010271,bus_route_350100010271,316,316,0,0,0
bus_line_350100010272,bus_route_350100010272,186,186,0,0,0
bus_line_350100010273,bus_route_350100010273,203,194,0,9,0
bus_line_350100010274,bus_route_350100010274,246,245,0,1,0
bus_line_350100010275,bus_route_350100010275,253,253,0,0,0
bus_line_350100010278,bus_route_350100010278,444,440,0,4,0
bus_line_350100010279,bus_route_350100010279,547,529,0,18,0
bus_line_350100010280,bus_route_350100010280,281,281,0,0,0
bus_line_350100010286,bus_route_350100010286,176,176,0,0,0
bus_line_350100010287,bus_route_350100010287,179,178,0,1,0
bus_line_350100010288,bus_route_350100010288,253,252,0,1,0
bus_line_350100010289,bus_route_350100010289,202,201,0,1,0
bus_line_350100010291,bus_route_350100010291,394,394,0,0,0
bus_line_350100010292,bus_route_350100010292,420,420,0,0,0
bus_line_350100010293,bus_route_350100010293,64,57,6,1,0
bus_line_350100010294,bus_route_350100010294,70,64,0,6,0
bus_line_350100010295,bus_route_350100010295,537,537,0,0,0
bus_line_350100010296,bus_route_350100010296,761,761,0,0,0
bus_line_350100010297,bus_route_350100010297,374,226,147,1,0
bus_line_350100010298,bus_route_350100010298,430,187,0,243,0
bus_line_350100010299,bus_route_350100010299,372,372,0,0,0
bus_line_350100010302,bus_route_350100010302,257,257,0,0,0
bus_line_350100010303,bus_route_350100010303,199,199,0,0,0
bus_line_350100010304,bus_route_350100010304,467,467,0,0,0
bus_line_350100010305,bus_route_350100010305,520,483,36,1,0
bus_line_350100010308,bus_route_350100010308,129,128,0,1,0
bus_line_350100010309,bus_route_350100010309,146,146,0,0,0
bus_line_350100010310,bus_route_350100010310,495,495,0,0,0
bus_line_350100010311,bus_route_350100010311,460,459,0,1,0
bus_line_350100010312,bus_route_350100010312,232,232,0,0,0
bus_line_350100010313,bus_route_350100010313,204,204,0,0,0
bus_line_350100010314,bus_route_350100010314,346,346,0,0,0
bus_line_350100010315,bus_route_350100010315,296,295,0,1,0
bus_line_350100010316,bus_route_350100010316,266,266,0,0,0
bus_line_350100010317,bus_route_350100010317,276,276,0,0,0
bus_line_350100010318,bus_route_350100010318,295,294,0,1,0
bus_line_350100010319,bus_route_350100010319,243,243,0,0,0
bus_line_350100010320,bus_route_350100010320,315,314,1,0,0
bus_line_350100010321,bus_route_350100010321,294,290,0,4,0
bus_line_350100010322,bus_route_350100010322,507,507,0,0,0
bus_line_350100010323,bus_route_350100010323,470,470,0,0,0
bus_line_350100010325,bus_route_350100010325,241,240,0,1,0
bus_line_350100010326,bus_route_350100010326,463,463,0,0,0
bus_line_350100010327,bus_route_350100010327,478,477,0,1,0
