fare_scope,operator,official_route_id,official_route_sequence,official_direction,official_stop_ids_json,route_name,full_fare_hkd,currency,passenger_type,payment_medium,service_class,vessel_service_type,day_type,fare_amount_role,eligible_for_default_quote,in_current_schedule_exact_scope,gtfs_rule_count,gtfs_distinct_price_count,gtfs_price_equal_full_fare_count,gtfs_full_fare_correspondence,source_record_last_update,source_record_id,source_file,source_sha256,cost_effective_date,cost_effective_date_status,source_revision_cutoff_date,source_download_date,unresolved_reason
route_level_full_fare_reference_only,FERRY,7015,2,2,"[""101101"",""101115"",""101107"",""101109""]",Peng Chau - Mui Wo - Chi Ma Wan - Cheung Chau,16.3,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,False,6,1,6,all_equal,2026-03-31T00:00:00,json:feature_indices:49;50;51;52,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7016,1,1,"[""101133"",""101132""]",Ma Liu Shui - Tung Ping Chau,50.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,False,1,1,1,all_equal,2025-01-02T00:00:00,json:feature_indices:53;54,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7016,2,2,"[""101132"",""101133""]",Ma Liu Shui - Tung Ping Chau,50.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,False,1,1,1,all_equal,2025-01-02T00:00:00,json:feature_indices:55;56,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7017,1,1,"[""101103"",""101104""]",Ma Wan - Central,36.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,True,1,1,1,all_equal,2025-08-15T00:00:00,json:feature_indices:57;58,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7017,2,2,"[""101104"",""101103""]",Ma Wan - Central,36.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,True,1,1,1,all_equal,2025-08-15T00:00:00,json:feature_indices:59;60,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7018,1,1,"[""101103"",""101105""]",Ma Wan - Tsuen Wan,12.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,True,1,1,1,all_equal,2025-08-15T00:00:00,json:feature_indices:61;62,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7018,2,2,"[""101105"",""101103""]",Ma Wan - Tsuen Wan,12.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,True,1,1,1,all_equal,2025-08-15T00:00:00,json:feature_indices:63;64,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7019,1,1,"[""101110"",""101111""]",North Point - Hung Hom,10.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,True,1,1,1,all_equal,2025-01-24T00:00:00,json:feature_indices:65;66,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7019,2,2,"[""101111"",""101110""]",North Point - Hung Hom,10.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,True,1,1,1,all_equal,2025-01-24T00:00:00,json:feature_indices:67;68,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7020,1,1,"[""101110"",""101112""]",North Point - Kowloon City,10.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,True,1,1,1,all_equal,2025-01-24T00:00:00,json:feature_indices:69;70,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
