matsim_line_id,matsim_route_id,operator,official_route_id,official_route_sequence,official_direction,scheduled_stop_count,mapped_stop_count,stop_id_coverage,candidate_count,candidate_cardinality,direction_status,official_pattern_status,required_forward_pair_count,matched_fare_pair_count,forward_pair_coverage,gtfs_fare_id_count,distinct_fare_count,full_fare_record_count,fare_condition_completeness,mapping_status,mapping_quality,fare_readiness,matching_method,evidence,unresolved_reason
ferry_line_7022,ferry_7022_c7439f8927,FERRY,7022,2,2,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101320"",""101321""]}",
ferry_line_7023,ferry_7023_3c10fa845b,FERRY,7023,1,1,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101321"",""101322""]}",
ferry_line_7023,ferry_7023_82c4fc4c88,FERRY,7023,2,2,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101322"",""101321""]}",
ferry_line_7025,ferry_7025_1f7df70f69,FERRY,7025,1,1,4,4,1.0,1,one,explicit_direction_exact,exact_complete_pattern,6,6,1.0,6,4,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":6,""official_stop_ids"":[""101113"",""101114"",""101117"",""101120""]}",
ferry_line_7025,ferry_7025_a84f20059d,FERRY,7025,2,2,4,4,1.0,1,one,explicit_direction_exact,exact_complete_pattern,6,6,1.0,6,4,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":6,""official_stop_ids"":[""101120"",""101117"",""101114"",""101113""]}",
ferry_line_7030,ferry_7030_2d66424e12,FERRY,7030,1,1,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101119"",""101339""]}",
ferry_line_7030,ferry_7030_9bd5abcda9,FERRY,7030,2,2,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101339"",""101119""]}",
ferry_line_7031,ferry_7031_6c6de89769,FERRY,7031,1,1,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101119"",""101118""]}",
ferry_line_7031,ferry_7031_9f1e460aa7,FERRY,7031,2,2,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101118"",""101119""]}",
ferry_line_7051,ferry_7051_2ddd529580,FERRY,7051,2,2,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101331"",""101332""]}",
ferry_line_7051,ferry_7051_367ae765b3,FERRY,7051,1,1,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101332"",""101331""]}",
ferry_line_7052,ferry_7052_60fd551964,FERRY,7052,2,2,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101331"",""101333""]}",
ferry_line_7052,ferry_7052_e84096da97,FERRY,7052,1,1,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101333"",""101331""]}",
ferry_line_7056,ferry_7056_6bcf536836,FERRY,7056,2,2,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101320"",""101349""]}",
ferry_line_7056,ferry_7056_768b8ed563,FERRY,7056,1,1,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101349"",""101320""]}",
ferry_line_7059,ferry_7059_0d609e5148,FERRY,7059,2,2,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101357"",""101358""]}",
ferry_line_7059,ferry_7059_582eb1e4c7,FERRY,7059,1,1,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101358"",""101357""]}",
