matsim_stop_facility_id,official_stop_id,official_stop_name,gtfs_stop_id,in_ferry_facilities,in_gtfs,in_ferry_json,matsim_route_count,candidate_count,candidate_cardinality,mapping_status,mapping_quality,matching_method,evidence,unresolved_reason
ferry_stop_ferry_7022_4b93a86e1f_01,101320,Kwun Tong Ferry Pier at Wing Yip Street|Kwun Tong Ferry Pier at Wing Yip Street (Eastern Berth),101320,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101320"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7022_c7439f8927_00,101320,Kwun Tong Ferry Pier at Wing Yip Street|Kwun Tong Ferry Pier at Wing Yip Street (Eastern Berth),101320,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101320"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7022_c7439f8927_01,101321,Sai Wan Ho Ferry Pier at Tai Hong Street,101321,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101321"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7023_3c10fa845b_00,101321,Sai Wan Ho Ferry Pier at Tai Hong Street,101321,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101321"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7023_3c10fa845b_01,101322,Sam Ka Tsuen Ferry Pier at Shung Shun Street|Sam Ka Tsuen Ferry Pier,101322,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101322"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7023_82c4fc4c88_00,101322,Sam Ka Tsuen Ferry Pier at Shung Shun Street|Sam Ka Tsuen Ferry Pier,101322,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101322"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7023_82c4fc4c88_01,101321,Sai Wan Ho Ferry Pier at Tai Hong Street,101321,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101321"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7025_1f7df70f69_00,101113,Tuen Mun Ferry Pier (Berth D) (outside Pierhead Garden),101113,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101113"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7025_1f7df70f69_01,101114,Eastern berth of Tung Chung Development Pier,101114,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101114"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7025_1f7df70f69_02,101117,"Sha Lo Wan Pier, Lantau Island",101117,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101117"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7025_1f7df70f69_03,101120,"Tai O Promenade Landing Steps, Tai O Promenade, Lantau Island",101120,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101120"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
