destination_tcs_zone,scenario,private_car_legs,complete_cost_legs,complete_cost_share,total_resolved_marginal_cost_hkd,mean_hkd,median_hkd,p90_hkd
22,base,715,711,0.9944055944055944,66186.60675383202,92.56868077459023,81.29258441374321,182.68782075371024
23,base,2785,2778,0.9974865350089767,188209.49824332888,67.57971211609654,57.98547617714504,134.65109652095342
24,base,1306,1303,0.9977029096477795,120665.53073658934,92.39320883352936,79.27818204167622,186.5468925500931
25,base,1245,1243,0.9983935742971888,95950.96428539258,77.06904761878921,51.70887648844992,175.3002142922169
26,base,543,542,0.998158379373849,87159.05869643649,160.51392025126427,173.5423057331963,240.2586176512045
-1,high,103,0,0.0,10015.807734620046,97.24085179242763,82.03281674081985,205.23198018580916
1,high,3277,3262,0.9954226426609704,348321.8178582635,106.2928952878436,83.06333525636711,262.85661538788304
2,high,3892,3882,0.9974306269270298,394966.9336814139,101.48174041146297,84.84332168878697,215.00875779918414
3,high,4438,4426,0.9972960793150067,493849.24811893597,111.2774331047625,73.39308218066661,295.34472414344924
4,high,3302,3295,0.9978800726832223,540043.6486068219,163.55046899055782,115.75040446018238,341.0960678031612
5,high,3045,3036,0.9970443349753695,328840.2982193899,107.99352979290309,94.23748110268605,227.69600269132783
6,high,1866,1858,0.9957127545551983,193240.17856033024,103.55850941068073,87.6367099575473,180.22567981406502
7,high,3435,3421,0.995924308588064,382134.684105162,111.2473607293048,87.59690526278521,268.49205818667855
8,high,3917,3905,0.9969364309420475,396815.1070965726,101.30587365243109,73.00985751827088,265.92456013781975
9,high,4118,4109,0.9978144730451676,437342.5256749103,106.20265315077957,74.10971658072687,270.07611793142246
10,high,1756,1754,0.9988610478359908,194411.01579541573,110.71242357369917,82.63075830311413,269.08888739835345
11,high,2409,2407,0.9991697799916978,233079.76252093713,96.75374118760362,87.77077725839722,153.67713065532047
12,high,1680,1676,0.9976190476190476,169861.8544306882,101.10824668493345,87.35724357587085,167.3302527442176
13,high,848,846,0.9976415094339622,81573.09987957518,96.19469325421602,76.59886518714373,165.65583328247394
14,high,4016,4004,0.9970119521912351,385059.18385752186,95.88127088085703,81.53937920072958,190.22466603636715
15,high,2472,2465,0.997168284789644,205130.4355596695,82.98156778303783,73.74181179306757,142.7588399752778
16,high,1423,1420,0.9978917779339423,139150.57668280546,97.78677208911135,83.32321228870194,193.18220301184886
17,high,2411,2409,0.9991704686851929,263208.90343395737,109.17001386725731,89.86409215672207,242.87173346456728
18,high,1753,1748,0.9971477467199087,192694.40137579798,109.92264767586879,102.30514814404901,215.97979372192924
19,high,3763,3758,0.9986712729205421,315838.9396931031,83.93275038349803,72.38791934125807,144.71488475155843
20,high,1552,1550,0.9987113402061856,150113.12143651268,96.72237205960869,81.41981012255354,162.8718776846148
21,high,2719,2714,0.9981610886355278,247509.8367356378,91.02973031836623,68.02598614168407,178.61636834537651
22,high,715,711,0.9944055944055944,100595.70749206853,140.69329719170423,121.81077441714561,300.8431127522073
23,high,2785,2778,0.9974865350089767,289707.5391328994,104.02425103515237,85.45087629205624,223.06330107223587
24,high,1306,1303,0.9977029096477795,188292.69044818563,144.17510754072407,119.76463856475443,306.0180960456436
25,high,1245,1243,0.9983935742971888,150794.7676708036,121.12029531791453,78.02690596455568,292.2510719870117
26,high,543,542,0.998158379373849,139028.02687424066,256.0368819046789,283.143348225022,386.1596836893074
