toll_facility_id,toll_facility_name,vehicle_class,rule_type,day_of_week_code,start_time_s,end_time_s,toll_hkd,feature_ids,effective_date,hketoll,source_url,source_file,file_sha256,cost_quality
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,59760,59879,38.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,59880,68399,40.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,68400,68519,38.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,68520,68639,36.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,68640,68759,34.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,68760,68879,32.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,68880,68999,30.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,69000,69119,28.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,69120,69239,26.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,69240,69359,24.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,69360,69479,22.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,69480,86399,20.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,B,0,36659,20.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,B,36660,36779,21.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,B,36780,36899,23.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
