scenario,activity_purpose,legs_5pct,expanded_legs,total_fare_hkd_5pct,expanded_total_fare_hkd,mean_hkd,median_hkd,p10_hkd,p25_hkd,p75_hkd,p90_hkd,p95_hkd,within_flagfall_share,tolled_tunnel_share,taxi_type_unresolved_share,route_distance_unavailable_share,congestion_proxy_unavailable_share
base,dining>personal_business,282.0,5640.0,30961.6,619232.0,109.79290780141844,106.7,31.1,60.5,139.65,196.02000000000004,236.75999999999996,0.0851063829787234,0.0,0.010638297872340425,0.0,1.0
base,dining>shopping,867.0,17340.0,96420.40000000001,1928408.0000000002,111.21153402537486,103.9,35.3,64.7,138.9,194.9,252.3,0.0784313725490196,0.0,0.04498269896193772,0.0,1.0
base,dining>social,381.0,7620.0,43292.1,865842.0,113.62755905511811,109.5,35.3,62.6,144.5,190.7,249.5,0.07874015748031496,0.0,0.047244094488188976,0.0,1.0
base,leisure,2378.0,47560.0,268260.3,5365206.0,112.8092094196804,105.3,35.3,61.6,144.5,203.3,249.5,0.06644238856181665,0.0,0.007569386038687973,0.0,1.0
base,leisure>dining,840.0,16800.0,96055.5,1921110.0,114.35178571428571,105.8,35.269999999999996,63.275,146.15,215.68000000000004,252.3,0.06666666666666667,0.0,0.039285714285714285,0.0,1.0
base,leisure>leisure,153.0,3060.0,17543.9,350878.0,114.66601307189543,106.7,42.82,66.8,150.1,206.66000000000005,236.62000000000003,0.0196078431372549,0.0,0.0392156862745098,0.0,1.0
base,leisure>medical,126.0,2520.0,14008.4,280168.0,111.17777777777778,110.9,32.150000000000006,66.925,143.45,178.8,227.0,0.07936507936507936,0.0,0.0,0.0,1.0
base,leisure>personal_business,222.0,4440.0,23714.0,474280.0,106.81981981981981,94.1,31.310000000000006,50.0,143.1,212.68,251.94999999999993,0.08108108108108109,0.0,0.02702702702702703,0.0,1.0
base,leisure>shopping,702.0,14040.0,79282.5,1585650.0,112.9380341880342,106.7,36.95,66.8,144.5,199.1,246.7,0.06695156695156695,0.0,0.038461538461538464,0.0,1.0
base,leisure>social,339.0,6780.0,38893.100000000006,777862.0000000001,114.72890855457229,110.9,35.3,66.8,138.9,199.65999999999997,246.7,0.08259587020648967,0.0,0.035398230088495575,0.0,1.0
base,medical,662.0,13240.0,74389.9,1487798.0,112.37145015105739,105.8,29.480000000000015,60.5,148.05,201.9,242.35999999999981,0.09365558912386707,0.0,0.00906344410876133,0.0,1.0
base,medical>dining,180.0,3600.0,19554.800000000003,391096.00000000006,108.6377777777778,103.2,30.890000000000004,58.4,138.2,196.4399999999999,245.36999999999998,0.09444444444444444,0.0,0.016666666666666666,0.0,1.0
base,medical>leisure,147.0,2940.0,16229.100000000002,324582.00000000006,110.40204081632655,108.1,31.1,60.5,138.7,189.86000000000004,237.1799999999999,0.09523809523809523,0.0,0.02040816326530612,0.0,1.0
base,medical>medical,36.0,720.0,3494.7,69894.0,97.07499999999999,103.55000000000001,48.95,70.475,120.0,142.4,151.5,0.027777777777777776,0.0,0.0,0.0,1.0
base,medical>personal_business,63.0,1260.0,7411.1,148222.0,117.63650793650794,112.3,40.76,72.05,146.60000000000002,197.14000000000001,215.06,0.047619047619047616,0.0,0.0,0.0,1.0
base,medical>shopping,237.0,4740.0,26186.100000000002,523722.00000000006,110.48987341772153,105.3,32.400000000000006,58.4,148.7,193.5,229.57999999999998,0.08860759493670886,0.0,0.0379746835443038,0.0,1.0
base,medical>social,126.0,2520.0,14072.900000000001,281458.0,111.68968253968255,108.8,31.1,61.025,148.05,202.60000000000002,215.9,0.0873015873015873,0.0,0.023809523809523808,0.0,1.0
base,personal_business,908.0,18160.0,100200.9,2004018.0,110.3534140969163,108.1,33.2,62.6,138.9,187.9,242.00999999999996,0.0605726872246696,0.0,0.013215859030837005,0.0,1.0
