scenario,origin_tcs_zone,destination_tcs_zone,legs_5pct,expanded_legs,total_fare_hkd_5pct,expanded_total_fare_hkd,mean_hkd,median_hkd,p10_hkd,p25_hkd,p75_hkd,p90_hkd,p95_hkd,within_flagfall_share,tolled_tunnel_share,taxi_type_unresolved_share,route_distance_unavailable_share,congestion_proxy_unavailable_share
low,12,15,17.0,340.0,3219.5,64390.0,189.38235294117646,187.9,178.38,179.5,192.1,203.02,211.13999999999996,0.0,0.0,0.058823529411764705,0.0,1.0
low,12,16,12.0,240.0,2554.4000000000005,51088.000000000015,212.8666666666667,213.1,199.24,206.8,220.1,228.92000000000002,231.16,0.0,0.0,0.08333333333333333,0.0,1.0
low,12,17,16.0,320.0,3160.4,63208.0,197.525,192.1,183.7,184.75,202.25,222.2,232.7,0.0,0.0,0.0,0.0,1.0
low,12,18,14.0,280.0,3495.7999999999993,69915.99999999999,249.69999999999996,250.9,240.54,248.1,256.15,260.7,260.7,0.0,0.0,0.0,0.0,1.0
low,12,19,43.0,860.0,5286.0,105720.0,122.93023255813954,124.9,108.38,113.7,131.9,140.02,147.02,0.0,0.0,0.0,0.0,1.0
low,12,20,14.0,280.0,2231.6000000000004,44632.00000000001,159.40000000000003,159.89999999999998,145.9,150.8,166.9,171.8,177.82,0.0,0.0,0.0,0.0,1.0
low,12,21,19.0,380.0,3605.1,72102.0,189.7421052631579,190.7,173.9,182.3,198.39999999999998,204.14000000000001,208.61999999999998,0.0,0.0,0.0,0.0,1.0
low,12,22,6.0,120.0,1253.3999999999999,25067.999999999996,208.89999999999998,209.60000000000002,203.3,205.75,212.4,213.8,214.15,0.0,0.0,1.0,0.0,1.0
low,12,23,12.0,240.0,2530.6,50612.0,210.88333333333333,214.5,173.06,204.35,228.5,233.96,235.35999999999999,0.0,0.0,0.0,0.0,1.0
low,12,24,11.0,220.0,2597.5,51950.0,236.13636363636363,238.3,207.5,213.10000000000002,251.60000000000002,285.9,291.5,0.0,0.0,0.0,0.0,1.0
low,12,25,3.0,60.0,637.9000000000001,12758.000000000002,212.63333333333335,179.5,170.54000000000002,173.9,234.8,267.98,279.04,0.0,0.0,0.0,0.0,1.0
low,12,26,7.0,140.0,1704.5,34090.0,243.5,256.5,165.22,208.2,297.79999999999995,310.26,312.78,0.0,0.0,1.0,0.0,1.0
low,13,-1,1.0,20.0,238.3,4766.0,238.3,238.3,238.3,238.3,238.3,238.3,238.3,0.0,0.0,1.0,0.0,1.0
low,13,1,28.0,560.0,4013.8,80276.0,143.35,141.7,133.3,137.15,146.25,156.96,159.9,0.0,0.0,0.0,0.0,1.0
