scenario,person_id,taxi_legs_5pct,daily_total_fare_hkd_5pct,expanded_daily_total_fare_hkd
low,hk_person_00091692,2,205.7,4114.0
low,hk_person_00092716,2,602.5999999999999,12051.999999999998
low,hk_person_00092782,2,102.1,2042.0
low,hk_person_00092788,2,245.60000000000002,4912.0
low,hk_person_00092904,2,331.0,6620.0
low,hk_person_00093120,2,202.9,4058.0
low,hk_person_00093251,2,347.8,6956.0
low,hk_person_00093606,2,62.2,1244.0
low,hk_person_00093954,2,200.8,4016.0
low,hk_person_00094416,2,262.4,5248.0
low,hk_person_00094810,3,204.60000000000002,4092.0000000000005
low,hk_person_00094943,2,70.6,1412.0
low,hk_person_00094947,2,262.4,5248.0
low,hk_person_00095351,2,154.6,3092.0
low,hk_person_00096422,3,192.0,3840.0
low,hk_person_00096944,2,58.0,1160.0
low,hk_person_00097789,2,279.20000000000005,5584.000000000001
low,hk_person_00099606,3,339.0,6780.0
low,hk_person_00100139,3,301.9,6038.0
low,hk_person_00100300,2,283.4,5668.0
low,hk_person_00100337,2,118.9,2378.0
low,hk_person_00100338,3,233.29999999999998,4666.0
low,hk_person_00100412,2,158.8,3176.0
low,hk_person_00100413,2,297.4,5948.0
low,hk_person_00101093,2,76.9,1538.0
low,hk_person_00101378,3,392.9,7858.0
low,hk_person_00101745,2,104.2,2084.0
low,hk_person_00101874,3,322.2,6444.0
low,hk_person_00102066,2,296.0,5920.0
low,hk_person_00103088,2,263.8,5276.0
low,hk_person_00103315,3,357.2,7144.0
low,hk_person_00104228,2,202.9,4058.0
low,hk_person_00104430,2,64.3,1286.0
low,hk_person_00104647,2,154.6,3092.0
low,hk_person_00104813,2,177.7,3554.0
low,hk_person_00104861,3,196.2,3924.0
low,hk_person_00105121,3,229.8,4596.0
low,hk_person_00105436,2,244.2,4884.0
low,hk_person_00106196,3,319.4,6388.0
low,hk_person_00106197,2,81.1,1622.0
low,hk_person_00107595,3,177.3,3546.0
low,hk_person_00107763,2,350.6,7012.0
low,hk_person_00108287,2,165.1,3302.0
low,hk_person_00108504,3,175.2,3504.0
low,hk_person_00109317,3,311.7,6234.0
low,hk_person_00109333,3,215.1,4302.0
low,hk_person_00109684,2,125.19999999999999,2504.0
low,hk_person_00109904,3,525.9,10518.0
low,hk_person_00110412,2,173.5,3470.0
low,hk_person_00110506,2,262.4,5248.0
low,hk_person_00110716,2,106.3,2126.0
low,hk_person_00110995,3,286.5,5730.0
low,hk_person_00111163,3,253.60000000000002,5072.0
low,hk_person_00111286,3,389.4,7788.0
low,hk_person_00111461,2,259.6,5192.0
low,hk_person_00111512,2,240.0,4800.0
low,hk_person_00111780,2,268.0,5360.0
low,hk_person_00111847,2,354.79999999999995,7095.999999999999
low,hk_person_00112757,2,202.9,4058.0
low,hk_person_00113384,2,154.6,3092.0
low,hk_person_00113387,2,93.69999999999999,1873.9999999999998
low,hk_person_00114252,2,186.1,3722.0
low,hk_person_00114675,3,105.9,2118.0
low,hk_person_00115410,2,329.6,6592.0
low,hk_person_00115898,2,272.2,5444.0
low,hk_person_00116582,2,238.6,4772.0
low,hk_person_00117179,2,247.0,4940.0
low,hk_person_00117746,3,360.0,7200.0
low,hk_person_00117826,2,148.3,2966.0
low,hk_person_00117983,2,202.2,4044.0
low,hk_person_00117989,3,325.7,6514.0
low,hk_person_00118015,2,284.79999999999995,5695.999999999999
low,hk_person_00118210,2,58.0,1160.0
low,hk_person_00118576,3,231.9,4638.0
low,hk_person_00118690,2,116.8,2336.0
low,hk_person_00118761,2,190.3,3806.0
low,hk_person_00119040,3,695.3,13906.0
low,hk_person_00119373,2,167.2,3344.0
low,hk_person_00119531,2,142.0,2840.0
low,hk_person_00119603,2,81.1,1622.0
low,hk_person_00119604,2,325.4,6508.0
low,hk_person_00119722,3,355.1,7102.0
low,hk_person_00119789,3,275.3,5506.0
low,hk_person_00120037,3,238.20000000000002,4764.0
low,hk_person_00120515,3,255.7,5114.0
low,hk_person_00121654,3,187.8,3756.0
low,hk_person_00122160,2,58.0,1160.0
low,hk_person_00123896,3,292.1,5842.0
low,hk_person_00124037,3,413.9,8278.0
low,hk_person_00124137,2,192.39999999999998,3847.9999999999995
low,hk_person_00124775,2,85.30000000000001,1706.0000000000002
low,hk_person_00125025,3,338.3,6766.0
low,hk_person_00125271,2,214.8,4296.0
low,hk_person_00125468,2,286.2,5724.0
low,hk_person_00125756,2,194.5,3890.0
low,hk_person_00125757,2,186.1,3722.0
low,hk_person_00125775,2,116.80000000000001,2336.0
low,hk_person_00125776,2,212.0,4240.0
low,hk_person_00125871,3,227.70000000000002,4554.0
low,hk_person_00126983,2,194.5,3890.0
low,hk_person_00126997,2,58.0,1160.0
low,hk_person_00127016,2,102.1,2042.0
low,hk_person_00127168,2,188.2,3764.0
low,hk_person_00127525,2,100.0,2000.0
low,hk_person_00127740,3,468.5,9370.0
low,hk_person_00127810,3,523.8,10476.0
low,hk_person_00128057,3,227.7,4554.0
low,hk_person_00128066,2,211.3,4226.0
low,hk_person_00128201,2,97.9,1958.0
low,hk_person_00128237,2,311.4,6228.0
low,hk_person_00128430,3,434.9,8698.0
low,hk_person_00128544,2,146.2,2924.0
low,hk_person_00129088,2,564.8,11296.0
low,hk_person_00129987,2,200.10000000000002,4002.0000000000005
low,hk_person_00130170,3,202.5,4050.0
low,hk_person_00130208,2,163.0,3260.0
low,hk_person_00130218,2,144.10000000000002,2882.0000000000005
low,hk_person_00130560,2,179.8,3596.0
low,hk_person_00130578,2,259.6,5192.0
low,hk_person_00130634,2,89.5,1790.0
low,hk_person_00130635,2,224.6,4492.0
low,hk_person_00130642,3,325.7,6514.0
low,hk_person_00131854,3,306.8,6136.0
low,hk_person_00132320,2,106.3,2126.0
low,hk_person_00132323,2,290.4,5808.0
low,hk_person_00134047,3,366.29999999999995,7325.999999999999
low,hk_person_00134451,3,238.2,4764.0
low,hk_person_00134469,3,584.0,11680.0
low,hk_person_00134710,2,219.0,4380.0
low,hk_person_00135117,2,135.7,2714.0
low,hk_person_00135833,3,145.79999999999998,2915.9999999999995
low,hk_person_00137789,3,307.5,6150.0
