line_id,line_name,line_type,company,start_stop,end_stop,start_time,end_time,status,direction_pair_line_id,distance,basic_price,total_price,bounds,stop_count,has_polyline,timedesc,timedesc_parseable,source_stop_ids
3.501E+11,9路(新厦二区社区--远东丽景公交站),普通公交,滕州康驰新巴士客运公司,新厦二区社区,远东丽景公交站,,,1,3.501E+11,18.305,1,1,"119.291578,26.061160;119.369410,26.131876",39,TRUE,{%22rule_group%22:[{%22date%22:{%22day_type%22:[%22all%22]%2C%22day_month%22:[]%2C%22month%22:[%224%22%2C%225%22%2C%226%22%2C%227%22%2C%228%22%2C%229%22%2C%2210%22]%2C%22day_range%22:%22%22%2C%22month_type%22:[%22summer%22]%2C%22day_week%22:[]%2C%22month_range%22:%224~10%22}%2C%22time_group%22:[{%22start_time%22:%2206:00:00%22%2C%22end_time%22:%2221:30:00%22%2C%22interval_time%22:%22%22%2C%22noon_type%22:%22%22}]%2C%22remark%22:%224月至10月 06:00-21:30%22%2C%22special_case%22:%22%22}%2C{%22date%22:{%22day_type%22:[%22all%22]%2C%22day_month%22:[]%2C%22month%22:[%221%22%2C%222%22%2C%223%22%2C%2211%22%2C%2212%22]%2C%22day_range%22:%22%22%2C%22month_type%22:[%22winter%22]%2C%22day_week%22:[]%2C%22month_range%22:%221~3%2C11~12%22}%2C%22time_group%22:[{%22start_time%22:%2206:00:00%22%2C%22end_time%22:%2221:00:00%22%2C%22interval_time%22:%22%22%2C%22noon_type%22:%22%22}]%2C%22remark%22:%221月至3月/11月/12月 06:00-21:00%22%2C%22special_case%22:%22%22}]%2C%22peak_time_group%22:[]%2C%22low_time_group%22:[]%2C%22flat_time_group%22:[]%2C%22allRemark%22:%2201月01日至03月31日/11月01日至12月31日 06:00-21:00\r\n04月01日至10月31日 06:00-21:30%22},TRUE,BV09057177;BV09123250;BV09185305;BV10208428;BV10208429;BV10208500;BV10208501;BV10208534;BV10208571;BV10208578;BV10208579;BV10208580;BV10208581;BV10208582;BV10208585;BV10208586;BV10208590;BV10208592;BV10208594;BV10208595;BV10208596;BV10208597;BV10208599;BV10208600;BV10208601;BV10208604;BV10208605;BV10208606;BV10208630;BV10208631;BV10208953;BV10208954;BV10209348;BV10209599;BV10410408;BV10430784;BV10571397;BV10932711;BV11085162
3.501E+11,10路(鳌峰洲公交总站--火车站北广场),普通公交,福州公交集团,鳌峰洲公交总站,火车站北广场,530,2230,1,3.501E+11,19.786,1,1,"119.281359,26.043890;119.364582,26.118305",37,TRUE,"""""",FALSE,BV09020981;BV09029245;BV09159959;BV09188578;BV09219846;BV10208397;BV10208446;BV10208475;BV10208476;BV10208477;BV10208478;BV10208490;BV10208505;BV10208511;BV10208547;BV10208608;BV10208610;BV10208611;BV10208612;BV10208613;BV10208614;BV10208615;BV10208616;BV10208617;BV10208618;BV10208619;BV10208620;BV10208621;BV10208622;BV10391609;BV10553038;BV10939127;BV10951064;BV11143187;BV11339890;BV11339892;BV11668044
3.501E+11,10路(火车站北广场--鳌峰洲公交总站),普通公交,福州公交集团,火车站北广场,鳌峰洲公交总站,530,2230,1,3.501E+11,18.611,1,1,"119.281112,26.047058;119.362243,26.116449",37,TRUE,"""""",FALSE,BV09020981;BV09029245;BV09159959;BV09188578;BV09219846;BV09532227;BV10208397;BV10208476;BV10208477;BV10208478;BV10208490;BV10208505;BV10208511;BV10208547;BV10208608;BV10208610;BV10208612;BV10208613;BV10208614;BV10208615;BV10208616;BV10208617;BV10208618;BV10208619;BV10208620;BV10208621;BV10208622;BV10208624;BV10208626;BV10209197;BV10391609;BV10422959;BV10932469;BV10939127;BV10951064;BV11143187;BV11668044
3.501E+11,11路(海峡奥体公交枢纽站--公交鹤林站),普通公交,福州公交集团,海峡奥体公交枢纽站,公交鹤林站,600,2300,1,3.501E+11,16.087,1,1,"119.276576,26.014080;119.336166,26.099876",32,TRUE,"""""",FALSE,BV09123250;BV09179716;BV09185305;BV09188578;BV10208394;BV10208395;BV10208397;BV10208409;BV10208518;BV10208520;BV10208574;BV10208576;BV10208586;BV10208627;BV10208630;BV10208631;BV10208632;BV10208634;BV10208635;BV10209158;BV10209382;BV10569487;BV10569488;BV10569489;BV10569490;BV10826233;BV10925596;BV11381499;BV11505711;BV11562846;BV11665197;BV11678924
3.501E+11,11路(公交鹤林站--海峡奥体公交枢纽站),普通公交,福州公交集团,公交鹤林站,海峡奥体公交枢纽站,600,2210,1,3.501E+11,14.345,1,1,"119.280305,26.016225;119.335970,26.099766",27,TRUE,"""""",FALSE,BV09123250;BV09185305;BV10208394;BV10208395;BV10208397;BV10208409;BV10208518;BV10208520;BV10208574;BV10208576;BV10208586;BV10208627;BV10208630;BV10208631;BV10208632;BV10208634;BV10208635;BV10569481;BV10569490;BV10826233;BV10925596;BV10927910;BV10927912;BV11381499;BV11505711;BV11562846;BV11683876
3.501E+11,13路(敬老线路)(鳌峰洲公交总站--洪塘公交总站),普通公交,滕州康驰新巴士客运公司,鳌峰洲公交总站,洪塘公交总站,,,1,3.501E+11,19.212,1,1,"119.236967,26.041642;119.364963,26.065116",35,TRUE,{%22rule_group%22:[{%22date%22:{%22day_type%22:[%22all%22]%2C%22day_month%22:[]%2C%22month%22:[%224%22%2C%225%22%2C%226%22%2C%227%22%2C%228%22%2C%229%22]%2C%22day_range%22:%22%22%2C%22month_type%22:[]%2C%22day_week%22:[]%2C%22month_range%22:%224~9%22}%2C%22time_group%22:[{%22start_time%22:%2206:00:00%22%2C%22end_time%22:%2221:00:00%22%2C%22interval_time%22:%22%22%2C%22noon_type%22:%22%22}]%2C%22remark%22:%224月至9月 06:00-21:00%22%2C%22special_case%22:%22%22}%2C{%22date%22:{%22day_type%22:[%22all%22]%2C%22day_month%22:[]%2C%22month%22:[%221%22%2C%222%22%2C%223%22%2C%2210%22%2C%2211%22%2C%2212%22]%2C%22day_range%22:%22%22%2C%22month_type%22:[]%2C%22day_week%22:[]%2C%22month_range%22:%221~3%2C10~12%22}%2C%22time_group%22:[{%22start_time%22:%2206:00:00%22%2C%22end_time%22:%2220:40:00%22%2C%22interval_time%22:%22%22%2C%22noon_type%22:%22%22}]%2C%22remark%22:%221月至3月/10月至12月 06:00-20:40%22%2C%22special_case%22:%22%22}]%2C%22peak_time_group%22:[]%2C%22low_time_group%22:[]%2C%22flat_time_group%22:[]%2C%22allRemark%22:%2201月01日至03月31日/10月01日至12月31日 06:00-20:40\r\n04月01日至09月30日 06:00-21:00%22},TRUE,BV09020981;BV09154883;BV09241381;BV09365535;BV10208548;BV10208554;BV10208608;BV10208610;BV10208616;BV10208617;BV10208619;BV10208620;BV10208621;BV10208639;BV10208640;BV10208643;BV10208644;BV10208645;BV10208650;BV10208651;BV10208748;BV10208855;BV10209338;BV10209635;BV10601452;BV10826231;BV10951064;BV11058845;BV11079235;BV11111178;BV11156205;BV11206547;BV11280020;BV11668044;BV11668055
3.501E+11,13路(敬老线路)(洪塘公交总站--鳌峰洲公交总站),普通公交,滕州康驰新巴士客运公司,洪塘公交总站,鳌峰洲公交总站,,,1,3.501E+11,18.243,1,1,"119.237102,26.046400;119.362866,26.064773",35,TRUE,{%22rule_group%22:[{%22date%22:{%22day_type%22:[%22all%22]%2C%22day_month%22:[]%2C%22month%22:[%221%22%2C%222%22%2C%223%22%2C%2210%22%2C%2211%22%2C%2212%22]%2C%22day_range%22:%22%22%2C%22month_type%22:[]%2C%22day_week%22:[]%2C%22month_range%22:%221~3%2C10~12%22}%2C%22time_group%22:[{%22start_time%22:%2206:00:00%22%2C%22end_time%22:%2221:30:00%22%2C%22interval_time%22:%22%22%2C%22noon_type%22:%22%22}]%2C%22remark%22:%221月至3月/10月至12月 06:00-21:30%22%2C%22special_case%22:%22%22}%2C{%22date%22:{%22day_type%22:[%22all%22]%2C%22day_month%22:[]%2C%22month%22:[%224%22%2C%225%22%2C%226%22%2C%227%22%2C%228%22%2C%229%22]%2C%22day_range%22:%22%22%2C%22month_type%22:[]%2C%22day_week%22:[]%2C%22month_range%22:%224~9%22}%2C%22time_group%22:[{%22start_time%22:%2206:00:00%22%2C%22end_time%22:%2222:00:00%22%2C%22interval_time%22:%22%22%2C%22noon_type%22:%22%22}]%2C%22remark%22:%224月至9月 06:00-22:00%22%2C%22special_case%22:%22%22}]%2C%22peak_time_group%22:[]%2C%22low_time_group%22:[]%2C%22flat_time_group%22:[]%2C%22allRemark%22:%2201月01日至03月31日/10月01日至12月31日 06:00-21:30\r\n04月01日至09月30日 06:00-22:00%22},TRUE,BV09020981;BV09154883;BV09241381;BV09365535;BV10208521;BV10208548;BV10208554;BV10208608;BV10208610;BV10208616;BV10208617;BV10208619;BV10208620;BV10208621;BV10208639;BV10208640;BV10208643;BV10208645;BV10208650;BV10208651;BV10208658;BV10208855;BV10209338;BV10209635;BV10601452;BV10826231;BV10951064;BV11058845;BV11079235;BV11111178;BV11156205;BV11206547;BV11280020;BV11668044;BV11668055
3.501E+11,14路(软件园鲲鹏大厦--新后坂停车场),普通公交,福州公交集团,软件园鲲鹏大厦,新后坂停车场,600,2230,1,3.501E+11,18.126,1,1,"119.243148,26.017851;119.341499,26.102369",36,TRUE,"""""",FALSE,BV09020981;BV09079791;BV09212358;BV09219846;BV09532451;BV10208401;BV10208406;BV10208410;BV10208415;BV10208434;BV10208435;BV10208459;BV10208460;BV10208461;BV10208493;BV10208494;BV10208495;BV10208510;BV10208547;BV10208548;BV10208549;BV10208554;BV10208573;BV10208660;BV10208661;BV10208663;BV10208664;BV10208665;BV10208779;BV10209383;BV10391609;BV10414584;BV10881313;BV10967005;BV11026109;BV11484800
3.501E+11,14路(地铁葫芦阵(东侧)--软件园鲲鹏大厦),普通公交,福州公交集团,地铁葫芦阵(东侧),软件园鲲鹏大厦,600,2140,1,3.501E+11,17.743,1,1,"119.244205,26.018181;119.342743,26.102390",36,TRUE,"""""",FALSE,BV09020981;BV09063064;BV09103511;BV09116443;BV09219846;BV09237813;BV10208401;BV10208422;BV10208434;BV10208435;BV10208459;BV10208460;BV10208461;BV10208493;BV10208494;BV10208495;BV10208510;BV10208547;BV10208548;BV10208554;BV10208660;BV10208661;BV10208663;BV10208664;BV10208665;BV10208670;BV10208672;BV10208779;BV10391609;BV10414584;BV10881313;BV10967005;BV11026109;BV11220447;BV11220448;BV11484800
3.501E+11,16路(鳌峰洲公交总站--洪山梁厝路),普通公交,福州公交集团,鳌峰洲公交总站,洪山梁厝路,600,2200,1,3.501E+11,18.017,1,1,"119.253732,26.041642;119.364963,26.084602",35,TRUE,"""""",FALSE,BV09063064;BV10208416;BV10208493;BV10208494;BV10208495;BV10208496;BV10208497;BV10208499;BV10208510;BV10208540;BV10208592;BV10208594;BV10208608;BV10208616;BV10208617;BV10208618;BV10208619;BV10208620;BV10208667;BV10208674;BV10208675;BV10208677;BV10208679;BV10208684;BV10410408;BV10430784;BV10551239;BV10759382;BV10826235;BV10939127;BV10951064;BV11103241;BV11184090;BV11339890;BV11339892
3.501E+11,16路(洪山梁厝路--鳌峰洲公交总站),普通公交,福州公交集团,洪山梁厝路,鳌峰洲公交总站,600,2200,1,3.501E+11,15.444,1,1,"119.253480,26.047108;119.362866,26.084536",33,TRUE,"""""",FALSE,BV09532451;BV10208416;BV10208493;BV10208494;BV10208495;BV10208496;BV10208497;BV10208499;BV10208510;BV10208540;BV10208592;BV10208594;BV10208608;BV10208616;BV10208617;BV10208618;BV10208619;BV10208620;BV10208667;BV10208674;BV10208675;BV10208677;BV10208679;BV10208684;BV10410408;BV10430784;BV10551239;BV10759382;BV10826235;BV10939127;BV10951064;BV11103241;BV11184090
3.501E+11,K2路(火车南站西广场--火车站北广场),普通公交,福州公交集团,火车南站西广场,火车站北广场,530,2345,1,3.501E+11,20.523,1,1,"119.315171,25.987372;119.391170,26.118305",28,TRUE,"""""",FALSE,BV09105369;BV09190424;BV09190425;BV09365533;BV09394406;BV10208401;BV10208403;BV10208424;BV10208425;BV10208436;BV10208446;BV10208453;BV10208459;BV10208467;BV10208588;BV10208607;BV10208688;BV10208690;BV10208692;BV10208694;BV10208695;BV10209221;BV10906644;BV10906645;BV10965141;BV11143187;BV11339241;BV11585546
3.501E+11,K2路(火车站北广场--火车南站东广场),普通公交,福州公交集团,火车站北广场,火车南站东广场,525,2220,1,3.501E+11,20.245,1,1,"119.315063,25.987617;119.390776,26.119292",27,TRUE,"""""",FALSE,BV09105369;BV09190425;BV09394406;BV10208401;BV10208403;BV10208424;BV10208425;BV10208436;BV10208446;BV10208453;BV10208459;BV10208467;BV10208588;BV10208607;BV10208688;BV10208690;BV10208692;BV10208694;BV10208695;BV10209221;BV10902716;BV10906644;BV10906645;BV10965141;BV11143187;BV11339241;BV11585546
3.501E+11,18路(火车站南广场--仁山路利嘉国际商业城),普通公交,滕州康驰新巴士客运公司,火车站南广场,仁山路利嘉国际商业城,600,2230,1,3.501E+11,20.122,1,1,"119.281825,25.993770;119.316956,26.114807",38,TRUE,"""""",FALSE,BV09154883;BV09159959;BV09180757;BV09518479;BV10208418;BV10208478;BV10208503;BV10208504;BV10208505;BV10208511;BV10208518;BV10208565;BV10208567;BV10208585;BV10208674;BV10208675;BV10208697;BV10208698;BV10208700;BV10208703;BV10208705;BV10208706;BV10208708;BV10208709;BV10391511;BV10410394;BV10418855;BV10553038;BV10555297;BV10565265;BV10569482;BV10569483;BV10889673;BV10931829;BV11003896;BV11111178;BV11375238;BV11445177
3.501E+11,18路(仁山路利嘉国际商业城--火车站南广场),普通公交,滕州康驰新巴士客运公司,仁山路利嘉国际商业城,火车站南广场,600,2130,1,3.501E+11,19.936,1,1,"119.281825,25.993834;119.318929,26.112271",40,TRUE,"""""",FALSE,BV09159959;BV09180217;BV09518479;BV10208418;BV10208446;BV10208477;BV10208478;BV10208503;BV10208504;BV10208505;BV10208511;BV10208513;BV10208518;BV10208565;BV10208567;BV10208585;BV10208674;BV10208675;BV10208697;BV10208698;BV10208700;BV10208705;BV10208706;BV10208708;BV10208709;BV10208711;BV10208712;BV10391511;BV10410394;BV10418855;BV10553038;BV10555297;BV10569482;BV10569483;BV10569489;BV10889673;BV11003896;BV11111178;BV11375238;BV11470315
3.501E+11,20路(福州华光大帝庙--火车站南广场),普通公交,福州公交集团,福州华光大帝庙,火车站南广场,500,2340,1,3.501E+11,14.808,1,1,"119.296358,26.023549;119.319049,26.113139",27,TRUE,"""""",FALSE,BV09067687;BV09188578;BV09225173;BV09225507;BV10208394;BV10208395;BV10208397;BV10208409;BV10208418;BV10208436;BV10208446;BV10208465;BV10208485;BV10208521;BV10208565;BV10208567;BV10208585;BV10208622;BV10208713;BV10208716;BV10553038;BV10808814;BV10809101;BV10871303;BV10871304;BV11494064;BV11668055
3.501E+11,20路(火车站南广场--福州华光大帝庙),普通公交,福州公交集团,火车站南广场,福州华光大帝庙,500,2300,1,3.501E+11,15.08,1,1,"119.296293,26.023681;119.318527,26.114807",27,TRUE,"""""",FALSE,BV09067687;BV09188578;BV09225173;BV09225507;BV09394407;BV10208394;BV10208395;BV10208397;BV10208409;BV10208418;BV10208436;BV10208446;BV10208465;BV10208565;BV10208567;BV10208585;BV10208622;BV10208713;BV10208716;BV10328973;BV10553038;BV10808814;BV10809101;BV10871303;BV10871304;BV11494064;BV11668055
3.501E+11,22路(罗汉山隧道西--淮安公交总站),普通公交,福州公交集团,罗汉山隧道西,淮安公交总站,600,2140,1,3.501E+11,14.366,1,1,"119.232438,26.076001;119.318159,26.120953",27,TRUE,"""""",FALSE,BV09180217;BV09361614;BV10208391;BV10208428;BV10208429;BV10208436;BV10208446;BV10208493;BV10208494;BV10208495;BV10208496;BV10208497;BV10208499;BV10208500;BV10208501;BV10208510;BV10208513;BV10208718;BV10209188;BV10209189;BV10411588;BV10576132;BV10871303;BV10871304;BV11103241;BV11317013;BV11454595
