edge_id,from_lat_wgs84,from_lon_wgs84,from_sequence,from_station_id,from_station_name,line_id,line_name,to_lat_wgs84,to_lon_wgs84,to_sequence,to_station_id,to_station_name
350100010523_022_023,26.09627230394046,119.31041809528827,22,BV10208694,东门村委,350100010523,166路(敬老线路)(坂中村--湖塘村),26.089237763693912,119.31198166515102,23,BV10208607,东门
350100010523_023_024,26.089237763693912,119.31198166515102,23,BV10208607,东门,350100010523,166路(敬老线路)(坂中村--湖塘村),26.08404753380451,119.31718307607046,24,BV10208589,省彩印厂
350100010523_024_025,26.08404753380451,119.31718307607046,24,BV10208589,省彩印厂,350100010523,166路(敬老线路)(坂中村--湖塘村),26.081521874001137,119.32189313214913,25,BV10208590,长乐北路口
350100010523_025_026,26.081521874001137,119.32189313214913,25,BV10208590,长乐北路口,350100010523,166路(敬老线路)(坂中村--湖塘村),26.07869557429919,119.3247268454876,26,BV10208539,大名城
350100010523_026_027,26.07869557429919,119.3247268454876,26,BV10208539,大名城,350100010523,166路(敬老线路)(坂中村--湖塘村),26.07720880994587,119.33517700933274,27,BV11184391,地铁五里亭站
350100010523_027_028,26.07720880994587,119.33517700933274,27,BV11184391,地铁五里亭站,350100010523,166路(敬老线路)(坂中村--湖塘村),26.076967351032398,119.33860072353343,28,BV10208538,肿瘤医院
350100010523_028_029,26.076967351032398,119.33860072353343,28,BV10208538,肿瘤医院,350100010523,166路(敬老线路)(坂中村--湖塘村),26.075936672000743,119.34420786764711,29,BV10208536,前屿
350100010523_029_030,26.075936672000743,119.34420786764711,29,BV10208536,前屿,350100010523,166路(敬老线路)(坂中村--湖塘村),26.07409157305014,119.35005630400619,30,BV10208535,恒宇国际公园
350100010523_030_031,26.07409157305014,119.35005630400619,30,BV10208535,恒宇国际公园,350100010523,166路(敬老线路)(坂中村--湖塘村),26.075526146851516,119.35472903311701,31,BV10872170,福兴医院
350100010523_031_032,26.075526146851516,119.35472903311701,31,BV10872170,福兴医院,350100010523,166路(敬老线路)(坂中村--湖塘村),26.07788205227052,119.35450817908172,32,BV10874179,后屿路
350100010523_032_033,26.07788205227052,119.35450817908172,32,BV10874179,后屿路,350100010523,166路(敬老线路)(坂中村--湖塘村),26.085300639663775,119.35279118931834,33,BV10209350,湖塘村
350100010586_001_002,26.131210775519158,119.15765748333024,1,BV11641756,闽侯客运中心,350100010586,707路(闽侯客运中心--鸿尾客运站),26.13390461835453,119.15445877238882,2,BV10740056,西海岸
350100010586_002_003,26.13390461835453,119.15445877238882,2,BV10740056,西海岸,350100010586,707路(闽侯客运中心--鸿尾客运站),26.136082083203526,119.15117906005752,3,BV09268192,滨城民俗路口站
350100010586_003_004,26.136082083203526,119.15117906005752,3,BV09268192,滨城民俗路口站,350100010586,707路(闽侯客运中心--鸿尾客运站),26.137552175646853,119.14901170554411,4,BV10816817,滨江新城
350100010586_004_005,26.137552175646853,119.14901170554411,4,BV10816817,滨江新城,350100010586,707路(闽侯客运中心--鸿尾客运站),26.13895337019636,119.14689152265551,5,BV10740052,世茂上游墅
350100010586_005_006,26.13895337019636,119.14689152265551,5,BV10740052,世茂上游墅,350100010586,707路(闽侯客运中心--鸿尾客运站),26.142423715402355,119.14697341553676,6,BV11654900,省艺术学院
350100010586_006_007,26.142423715402355,119.14697341553676,6,BV11654900,省艺术学院,350100010586,707路(闽侯客运中心--鸿尾客运站),26.144779097994142,119.14574691325856,7,BV10209473,新永辉超市
350100010586_007_008,26.144779097994142,119.14574691325856,7,BV10209473,新永辉超市,350100010586,707路(闽侯客运中心--鸿尾客运站),26.145791326700248,119.14069458317951,8,BV10490320,县卫生局
350100010586_008_009,26.145791326700248,119.14069458317951,8,BV10490320,县卫生局,350100010586,707路(闽侯客运中心--鸿尾客运站),26.14668120602691,119.13774237541114,9,BV11374491,县实验中学
