occurrence_id,line_id,line_name,direction_start,direction_end,sequence,station_id,amap_stop_id,station_name,lon,lat
350100020746_009_1be52ed0,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,9,BV10210921,BV10210921,西洋,119.296889,26.071661
350100020746_010_c0d479be,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,10,BV10210920,BV10210920,宁化,119.293343,26.06265
350100020746_011_ddc38c30,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,11,BV10210919,BV10210919,祥坂,119.286022,26.060749
350100020746_012_bdcd334f,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,12,BV10210918,BV10210918,金祥,119.271125,26.048518
350100020746_013_8d806ffb,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,13,BV10210917,BV10210917,金山,119.262331,26.047449
350100020746_014_a20eb391,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,14,BV10210916,BV10210916,洪湾,119.250071,26.047386
350100020746_015_7a52aaae,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,15,BV10210915,BV10210915,桔园洲,119.242783,26.046869
350100020746_016_4a50937b,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,16,BV10210914,BV10210914,厚庭,119.214929,26.04133
350100020746_017_a14d1226,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,17,BV10210913,BV10210913,董屿·福建师大,119.207305,26.041328
350100020746_018_ccb3d372,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,18,BV10604609,BV10604609,福州大学,119.20348,26.058382
350100020746_019_1e5f7900,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,19,BV10604610,BV10604610,金屿,119.199991,26.067353
350100020746_020_032726fc,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,20,BV10208880,BV10208880,上街,119.187292,26.075713
350100020746_021_443b4023,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,21,BV10208894,BV10208894,沙堤,119.173983,26.085788
350100020746_022_0b82d3da,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,22,BV10210910,BV10210910,苏洋,119.15963,26.098509
350100020745_001_0b82d3da,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,1,BV10210910,BV10210910,苏洋,119.15963,26.098509
350100020745_002_443b4023,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,2,BV10208894,BV10208894,沙堤,119.173983,26.085788
350100020745_003_032726fc,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,3,BV10208880,BV10208880,上街,119.187292,26.075713
350100020745_004_1e5f7900,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,4,BV10604610,BV10604610,金屿,119.199991,26.067353
350100020745_005_ccb3d372,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,5,BV10604609,BV10604609,福州大学,119.20348,26.058382
350100020745_006_a14d1226,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,6,BV10210913,BV10210913,董屿·福建师大,119.207305,26.041328
350100020745_007_4a50937b,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,7,BV10210914,BV10210914,厚庭,119.214929,26.04133
350100020745_008_7a52aaae,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,8,BV10210915,BV10210915,桔园洲,119.242783,26.046869
350100020745_009_a20eb391,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,9,BV10210916,BV10210916,洪湾,119.250071,26.047386
350100020745_010_8d806ffb,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,10,BV10210917,BV10210917,金山,119.262331,26.047449
350100020745_011_bdcd334f,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,11,BV10210918,BV10210918,金祥,119.271125,26.048518
350100020745_012_ddc38c30,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,12,BV10210919,BV10210919,祥坂,119.286022,26.060749
350100020745_013_c0d479be,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,13,BV10210920,BV10210920,宁化,119.293343,26.06265
350100020745_014_1be52ed0,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,14,BV10210921,BV10210921,西洋,119.296889,26.071661
350100020745_015_47e9d24b,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,15,BV10210902,BV10210902,南门兜,119.303745,26.076251
350100020745_016_00acb2eb,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,16,BV10210922,BV10210922,水部,119.314169,26.076428
350100020745_017_3f914008,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,17,BV10604608,BV10604608,紫阳,119.327173,26.076378
350100020745_018_1a9beab1,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,18,BV10210923,BV10210923,五里亭,119.340276,26.074265
350100020745_019_d296f84f,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,19,BV10208537,BV10208537,前屿,119.350588,26.07256
350100020745_020_75b3df53,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,20,BV10208603,BV10208603,上洋,119.363035,26.066498
350100020745_021_df757507,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,21,BV10210924,BV10210924,鼓山,119.375054,26.053312
350100020745_022_2762ac7d,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,22,BV10744868,BV10744868,洋里,119.372233,26.045254
900000090237_001_53fadfdf,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,1,BV10972437,BV10972437,半洲,119.237833,26.056572
900000090237_002_51f8c049,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,2,BV10972425,BV10972425,建新,119.237864,26.064362
900000090237_003_14432173,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,3,BV11352892,BV11352892,洪塘,119.248816,26.073328
900000090237_004_138c13d2,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,4,BV10972432,BV10972432,金牛山,119.261723,26.076302
900000090237_005_41bca9a4,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,5,BV10972420,BV10972420,凤凰池,119.27271,26.078389
900000090237_006_3fdbbc59,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,6,BV10972429,BV10972429,陆庄,119.283452,26.082467
900000090237_007_02b70e0f,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,7,BV10972428,BV10972428,西门,119.290055,26.0847
900000090237_008_f654cbb6,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,8,BV10687403,BV10687403,东街口,119.299259,26.08596
900000090237_009_822424c1,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,9,BV10972435,BV10972435,省立医院,119.307142,26.086704
900000090237_010_b7e8a913,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,10,BV11352891,BV11352891,东门,119.315019,26.08759
900000090237_011_7974138a,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,11,BV10972421,BV10972421,三角池,119.326262,26.090976
900000090237_012_7754235e,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,12,BV10972423,BV10972423,竹屿,119.337675,26.09304
900000090237_013_95876114,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,13,BV10972422,BV10972422,横屿,119.352237,26.089831
900000090237_014_962e6daf,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,14,BV10972434,BV10972434,后屿,119.352461,26.081212
900000090237_015_f809d435,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,15,BV10208537,BV10208537,前屿,119.350356,26.071935
900000090237_016_9c23f60e,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,16,BV10972431,BV10972431,光明港,119.346742,26.064404
900000090237_017_c8ebd053,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,17,BV10972424,BV10972424,鳌峰洲,119.344516,26.054747
900000090237_018_3fb5729f,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,18,BV10972430,BV10972430,花海公园,119.350335,26.040098
900000090237_019_813355a5,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,19,BV10972426,BV10972426,会展中心,119.359563,26.029607
900000090237_020_719ed633,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,20,BV10877575,BV10877575,林浦,119.365369,26.015993
900000090237_021_b9adb293,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,21,BV10208691,BV10208691,城门,119.36022,25.996158
900000090237_022_253ac21a,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,22,BV10972427,BV10972427,螺洲温泉,119.349023,25.990339
900000090237_023_b861383e,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,23,BV11506304,BV11506304,帝封江,119.33544,25.987382
900000090236_001_b861383e,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,1,BV11506304,BV11506304,帝封江,119.33544,25.987382
900000090236_002_253ac21a,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,2,BV10972427,BV10972427,螺洲温泉,119.349023,25.990339
900000090236_003_b9adb293,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,3,BV10208691,BV10208691,城门,119.36022,25.996158
900000090236_004_719ed633,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,4,BV10877575,BV10877575,林浦,119.365369,26.015993
900000090236_005_813355a5,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,5,BV10972426,BV10972426,会展中心,119.359563,26.029607
900000090236_006_3fb5729f,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,6,BV10972430,BV10972430,花海公园,119.350335,26.040098
900000090236_007_c8ebd053,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,7,BV10972424,BV10972424,鳌峰洲,119.344516,26.054747
900000090236_008_9c23f60e,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,8,BV10972431,BV10972431,光明港,119.346742,26.064404
900000090236_009_f809d435,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,9,BV10208537,BV10208537,前屿,119.350356,26.071935
900000090236_010_962e6daf,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,10,BV10972434,BV10972434,后屿,119.352461,26.081212
900000090236_011_95876114,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,11,BV10972422,BV10972422,横屿,119.352237,26.089831
900000090236_012_7754235e,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,12,BV10972423,BV10972423,竹屿,119.337675,26.09304
900000090236_013_7974138a,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,13,BV10972421,BV10972421,三角池,119.326262,26.090976
900000090236_014_b7e8a913,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,14,BV11352891,BV11352891,东门,119.315019,26.08759
900000090236_015_822424c1,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,15,BV10972435,BV10972435,省立医院,119.307142,26.086704
900000090236_016_f654cbb6,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,16,BV10687403,BV10687403,东街口,119.299259,26.08596
900000090236_017_02b70e0f,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,17,BV10972428,BV10972428,西门,119.290055,26.0847
900000090236_018_3fdbbc59,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,18,BV10972429,BV10972429,陆庄,119.283452,26.082467
900000090236_019_41bca9a4,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,19,BV10972420,BV10972420,凤凰池,119.27271,26.078389
900000090236_020_138c13d2,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,20,BV10972432,BV10972432,金牛山,119.261723,26.076302
900000090236_021_14432173,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,21,BV11352892,BV11352892,洪塘,119.248816,26.073328
900000090236_022_51f8c049,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,22,BV10972425,BV10972425,建新,119.237864,26.064362
900000090236_023_53fadfdf,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,23,BV10972437,BV10972437,半洲,119.237833,26.056572
900000088654_001_661d67a9,900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,1,BV10603792,BV10603792,福州火车南站,119.391878,25.986372
900000088654_002_a43a88c7,900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,2,BV11623385,BV11623385,龙江,119.372382,25.984442
900000088654_003_e1bd7445,900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,3,BV11623384,BV11623384,前锦,119.362402,25.984426
900000088654_004_a7ce8e81,900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,4,BV10961096,BV10961096,螺洲古镇,119.35138,25.986273
900000088654_005_b861383e,900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,5,BV11506304,BV11506304,帝封江,119.33544,25.987382
900000088654_006_7ef4092a,900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,6,BV11505097,BV11505097,义序,119.32743,25.986895
900000088654_007_534e9558,900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,7,BV11505098,BV11505098,盖山竹榄,119.320584,25.993747
900000088654_008_aa49c784,900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,8,BV10961090,BV10961090,吴山,119.311356,25.997459
900000088654_009_70dd9986,900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,9,BV10961098,BV10961098,盘屿,119.292994,25.999391
900000088654_010_be874954,900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,10,BV10961089,BV10961089,台屿,119.281334,26.005975
900000088654_011_81732063,900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,11,BV10961085,BV10961085,东岭,119.277347,26.013371
900000088654_012_73cd936d,900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,12,BV10961097,BV10961097,霞镜,119.276478,26.025311
900000088654_013_2faa29a3,900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,13,BV10961091,BV10961091,浦上大道,119.272675,26.034091
900000088654_014_a3f6b2a0,900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,14,BV10961083,BV10961083,凤岗里,119.266951,26.038708
900000088654_015_8d806ffb,900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,15,BV10210917,BV10210917,金山,119.262331,26.047449
900000088654_016_faf74e67,900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,16,BV10961093,BV10961093,马榕,119.258374,26.055436
900000088654_017_93b4b3e4,900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,17,BV10961084,BV10961084,阵坂,119.251769,26.065387
900000088654_018_2648a7c0,900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,18,BV11352892,BV11352892,洪塘,119.250149,26.073332
900000088654_019_7aece28c,900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,19,BV10961088,BV10961088,农林大学,119.247234,26.084851
900000088654_020_29150a4e,900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,20,BV10961087,BV10961087,荆溪厚屿,119.231542,26.109727
900000088653_001_29150a4e,900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,1,BV10961087,BV10961087,荆溪厚屿,119.231542,26.109727
900000088653_002_7aece28c,900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,2,BV10961088,BV10961088,农林大学,119.247234,26.084851
900000088653_003_2648a7c0,900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,3,BV11352892,BV11352892,洪塘,119.250149,26.073332
900000088653_004_93b4b3e4,900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,4,BV10961084,BV10961084,阵坂,119.251769,26.065387
900000088653_005_faf74e67,900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,5,BV10961093,BV10961093,马榕,119.258374,26.055436
900000088653_006_8d806ffb,900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,6,BV10210917,BV10210917,金山,119.262331,26.047449
900000088653_007_a3f6b2a0,900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,7,BV10961083,BV10961083,凤岗里,119.266951,26.038708
900000088653_008_2faa29a3,900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,8,BV10961091,BV10961091,浦上大道,119.272675,26.034091
900000088653_009_73cd936d,900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,9,BV10961097,BV10961097,霞镜,119.276478,26.025311
900000088653_010_81732063,900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,10,BV10961085,BV10961085,东岭,119.277347,26.013371
900000088653_011_be874954,900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,11,BV10961089,BV10961089,台屿,119.281334,26.005975
900000088653_012_70dd9986,900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,12,BV10961098,BV10961098,盘屿,119.292994,25.999391
900000088653_013_aa49c784,900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,13,BV10961090,BV10961090,吴山,119.311356,25.997459
900000088653_014_534e9558,900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,14,BV11505098,BV11505098,盖山竹榄,119.320584,25.993747
900000088653_015_7ef4092a,900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,15,BV11505097,BV11505097,义序,119.32743,25.986895
900000088653_016_b861383e,900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,16,BV11506304,BV11506304,帝封江,119.33544,25.987382
900000088653_017_a7ce8e81,900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,17,BV10961096,BV10961096,螺洲古镇,119.35138,25.986273
900000088653_018_e1bd7445,900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,18,BV11623384,BV11623384,前锦,119.362402,25.984426
900000088653_019_a43a88c7,900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,19,BV11623385,BV11623385,龙江,119.372382,25.984442
900000088653_020_661d67a9,900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,20,BV10603792,BV10603792,福州火车南站,119.391878,25.986372
900000076583_001_5b0dc334,900000076583,地铁6号线(万寿--潘墩),万寿,潘墩,1,BV10877581,BV10877581,万寿,119.60263,25.899952
900000076583_002_2eb6dade,900000076583,地铁6号线(万寿--潘墩),万寿,潘墩,2,BV10877566,BV10877566,壶井,119.593335,25.905685
900000076583_003_1aae7c5e,900000076583,地铁6号线(万寿--潘墩),万寿,潘墩,3,BV10877578,BV10877578,下吴,119.582616,25.912233
900000076583_004_963b0479,900000076583,地铁6号线(万寿--潘墩),万寿,潘墩,4,BV10877571,BV10877571,莲花,119.571059,25.91924
900000076583_005_82a21ef4,900000076583,地铁6号线(万寿--潘墩),万寿,潘墩,5,BV10877570,BV10877570,沙京,119.54656,25.930828
