"YR_MTH","MODE","TTD_PTO_CODE","FRANCHISE_TYPE","RAIL_LINE","PAX","PAX_INDI"
"201309","PLB","RMB","","",10464.48,""
"201309","PLB","GMB","","",45979.715,""
"201309","Fran_Bus","CTB","2","",2108.988,""
"201310","Ferries","LFS","","",1254.765,""
"201310","TAX","TAX","","",31361.463254,""
"201310","Ferries","NWFF","","",1321.845,""
"201310","PLB","RMB","","",10831.625,""
"201310","PLB","GMB","","",47783.764,""
"201310","Railways","HKT","","",6350.353,""
"201310","Railways","MTRC","","LRT",15022.6,""
"201310","Railways","MTRC","","Airport",1247.614,""
"201310","Railways","MTRC","","Local",138175.964,""
"201310","Fran_Bus","NLB","","",2111.895,""
"201310","Fran_Bus","LWB","","",2934.769,""
"201310","Fran_Bus","NWFB","","",16074.969,""
"201310","Fran_Bus","CTB","2","",2256.422,""
"201310","Fran_Bus","CTB","1","",18406.266,""
"201310","Fran_Bus","KMB","","",83143.839,""
"201310","RS","RS","","",7543.507,""
"201310","LRB","LRB","","",4307.205,""
"201310","Ferries","STF","","",1918.847,""
"201311","Railways","HKT","","",6247.138,""
"201311","Railways","MTRC","","LRT",14545.506,""
"201311","Railways","MTRC","","Airport",1201.069,""
"201311","PLB","GMB","","",46324.679,""
"201311","PLB","RMB","","",10727.802,""
"201311","Ferries","NWFF","","",1197.672,""
"201311","Ferries","STF","","",1842.772,""
"201311","Ferries","LFS","","",1172.873,""
"201311","TAX","TAX","","",30475.478371,""
"201311","RS","RS","","",7332.006,""
"201311","LRB","LRB","","",4193.146,""
"201311","Fran_Bus","KMB","","",81226.251,""
"201311","Fran_Bus","CTB","1","",17755.653,""
"201311","Fran_Bus","CTB","2","",2223.767,""
"201311","Fran_Bus","NWFB","","",15612.977,""
"201311","Fran_Bus","LWB","","",2835.262,""
"201311","Railways","MTRC","","Local",137087.983,""
"201311","Fran_Bus","NLB","","",1980.587,""
"201312","RS","RS","","",7251.156,""
"201312","TAX","TAX","","",29994.719071,""
"201312","Ferries","LFS","","",1158.447,""
"201312","Ferries","STF","","",2006.499,""
"201312","Ferries","NWFF","","",1199.658,""
"201312","PLB","RMB","","",10666.427,""
"201312","PLB","GMB","","",46523.045,""
"201312","Railways","HKT","","",6374.795,""
"201312","Railways","MTRC","","LRT",14519.108,""
"201312","Railways","MTRC","","Airport",1266.654,""
"201312","LRB","LRB","","",4202.072,""
"201312","Fran_Bus","NLB","","",2047.708,""
"201312","Fran_Bus","LWB","","",2879.343,""
"201312","Fran_Bus","NWFB","","",15487.837,""
"201312","Fran_Bus","CTB","2","",2276.633,""
"201312","Fran_Bus","CTB","1","",17810.14,""
"201312","Fran_Bus","KMB","","",81180.117,""
"201312","Railways","MTRC","","Local",140791.963,""
"201401","Fran_Bus","KMB","","",83155.442,""
"201401","Fran_Bus","CTB","1","",18273.555,""
"201401","Fran_Bus","CTB","2","",2253.463,""
"201401","Fran_Bus","NWFB","","",15929.82,""
"201401","Fran_Bus","LWB","","",2857.17,""
"201401","Fran_Bus","NLB","","",2064.285,""
"201401","Railways","MTRC","","Local",141350.194,""
"201401","Railways","MTRC","","Airport",1173.99,""
"201401","Railways","MTRC","","LRT",14770.428,""
"201401","Railways","HKT","","",6292.083,""
"201401","PLB","GMB","","",47172.213,""
"201401","PLB","RMB","","",10816.245,""
"201401","Ferries","NWFF","","",1175.163,""
"201401","Ferries","STF","","",1822.136,""
"201401","Ferries","LFS","","",1145.928,""
"201401","TAX","TAX","","",29995.938673,""
"201401","RS","RS","","",7295.552,""
"201401","LRB","LRB","","",4270.063,""
"201402","Fran_Bus","KMB","","",72127.876,""
"201402","Fran_Bus","CTB","1","",16318.375,""
"201402","Fran_Bus","CTB","2","",2000.174,""
"201402","Fran_Bus","NWFB","","",13683.632,""
"201402","Fran_Bus","LWB","","",2551.623,""
"201402","Fran_Bus","NLB","","",1906.474,""
"201402","Railways","MTRC","","Local",121512.355,""
"201402","Railways","MTRC","","Airport",1044.168,""
"201402","Railways","MTRC","","LRT",12658.363,""
"201402","Railways","HKT","","",5292.466,""
"201402","PLB","GMB","","",41048.876,""
"201402","PLB","RMB","","",9684.343,""
"201402","Ferries","NWFF","","",1176.136,""
"201402","Ferries","STF","","",1649.749,""
"201402","Ferries","LFS","","",1054.728,""
"201402","TAX","TAX","","",27155.003999,""
"201402","RS","RS","","",6514.249,""
"201402","LRB","LRB","","",3597.058,""
"201403","Fran_Bus","KMB","","",82124.51,""
"201403","Fran_Bus","CTB","1","",18360.983,""
"201403","Fran_Bus","CTB","2","",2251.063,""
"201403","Fran_Bus","NWFB","","",15532.686,""
"201403","Fran_Bus","LWB","","",2848.197,""
"201403","Fran_Bus","NLB","","",2039.049,""
"201403","Railways","MTRC","","Local",137666.188,""
"201403","Railways","MTRC","","Airport",1288.325,""
"201403","Railways","MTRC","","LRT",14499.455,""
"201403","Railways","HKT","","",6051.682,""
"201403","PLB","GMB","","",46591.178,""
"201403","PLB","RMB","","",10950.52,""
"201403","Ferries","NWFF","","",1239.607,""
"201403","Ferries","STF","","",1711.106,""
"201403","Ferries","LFS","","",1159.599,""
"201403","TAX","TAX","","",30413.550659,""
"201403","RS","RS","","",7260.087,""
"201403","LRB","LRB","","",4235.433,""
"201404","Fran_Bus","KMB","","",78367.367,""
"201404","Fran_Bus","CTB","1","",17270.869,""
"201404","Fran_Bus","CTB","2","",2270.629,""
"201404","Fran_Bus","NWFB","","",14952.891,""
"201404","Fran_Bus","LWB","","",2857.251,""
"201404","Fran_Bus","NLB","","",2051.158,""
"201404","Railways","MTRC","","Local",129104.401,""
"201404","Railways","MTRC","","Airport",1265.236,""
"201404","Railways","MTRC","","LRT",13717.309,""
"201404","Railways","HKT","","",5849.237,""
"201404","PLB","GMB","","",44236.842,""
"201404","PLB","RMB","","",10135.2,""
"201404","Ferries","NWFF","","",1340.959,""
"201404","Ferries","STF","","",1762.729,""
"201404","Ferries","LFS","","",1220.143,""
"201404","TAX","TAX","","",28182.628371,""
"201404","RS","RS","","",6903.035,""
"201404","LRB","LRB","","",3995.498,""
"201405","Fran_Bus","KMB","","",81184.605,""
"201405","Fran_Bus","CTB","1","",17721.871,""
"201405","Fran_Bus","CTB","2","",2252.55,""
"201405","Fran_Bus","NWFB","","",15358.716,""
"201405","Fran_Bus","LWB","","",2857.298,""
"201405","Fran_Bus","NLB","","",2026.015,""
"201405","Railways","MTRC","","Local",133637.949,""
"201405","Railways","MTRC","","Airport",1146.312,""
"201405","Railways","MTRC","","LRT",14683.415,""
"201405","Railways","HKT","","",5813.926,""
"201405","PLB","GMB","","",46053.845,""
"201405","PLB","RMB","","",10811.7,""
"201405","Ferries","NWFF","","",1208.112,""
"201405","Ferries","STF","","",1633.575,""
"201405","Ferries","LFS","","",1130.051,""
"201405","TAX","TAX","","",30316.210227,""
"201405","RS","RS","","",7336.64,""
"201405","LRB","LRB","","",4240.875,""
"201406","Fran_Bus","KMB","","",78745.744,""
"201406","Fran_Bus","CTB","1","",17472.149,""
"201406","Fran_Bus","CTB","2","",2291.132,""
"201406","Fran_Bus","NWFB","","",14987.945,""
"201406","Fran_Bus","LWB","","",2864.386,""
"201406","Fran_Bus","NLB","","",2040.127,""
"201406","Railways","MTRC","","Local",129886.189,""
"201406","Railways","MTRC","","Airport",1221.255,""
"201406","Railways","MTRC","","LRT",14364.938,""
"201406","Railways","HKT","","",5739.011,""
"201406","PLB","GMB","","",45388.492,""
"201406","PLB","RMB","","",10437.336,""
"201406","Ferries","NWFF","","",1127.924,""
"201406","Ferries","STF","","",1619.537,""
"201406","Ferries","LFS","","",1104.757,""
"201406","TAX","TAX","","",30110.600081,""
"201406","RS","RS","","",7227.081,""
"201406","LRB","LRB","","",4104.747,""
"201407","Railways","MTRC","","LRT",14769.498,""
"201407","Railways","HKT","","",5715.095,""
"201407","Fran_Bus","KMB","","",81789.603,""
"201407","Fran_Bus","CTB","1","",18475.238,""
"201407","Fran_Bus","CTB","2","",2401.609,""
"201407","Fran_Bus","NWFB","","",15662.572,""
"201407","Fran_Bus","LWB","","",3015.892,""
"201407","Fran_Bus","NLB","","",2170.211,""
"201407","Railways","MTRC","","Local",139931.125,""
"201407","Railways","MTRC","","Airport",1176.887,""
"201407","PLB","GMB","","",46939.973,""
"201407","PLB","RMB","","",10949.161,""
"201407","Ferries","NWFF","","",1249.52,""
"201407","Ferries","STF","","",1915.856,""
"201407","Ferries","LFS","","",1072.169,""
"201407","TAX","TAX","","",31386.374,""
"201407","RS","RS","","",7335.975,""
"201407","LRB","LRB","","",4141.839,""
"201408","Railways","MTRC","","Local",142128.551,""
"201408","Railways","MTRC","","Airport",1236.373,""
"201408","Fran_Bus","LWB","","",3102.433,""
"201408","Fran_Bus","NWFB","","",15649.381,""
"201408","Fran_Bus","CTB","2","",2473.849,""
"201408","Fran_Bus","CTB","1","",18661.222,""
"201408","Fran_Bus","KMB","","",82074.371,""
"201408","LRB","LRB","","",4111.962,""
"201408","RS","RS","","",7486.321,""
"201408","TAX","TAX","","",31563.719,""
"201408","Ferries","LFS","","",1158.857,""
"201408","Ferries","STF","","",1952.992,""
"201408","Ferries","NWFF","","",1373.457,""
"201408","PLB","RMB","","",10955.42,""
"201408","PLB","GMB","","",46893.008,""
"201408","Railways","HKT","","",5738.17,""
"201408","Railways","MTRC","","LRT",14636.046,""
"201408","Fran_Bus","NLB","","",2303.581,""
"201409","RS","RS","","",7399.297,""
"201409","TAX","TAX","","",29646.763,""
"201409","Ferries","LFS","","",1108.341,""
"201409","Ferries","STF","","",1505.712,""
"201409","Ferries","NWFF","","",1132.189,""
"201409","PLB","RMB","","",10558.546,""
"201409","PLB","GMB","","",46334.315,""
"201409","Railways","HKT","","",5571.3,""
"201409","Railways","MTRC","","LRT",15022.053,""
"201409","LRB","LRB","","",4320.713,""
"201409","Railways","MTRC","","Local",138614.101,""
"201409","Fran_Bus","NLB","","",2092.634,""
"201409","Fran_Bus","LWB","","",2875.661,""
"201409","Fran_Bus","NWFB","","",14976.723,""
"201409","Fran_Bus","CTB","2","",2228.336,""
"201409","Fran_Bus","CTB","1","",17490.246,""
"201409","Fran_Bus","KMB","","",79715.228,""
"201409","Railways","MTRC","","Airport",1299.216,""
"201410","Fran_Bus","KMB","","",77085.644,""
"201410","Railways","MTRC","","Airport",1376.42,""
"201410","Fran_Bus","CTB","2","",2104.203,""
"201410","Fran_Bus","NWFB","","",12282.851,""
"201410","Fran_Bus","LWB","","",3037.474,""
"201410","Fran_Bus","NLB","","",2230.752,""
"201410","Railways","MTRC","","Local",154967.37,""
"201410","LRB","LRB","","",4578.147,""
"201410","RS","RS","","",7404.143,""
"201410","TAX","TAX","","",28269.66,""
"201410","Ferries","LFS","","",1201.126,""
"201410","Ferries","STF","","",1779.882,""
"201410","Ferries","NWFF","","",1271.884,""
"201410","PLB","RMB","","",10798.794,""
"201410","PLB","GMB","","",48179.835,""
"201410","Railways","HKT","","",4161.892,""
"201410","Railways","MTRC","","LRT",15496.345,""
"201410","Fran_Bus","CTB","1","",15627.162,""
"201411","Railways","HKT","","",4656.738,""
"201411","Railways","MTRC","","LRT",14857.302,""
"201411","Railways","MTRC","","Airport",1270.434,""
"201411","Railways","MTRC","","Local",148007.603,""
"201411","Fran_Bus","NLB","","",2120.466,""
"201411","Fran_Bus","LWB","","",2952.536,""
"201411","Fran_Bus","CTB","2","",2179.549,""
"201411","Fran_Bus","NWFB","","",13540.894,""
"201411","LRB","LRB","","",4403.62,""
"201411","RS","RS","","",7224.567,""
"201411","TAX","TAX","","",28281.319,""
"201411","Ferries","LFS","","",1174.56,""
"201411","Ferries","STF","","",1705.53,""
"201411","Ferries","NWFF","","",1231.31,""
"201411","PLB","RMB","","",10561.813,""
"201411","PLB","GMB","","",46313.35,""
"201411","Fran_Bus","CTB","1","",16513.955,""
"201411","Fran_Bus","KMB","","",78070.399,""
"201412","Railways","MTRC","","Local",148347.322,""
"201412","LRB","LRB","","",4404.024,""
"201412","Fran_Bus","LWB","","",3012.194,""
"201412","Fran_Bus","NWFB","","",14400.897,""
"201412","Fran_Bus","CTB","2","",2342.439,""
"201412","Fran_Bus","CTB","1","",17114.045,""
