"YR_MTH","MODE","TTD_PTO_CODE","RAIL_LINE","AVG_DAILY_PAX","AVG_DAILY_PAX_INDI"
"201312","Railways","MTRC","LRT",468.358322580645,""
"201312","Railways","MTRC","Airport",40.8598064516129,""
"201312","Railways","MTRC","Local",4541.67622580645,""
"201312","Fran_Bus","NLB","",66.0550967741936,""
"201312","Fran_Bus","LWB","",92.8820322580645,""
"201312","Fran_Bus","NWFB","",499.60764516129,""
"201312","Fran_Bus","CTB","",647.960419354839,""
"201312","Fran_Bus","KMB","",2618.7134516129,""
"201312","Railways","HKT","",205.638548387097,""
"201401","Fran_Bus","KMB","",2682.43361290323,""
"201401","Fran_Bus","CTB","",662.161870967742,""
"201401","Fran_Bus","NWFB","",513.865161290323,""
"201401","Fran_Bus","LWB","",92.1667741935484,""
"201401","Fran_Bus","NLB","",66.5898387096774,""
"201401","Railways","MTRC","Local",4559.68367741935,""
"201401","Railways","MTRC","Airport",37.8706451612903,""
"201401","Railways","MTRC","LRT",476.465419354839,""
"201401","Railways","HKT","",202.970419354839,""
"201401","PLB","GMB","",1521.68429032258,""
"201401","PLB","RMB","",348.911129032258,""
"201401","Ferries","NWFF","",37.9084838709677,""
"201401","Ferries","STF","",58.7785806451613,""
"201401","Ferries","LFS","",36.9654193548387,""
"201401","TAX","TAX","",967.610924935484,""
"201401","RS","RS","",235.340387096774,""
"201401","LRB","LRB","",137.743967741935,""
"201402","Railways","HKT","",189.016642857143,""
"201402","Fran_Bus","KMB","",2575.99557142857,""
"201402","Fran_Bus","CTB","",654.233892857143,""
"201402","Fran_Bus","NWFB","",488.701142857143,""
"201402","Fran_Bus","LWB","",91.1293928571429,""
"201402","Fran_Bus","NLB","",68.0883571428571,""
"201402","Railways","MTRC","Local",4339.72696428571,""
"201402","Railways","MTRC","Airport",37.2917142857143,""
"201402","Railways","MTRC","LRT",452.084392857143,""
"201402","PLB","GMB","",1466.03128571429,""
"201402","PLB","RMB","",345.869392857143,""
"201402","Ferries","NWFF","",42.0048571428571,""
"201402","Ferries","STF","",58.9196071428571,""
"201402","Ferries","LFS","",37.6688571428571,""
