"YR_MTH","VEHICLE_CLASS_CODE","GOODS_VEHICLE_TYPE_CODE","GOV_VEHICLE_TYPE_CODE","MOTOR_CYCLE_TYPE_CODE","TAXIS_TYPE_CODE","TTD_PTO_CODE","BUS_TYPE_CODE","FRANCHISED_TYPE","FIRST_REG","TOTAL_REG","TOTAL_LIC"
"201309","9","","","","","GMB","","",3,3104,3102
"201309","10","","","","","","","",17,2750,2714
"201309","12","","","","","NLB","DD","",0,0,0
"201309","12","","","","","KMB","SD","",7,178,178
"201309","11","","","","","OTHERS","DD","",0,99,97
"201309","9","","","","","RMB","","",2,1246,1246
"201309","4","","","","","","SD","",2,519,511
"201309","12","","","","","LWB","SD","",0,0,0
"201309","5","1","","","","","","",479,78239,73173
"201309","5","2","","","","","","",159,40141,37256
"201309","12","","","","","NWFB","DD","",0,686,679
"201309","2","","","COMBO","","","","",0,47,34
"201309","12","","","","","CTB","SD","2",0,17,15
"201309","4","","","","","","DD","",0,58,58
"201309","6","","","","","","","",15,1678,1516
"201309","11","","","","","OTHERS","SD","",18,6836,6766
"201309","2","","","SOLO","","","","",329,59270,40942
"201309","12","","","","","CTB","DD","1",14,745,721
"201309","12","","","","","KMB","DD","",32,3626,3621
"201310","12","","","","","NWFB","DD","",0,686,679
"201310","5","2","","","","","","",236,40309,37449
"201310","3","","","","Urban","TAX","","",90,15250,15223
"201310","6","","","","","","","",14,1689,1522
"201310","4","","","","","","SD","",2,520,510
"201310","5","1","","","","","","",493,78596,73411
"201310","11","","","","","OTHERS","DD","",0,99,98
"201310","9","","","","","GMB","","",0,3105,3100
"201310","7","","OTHERS","","","","","",71,5482,5482
"201310","2","","","MTRI","","","","",3,72,57
"201310","12","","","","","KMB","SD","",0,178,178
"201310","12","","","","","NLB","DD","",0,0,0
"201310","2","","","SOLO","","","","",520,59665,41426
"201310","2","","","COMBO","","","","",0,47,36
"201310","12","","","","","KMB","DD","",27,3636,3633
"201310","3","","","","NT","TAX","","",15,2838,2828
"201310","12","","","","","CTB","SD","2",0,17,15
"201310","12","","","","","NLB","SD","",0,108,108
"201310","5","3","","","","","","",41,4806,4645
"201310","4","","","","","","DD","",3,61,61
"201310","3","","","","Lantau","TAX","","",0,50,50
"201310","12","","","","","LWB","DD","",0,170,169
"201310","11","","","","","LRB","SD","",0,8,8
"201310","10","","","","","","","",15,2765,2735
"201310","12","","","","","CTB","DD","1",13,752,725
"201310","7","","MC","","","","","",0,830,830
"201310","9","","","","","RMB","","",2,1245,1244
"201310","12","","","","","CTB","DD","2",0,168,159
"201310","1","","","","","","","",4342,513425,471841
"201310","12","","","","","LWB","SD","",0,0,0
"201310","12","","","","","NWFB","SD","",0,36,36
"201310","12","","","","","CTB","SD","1",0,57,55
"201310","11","","","","","OTHERS","SD","",28,6836,6770
"201310","11","","","","","LRB","DD","",0,116,116
"201311","12","","","","","NLB","SD","",0,108,108
"201311","5","2","","","","","","",275,40538,37686
"201311","7","","MC","","","","","",0,829,829
"201311","11","","","","","LRB","DD","",0,116,116
"201311","12","","","","","LWB","SD","",0,0,0
"201311","12","","","","","CTB","SD","2",0,17,13
"201311","12","","","","","CTB","DD","1",20,756,730
"201311","3","","","","Urban","TAX","","",61,15250,15213
"201311","1","","","","","","","",3962,515549,473354
"201311","5","3","","","","","","",51,4857,4701
"201311","12","","","","","NLB","DD","",0,0,0
"201311","2","","","COMBO","","","","",0,47,35
"201311","4","","","","","","SD","",2,520,511
"201311","9","","","","","GMB","","",2,3110,3106
"201311","12","","","","","NWFB","SD","",0,36,36
"201311","11","","","","","LRB","SD","",0,8,8
"201311","5","1","","","","","","",522,78989,73880
"201311","4","","","","","","DD","",0,61,61
"201311","3","","","","Lantau","TAX","","",0,50,50
"201311","12","","","","","KMB","SD","",0,178,178
"201311","11","","","","","OTHERS","SD","",12,6833,6768
"201311","12","","","","","CTB","SD","1",0,56,55
"201311","6","","","","","","","",22,1711,1540
"201311","12","","","","","NWFB","DD","",0,680,678
"201311","9","","","","","RMB","","",0,1240,1239
"201311","12","","","","","LWB","DD","",0,170,169
"201311","7","","OTHERS","","","","","",11,5481,5481
"201311","2","","","MTRI","","","","",0,72,55
"201311","3","","","","NT","TAX","","",11,2838,2831
"201311","10","","","","","","","",13,2778,2748
"201311","12","","","","","KMB","DD","",38,3639,3635
"201311","2","","","SOLO","","","","",388,59927,41599
"201311","12","","","","","CTB","DD","2",3,171,162
"201311","11","","","","","OTHERS","DD","",3,102,101
"201312","5","2","","","","","","",238,40720,37902
"201312","12","","","","","NLB","SD","",0,108,108
"201312","12","","","","","LWB","DD","",7,172,172
"201312","5","1","","","","","","",608,79478,74339
"201312","12","","","","","LWB","SD","",0,0,0
"201312","12","","","","","NWFB","SD","",0,36,35
"201312","12","","","","","NLB","DD","",0,0,0
"201312","11","","","","","LRB","DD","",0,116,116
"201312","12","","","","","CTB","DD","2",5,176,161
"201312","4","","","","","","DD","",0,61,61
"201312","3","","","","NT","TAX","","",13,2838,2827
"201312","5","3","","","","","","",53,4908,4755
"201312","3","","","","Lantau","TAX","","",0,50,50
"201312","10","","","","","","","",15,2793,2757
