candidate_id,household_id,passenger_person_id,passenger_trip_index,passenger_original_mode,driver_person_id,driver_trip_index,driver_original_mode,driver_vehicle_id,driver_requires_car_switch,screen_type,departure_delta_s,origin_gap_m,destination_gap_m,detour_added_distance_m,detour_ratio,passenger_departure_time_s,driver_departure_time_s,passenger_pickup_link,passenger_dropoff_link,driver_origin_link,driver_destination_link
joint:hk_hh_0832038:hk_person_01914373:0:1,hk_hh_0832038,hk_person_01914373,0,walk,hk_person_01914372,0,car,hk_vehicle_0159424,false,detour,1295.0,0.0,3123.1665997810182,104.34182809194499,1.0209135638725453,25125.0,26420.0,road_102095_0_r,road_102365_0_f,road_102095_0_r,road_165111_0_r
joint:hk_hh_0832123:hk_person_01914604:2:1,hk_hh_0832123,hk_person_01914604,2,taxi,hk_person_01914605,2,car,hk_vehicle_0159444,false,detour,2350.0,0.0,4714.071535061976,1564.9200005817638,1.1961823246734435,72687.0,70337.0,road_102196_0_f,road_164573_0_f,road_102196_0_f,road_62711_0_r
joint:hk_hh_0832587:hk_person_01915972:0:1,hk_hh_0832587,hk_person_01915972,0,pt,hk_person_01915975,0,pt,hk_vehicle_0159608,true,detour,314.0,0.0,24505.178795055428,5450.715283927177,1.1981510047780324,30648.0,30334.0,road_102238_0_f,road_296331_0_r,road_102238_0_f,road_264826_0_f
joint:hk_hh_0832587:hk_person_01915976:0:1,hk_hh_0832587,hk_person_01915976,0,pt,hk_person_01915975,0,pt,hk_vehicle_0159608,true,detour,480.0,0.0,27770.291687038305,4557.995286158846,1.165697766014149,29854.0,30334.0,road_102238_0_f,road_101367_0_f,road_102238_0_f,road_264826_0_f
joint:hk_hh_0832587:hk_person_01915977:0:1,hk_hh_0832587,hk_person_01915977,0,pt,hk_person_01915975,0,pt,hk_vehicle_0159608,true,detour,266.0,0.0,19260.82821473199,713.1002306040027,1.0259234834037825,30600.0,30334.0,road_102238_0_f,road_62288_0_f,road_102238_0_f,road_264826_0_f
joint:hk_hh_0833335:hk_person_01918126:0:1,hk_hh_0833335,hk_person_01918126,0,walk,hk_person_01918125,0,pt,hk_vehicle_0159839,true,detour,1901.0,0.0,6524.237219244663,1344.6749990893577,1.2297758832051953,25819.0,27720.0,road_115922_0_f,road_102150_0_r,road_115922_0_f,road_274764_0_f
joint:hk_hh_0833404:hk_person_01918334:0:1,hk_hh_0833404,hk_person_01918334,0,walk,hk_person_01918330,0,car,hk_vehicle_0159863,false,detour,571.0,0.0,25159.22594527423,963.9360096280288,1.0389993953772179,25453.0,24882.0,road_102239_0_f,road_102276_0_f,road_102239_0_f,road_61863_0_f
joint:hk_hh_0834065:hk_person_01920280:0:1,hk_hh_0834065,hk_person_01920280,0,walk,hk_person_01920279,0,pt,hk_vehicle_0160052,true,detour,1191.0,0.0,5136.1648450199455,545.270174406126,1.0898621372279118,27006.0,28197.0,road_102195_0_r,road_107334_0_r,road_102195_0_r,road_163844_0_f
joint:hk_hh_0834355:hk_person_01921082:0:1,hk_hh_0834355,hk_person_01921082,0,car_passenger,hk_person_01921081,0,car,hk_vehicle_0160146,false,detour,1889.0,0.0,27554.698898669565,333.2583938345633,1.0121322927179472,26449.0,28338.0,road_103590_0_f,road_102197_0_f,road_103590_0_f,road_93975_0_f
joint:hk_hh_0834355:hk_person_01921084:0:1,hk_hh_0834355,hk_person_01921084,0,walk,hk_person_01921081,0,car,hk_vehicle_0160146,false,detour,1477.0,0.0,25073.06284969857,2845.6515969671163,1.1035961247680919,26861.0,28338.0,road_103590_0_f,road_103404_0_r,road_103590_0_f,road_93975_0_f
joint:hk_hh_0834501:hk_person_01921474:0:1,hk_hh_0834501,hk_person_01921474,0,walk,hk_person_01921473,0,car,hk_vehicle_0160202,false,detour,621.0,0.0,2522.576138615388,1082.0694449987345,1.356281804226135,26083.0,26704.0,road_102239_0_f,road_107341_0_f,road_102239_0_f,road_260820_0_f
joint:hk_hh_0834525:hk_person_01921549:0:1,hk_hh_0834525,hk_person_01921549,0,walk,hk_person_01921548,0,walk,hk_vehicle_0160210,true,direct,348.0,0.0,115.2582160762704,159.8148106794732,1.6738923472839087,31787.0,31439.0,road_115908_0_f,road_102277_0_f,road_115908_0_f,road_102097_0_r
joint:hk_hh_0834895:hk_person_01922576:0:1,hk_hh_0834895,hk_person_01922576,0,pt,hk_person_01922575,0,car,hk_vehicle_0160315,false,detour,2038.0,0.0,1686.7813711636654,1546.5099333720623,1.43015418840139,26276.0,28314.0,road_164942_0_f,road_106163_0_f,road_164942_0_f,road_106468_0_f
joint:hk_hh_0835601:hk_person_01924450:0:1,hk_hh_0835601,hk_person_01924450,0,walk,hk_person_01924449,0,car,hk_vehicle_0160509,false,detour,678.0,0.0,4321.148865787126,213.1613947754413,1.049814568407385,27870.0,28548.0,road_102214_0_f,road_102247_0_f,road_102214_0_f,road_659_0_f
joint:hk_hh_0835823:hk_person_01925042:0:1,hk_hh_0835823,hk_person_01925042,0,pt,hk_person_01925041,0,car,hk_vehicle_0160564,false,detour,2439.0,0.0,1735.9991178261425,2195.7441212619815,1.3123317086351436,28462.0,30901.0,road_104449_0_f,road_5536_0_r,road_104449_0_f,road_269489_0_r
joint:hk_hh_0836019:hk_person_01925581:0:1,hk_hh_0836019,hk_person_01925581,0,pt,hk_person_01925579,0,car,hk_vehicle_0160611,false,detour,715.0,0.0,5790.845224854824,53.22123943434417,1.008908546002232,31851.0,32566.0,road_105163_0_f,road_104449_0_f,road_105163_0_f,road_275729_0_r
joint:hk_hh_0836487:hk_person_01926832:0:1,hk_hh_0836487,hk_person_01926832,0,pt,hk_person_01926835,0,car,hk_vehicle_0160715,false,detour,2573.0,0.0,3302.0006474307515,1069.9073794030041,1.2612388200570264,26522.0,29095.0,road_102124_0_f,road_107416_0_f,road_102124_0_f,road_106229_0_r
joint:hk_hh_0837069:hk_person_01928389:0:1,hk_hh_0837069,hk_person_01928389,0,walk,hk_person_01928388,0,car,hk_vehicle_0160887,false,detour,261.0,0.0,7834.031051145129,232.45373561021097,1.0291658154051075,26208.0,25947.0,road_260830_0_f,road_115922_0_f,road_260830_0_f,road_5269_0_f
joint:hk_hh_0837331:hk_person_01929091:0:1,hk_hh_0837331,hk_person_01929091,0,pt,hk_person_01929094,0,car,hk_vehicle_0160958,false,detour,344.0,0.0,1245.8067685882052,265.30294748403,1.0755369700698205,29216.0,29560.0,road_102196_0_f,road_105302_0_f,road_102196_0_f,road_267590_0_f
joint:hk_hh_0837779:hk_person_01930322:0:1,hk_hh_0837779,hk_person_01930322,0,walk,hk_person_01930321,0,pt,hk_vehicle_0161066,true,detour,2492.0,0.0,607.4048227508475,899.0814152757744,1.221597435708659,28017.0,30509.0,road_104449_0_f,road_8688_0_f,road_104449_0_f,road_272324_0_f
joint:hk_hh_0839293:hk_person_01934375:0:1,hk_hh_0839293,hk_person_01934375,0,pt,hk_person_01934374,0,taxi,hk_vehicle_0161442,true,detour,808.0,0.0,3039.62730032835,1224.5362734607256,1.3166009531689749,25346.0,26154.0,road_115829_0_r,road_105113_0_f,road_115829_0_r,road_107049_0_f
joint:hk_hh_0839411:hk_person_01934713:1:1,hk_hh_0839411,hk_person_01934713,1,walk,hk_person_01934712,2,car,hk_vehicle_0161481,false,detour,1713.0,482.9151061468055,3287.3141159000415,0.0,1.0,68446.0,66733.0,road_104465_0_f,road_103732_0_f,road_103732_0_f,road_102773_0_f
joint:hk_hh_0840720:hk_person_01938264:0:1,hk_hh_0840720,hk_person_01938264,0,walk,hk_person_01938265,0,car,hk_vehicle_0161792,false,detour,1894.0,0.0,6783.583344837741,952.875200748912,1.1458442772385482,28185.0,30079.0,road_105162_0_f,road_104669_0_f,road_105162_0_f,road_269423_0_f
joint:hk_hh_0842021:hk_person_01941370:0:1,hk_hh_0842021,hk_person_01941370,0,pt,hk_person_01941369,0,car,hk_vehicle_0162054,false,detour,1899.0,0.0,3950.3304343405266,1663.3964879288433,1.4580830043053705,28828.0,26929.0,road_105165_0_f,road_296108_0_f,road_105165_0_f,road_103219_0_r
joint:hk_hh_0842021:hk_person_01941371:2:1,hk_hh_0842021,hk_person_01941371,2,pt,hk_person_01941369,2,car,hk_vehicle_0162054,false,detour,2648.0,0.0,8489.92002314282,2544.133905877168,1.3426975247085011,63848.0,61200.0,road_105165_0_f,road_104822_0_f,road_105165_0_f,road_100913_0_f
joint:hk_hh_0842507:hk_person_01942468:0:1,hk_hh_0842507,hk_person_01942468,0,walk,hk_person_01942469,0,car,hk_vehicle_0162145,false,detour,1367.0,0.0,4359.064193255382,546.8996289469269,1.1173930384156294,29381.0,28014.0,road_105070_0_f,road_104575_0_f,road_105070_0_f,road_103260_0_f
joint:hk_hh_0842996:hk_person_01943552:0:1,hk_hh_0842996,hk_person_01943552,0,car_passenger,hk_person_01943549,0,car,hk_vehicle_0162223,false,direct,0.0,0.0,0.0,0.0,1.0,26635.0,26635.0,road_269946_0_f,road_100168_0_f,road_269946_0_f,road_100168_0_f
joint:hk_hh_0842996:hk_person_01943552:1:1,hk_hh_0842996,hk_person_01943552,1,car_passenger,hk_person_01943549,3,car,hk_vehicle_0162223,false,direct,0.0,0.0,0.0,0.0,1.0,54785.0,54785.0,road_100168_0_f,road_269946_0_f,road_100168_0_f,road_269946_0_f
joint:hk_hh_0847249:hk_person_01953401:0:1,hk_hh_0847249,hk_person_01953401,0,walk,hk_person_01953404,0,car,hk_vehicle_0162924,false,detour,2277.0,0.0,3798.309041194832,269.09678243069084,1.0719313010132545,25314.0,27591.0,road_102200_0_f,road_115825_0_r,road_102200_0_f,road_107524_0_r
joint:hk_hh_0847522:hk_person_01954104:0:1,hk_hh_0847522,hk_person_01954104,0,pt,hk_person_01954105,0,pt,hk_vehicle_0162964,true,detour,2006.0,0.0,4482.840496811017,933.7353264601243,1.2271075391347857,27896.0,25890.0,road_102274_0_f,road_102102_0_f,road_102274_0_f,road_272965_0_f
joint:hk_hh_0847692:hk_person_01954578:0:1,hk_hh_0847692,hk_person_01954578,0,car_passenger,hk_person_01954577,0,car,hk_vehicle_0162988,false,direct,0.0,0.0,0.0,0.0,1.0,26295.0,26295.0,road_103571_0_r,road_106022_0_f,road_103571_0_r,road_106022_0_f
joint:hk_hh_0847692:hk_person_01954578:1:1,hk_hh_0847692,hk_person_01954578,1,car_passenger,hk_person_01954577,3,car,hk_vehicle_0162988,false,direct,0.0,0.0,0.0,0.0,1.0,56967.0,56967.0,road_106022_0_f,road_103571_0_r,road_106022_0_f,road_103571_0_r
joint:hk_hh_0849751:hk_person_01959940:0:1,hk_hh_0849751,hk_person_01959940,0,pt,hk_person_01959942,0,car,hk_vehicle_0163281,false,detour,286.0,0.0,3886.094189254419,1318.618041307339,1.2877662833195964,28442.0,28156.0,road_104988_0_f,road_277809_0_r,road_104988_0_f,road_4744_0_f
joint:hk_hh_0850490:hk_person_01961849:0:1,hk_hh_0850490,hk_person_01961849,0,pt,hk_person_01961850,0,car,hk_vehicle_0163375,false,detour,198.0,0.0,1274.7602757351187,1816.2359903133038,1.2768777390464625,27485.0,27287.0,road_102207_0_f,road_273434_0_f,road_102207_0_f,road_8677_0_f
joint:hk_hh_0850657:hk_person_01962289:0:1,hk_hh_0850657,hk_person_01962289,0,pt,hk_person_01962290,0,car,hk_vehicle_0163395,false,detour,675.0,0.0,5133.133205483178,2237.969070024864,1.478306794501395,27882.0,27207.0,road_102214_0_f,road_3580_0_f,road_102214_0_f,road_4195_0_f
joint:hk_hh_0850992:hk_person_01963149:0:1,hk_hh_0850992,hk_person_01963149,0,pt,hk_person_01963151,0,car,hk_vehicle_0163443,false,detour,1799.0,0.0,2630.7751289172934,598.0313680211252,1.1970096783958293,27806.0,29605.0,road_104668_0_f,road_104775_0_f,road_104668_0_f,road_133034_0_r
joint:hk_hh_0851360:hk_person_01964082:0:1,hk_hh_0851360,hk_person_01964082,0,walk,hk_person_01964083,0,car,hk_vehicle_0163505,false,detour,2595.0,0.0,5595.6559721892545,2651.6565871834764,1.4788448084020984,26827.0,29422.0,road_102096_0_f,road_102399_0_f,road_102096_0_f,road_284548_0_f
joint:hk_hh_0854206:hk_person_01971639:0:1,hk_hh_0854206,hk_person_01971639,0,walk,hk_person_01971637,0,pt,hk_vehicle_0163945,true,detour,368.0,0.0,2192.8865646014956,751.2131247859688,1.184945175895239,27309.0,27677.0,road_104438_0_f,road_107600_0_f,road_104438_0_f,road_106458_0_r
joint:hk_hh_0854560:hk_person_01972622:1:1,hk_hh_0854560,hk_person_01972622,1,walk,hk_person_01972621,1,walk,hk_vehicle_0164001,true,direct,1005.0,174.1918111766282,0.0,0.0,1.0,63167.0,62162.0,road_109924_0_r,road_104764_0_f,road_260617_0_f,road_104764_0_f
joint:hk_hh_0854560:hk_person_01972622:1:2,hk_hh_0854560,hk_person_01972622,1,walk,hk_person_01972621,2,car,hk_vehicle_0164001,false,detour,1633.0,154.2630903681674,1553.8734627457056,0.0,1.0,63167.0,64800.0,road_109924_0_r,road_104764_0_f,road_104764_0_f,road_104246_0_f
joint:hk_hh_0854613:hk_person_01972777:0:1,hk_hh_0854613,hk_person_01972777,0,car_passenger,hk_person_01972776,0,car,hk_vehicle_0164013,false,direct,0.0,0.0,0.0,0.0,1.0,27643.0,27643.0,road_104898_0_r,road_104762_0_r,road_104898_0_r,road_104762_0_r
