mode,stop_id,source_ids,name,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,line_ids,coord_source
bus,amap_stop_01754,BV10388159,省军区(马鞍),119.273293,26.11237,119.26851888352212,26.115525292654905,726842.1202880826,2890455.044556185,350100010019;350100010020;350100010089;350100010090;350100010091;350100010092;350100010151;350100010152;350100010243;350100010244;350100010357;900000081248;900000081249;900000169358;900000169359,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01755,BV10208768,尚干,119.386765,25.924631,119.38183609124523,25.927488395621,738557.4856601261,2869822.5358750056,350100010051;350100010052;350100010241;350100010248;350100010435;350100010436;900000028085;900000028087;900000144208;900000144209;900000170681;900000170682,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01756,BV09443380,祥谦地铁站,119.38836,25.930504,119.38342996794684,25.933364381770414,738705.3306820851,2870476.513481125,350100010051;350100010052;350100010241;350100010248;350100010435;350100010436;900000028085;900000028087;900000170681;900000170682,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01757,BV10208755,祥谦陵园,119.389447,25.934502,119.38451626885912,25.937364476031902,738806.0928594908,2870921.7148022647,350100010051;350100010052;350100010241;350100010248;350100010435;350100010436;900000028085;900000028087;900000170681;900000170682,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01758,BV10208756,枕峰,119.39082,25.94,119.38588842935224,25.94286549791558,738932.4530063004,2871533.746124788,350100010051;350100010052;350100010241;350100010248;350100010435;350100010436;900000028085;900000028087;900000170681;900000170682,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01759,BV10208757,建华管桩,119.398159,25.945419,119.39322627254718,25.948285724391454,739656.5773672948,2872147.7429518057,350100010051;350100010052;350100010241;350100010248;350100010435;350100010436;900000028085;900000028087,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01760,BV10208758,峡南,119.399498,25.953003,119.3945648411194,25.95587468136444,739775.2811995293,2872991.075416313,350100010051;350100010052;350100010241;350100010248;350100010435;350100010436;900000028085;900000028087;900000170681;900000170682,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01761,BV10208773,叶洋,119.095097,26.166801,119.09012318910806,26.169817638658145,708901.5042419094,2896171.257130944,350100010053;350100010054;900000192614;900000192615,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01762,BV10208774,化肥厂,119.085288,26.1783,119.08031771756328,26.181327169163733,707900.778736568,2897430.671129335,350100010053;350100010054;900000192614;900000192615,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01763,BV10208775,长坪园,119.083276,26.184038,119.0783067834428,26.187069896286296,707689.5695276024,2898063.6952239685,350100010053;350100010054;900000192614;900000192615,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01764,BV10208807,下浦路,119.08184,26.191854,119.07687138477807,26.19489159427508,707532.2182336363,2898927.974634497,350100010053;350100010054;900000192614;900000192615,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01765,BV11683034,橡胶厂,119.079838,26.194926,119.07487099576606,26.197966982252968,707326.8254244364,2899265.501799378,350100010053;350100010054;900000192614;900000192615,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01766,BV10208776,木帆社,119.077615,26.198494,119.0726500092054,26.201539039241755,707098.5153877836,2899657.705931198,350100010053;350100010054;900000192614;900000192615,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01767,BV10208777,水泥厂,119.075813,26.202409,119.07084974504758,26.205458085094367,706911.6528665097,2900089.028030788,350100010053;350100010054;900000192614;900000192615,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01768,BV11681413,水井街,119.076147,26.204334,119.071183208278,26.207383884393536,706941.5726653845,2900302.9220442907,350100010053;900000192614,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01769,BV10422783,闽兴社区,119.077413,26.208633,119.07244745349928,26.211684185666165,707060.3086360547,2900781.377027397,350100010053;350100010054;900000192614;900000192615,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01770,BV10208778,白沙,119.080397,26.211153,119.07542821792492,26.21420307349992,707353.732612722,2901065.213314586,350100010053;350100010054;900000192614;900000192615,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01771,BV11454721,白沙街,119.075758,26.206382,119.07079450579457,26.20943347273357,706899.099060775,2900529.3782461453,350100010054;900000192615,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01772,BV11108881,青芝山风景区(秦川),119.550522,26.138298,119.54598630181816,26.141612835635183,754541.7096022803,2893859.5172353643,350100010055;350100010056,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01773,BV10598370,琯头中学,119.553873,26.136461,119.54934637460823,26.139781242300547,754881.7596893375,2893663.1404751907,350100010055;350100010056,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01774,BV10598369,侨乡公园,119.560616,26.136627,119.55610594906022,26.139959268267027,755557.4648167128,2893696.1478599133,350100010055;350100010056,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
